Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2021-11-09,"",Northeastern,REG (Non-Conf),W,65,58,"",96.6,86.2,67.3,.286,.411,.511,45.6,63.6,8.9,5.6,.464,11.2,11.8,.232,.430,18.9,20.6,.300
2,2021-11-13,@,NC State,REG (Non-Conf),L,74,77,"",115.5,120.2,64.1,.273,.509,.596,48.3,76.0,4.7,4.8,.564,15.0,30.0,.218,.526,8.2,32.1,.298
3,2021-11-16,@,Cornell,REG (Non-Conf),L,68,78,"",85.7,98.3,79.4,.120,.427,.429,45.2,44.8,8.8,21.4,.427,13.1,25.5,.053,.478,14.4,29.7,.209
4,2021-11-18,"","",REG (Non-Conf),W,97,50,"",137.8,71.0,70.4,.212,.470,.668,53.6,61.1,9.9,15.7,.652,7.6,25.0,.167,.306,13.7,26.8,.194
5,2021-11-20,@,Syracuse,REG (Non-Conf),W,100,85,"",134.4,114.2,74.4,.300,.614,.625,53.5,81.3,9.4,9.8,.586,12.1,43.2,.257,.492,11.6,35.3,.344
6,2021-11-24,@,Harvard,REG (Non-Conf),L,84,89,OT,104.1,110.3,71.7,.258,.387,.603,46.4,54.8,6.2,2.7,.589,18.7,15.2,.177,.569,14.5,25.0,.097
7,2021-11-29,"",Niagara,REG (Non-Conf),L,59,70,"",90.9,107.8,64.9,.238,.413,.421,56.5,76.2,7.7,5.9,.389,13.6,34.9,.159,.618,13.7,7.7,.137
8,2021-12-03,@,Northeastern,REG (Non-Conf),L,69,74,"",108.9,116.8,63.4,.192,.519,.608,50.0,64.0,7.9,5.9,.596,16.2,20.8,.135,.577,11.4,23.1,.269
9,2021-12-06,"",Columbia,REG (Non-Conf),W,89,61,"",122.3,83.8,72.8,.167,.517,.687,43.6,74.2,16.5,10.3,.667,12.2,12.5,.150,.443,22.4,32.3,.115
10,2021-12-09,@,Pittsburgh,REG (Non-Conf),L,68,71,"",104.0,108.6,65.4,.434,.434,.532,39.7,59.1,7.6,2.5,.472,13.5,25.8,.340,.473,11.7,44.4,.345
11,2021-12-12,@,St. John's (NY),REG (Non-Conf),L,64,82,"",88.8,113.7,72.1,.102,.593,.517,45.1,66.7,4.2,8.2,.517,20.6,17.1,.051,.541,7.3,27.8,.027
12,2021-12-19,@,Monmouth,REG (Non-Conf),L,66,77,"",99.5,116.1,66.3,.100,.433,.525,54.8,60.0,7.5,10.0,.525,20.3,37.5,.050,.566,10.8,26.7,.131
13,2021-12-22,@,Vermont,REG (Non-Conf),L,68,78,"",97.8,112.1,69.6,.333,.333,.515,47.8,42.3,10.1,14.8,.509,12.0,14.7,.175,.542,11.8,20.0,.237
14,2022-01-04,@,Lehigh,REG (Conf),L,81,85,"",110.3,115.7,73.5,.188,.250,.581,56.9,30.3,4.1,10.6,.563,15.7,29.0,.141,.559,7.6,17.6,.132
15,2022-01-10,"",Army,REG (Conf),W,76,57,"",111.9,83.9,67.9,.230,.443,.562,60.3,60.7,10.3,11.9,.549,14.0,37.1,.148,.433,15.5,18.4,.083
16,2022-01-13,@,Navy,REG (Conf),W,69,50,"",103.3,74.9,66.8,.186,.339,.537,54.7,46.7,13.5,7.0,.534,11.1,15.4,.102,.397,16.6,18.4,.069
17,2022-01-19,@,Bucknell,REG (Conf),W,75,56,"",113.2,84.5,66.3,.150,.450,.583,53.3,60.7,21.1,18.8,.575,13.5,32.3,.100,.426,21.3,24.1,.185
18,2022-01-24,"",Loyola (MD),REG (Conf),W,65,52,"",97.1,77.6,67.0,.365,.423,.533,57.4,78.3,7.5,18.4,.500,15.3,14.3,.250,.349,9.9,12.5,.283
19,2022-01-28,@,Boston University,REG (Conf),L,72,76,"",100.7,106.3,71.5,.258,.290,.517,46.2,57.7,9.8,17.1,.492,11.5,20.0,.177,.500,12.7,23.3,.310
20,2022-01-31,@,Lafayette,REG (Conf),W,72,61,"",110.2,93.3,65.4,.389,.407,.563,57.7,59.1,3.1,0.0,.500,16.9,32.4,.333,.475,11.1,18.9,.085
21,2022-02-02,"",Bucknell,REG (Conf),W,83,69,"",122.7,102.0,67.7,.155,.483,.666,63.6,74.2,5.9,3.2,.655,17.3,37.5,.121,.509,13.5,16.1,.236
22,2022-02-05,@,American,REG (Conf),W,86,68,"",139.0,109.9,61.9,.231,.327,.745,54.5,38.2,8.1,2.1,.731,14.8,26.3,.192,.483,6.9,30.6,.186
23,2022-02-07,"",Holy Cross,REG (Conf),W,87,60,"",121.7,83.9,71.5,.136,.390,.693,62.7,70.6,5.6,0.0,.686,18.2,24.0,.102,.465,16.0,8.8,.123
24,2022-02-09,"",Lehigh,REG (Conf),W,78,62,"",112.8,89.6,69.2,.382,.291,.600,53.8,40.0,7.2,14.6,.582,11.0,13.8,.255,.468,12.1,13.9,.048
25,2022-02-12,@,Loyola (MD),REG (Conf),W,64,56,"",94.1,82.4,68.0,.491,.582,.472,44.2,73.7,8.8,13.5,.427,16.1,26.3,.309,.381,13.7,38.5,.127
26,2022-02-14,"",Lafayette,REG (Conf),W,69,61,"",113.4,100.2,60.9,.155,.276,.554,62.1,54.8,3.3,11.8,.578,11.4,35.7,.034,.535,10.7,13.3,.000
27,2022-02-16,@,Army,REG (Conf),W,100,90,"",135.3,121.7,73.9,.373,.525,.720,52.8,72.7,9.5,8.8,.686,12.6,25.0,.322,.655,14.7,24.1,.241
28,2022-02-19,"",Boston University,REG (Conf),W,72,53,"",108.6,79.9,66.3,.276,.448,.549,50.0,60.0,10.6,9.1,.517,5.7,12.9,.207,.430,18.0,15.2,.200
29,2022-02-21,"",American,REG (Conf),W,63,49,"",96.9,75.4,65.0,.140,.526,.518,55.9,79.2,13.8,13.5,.509,18.7,30.0,.088,.440,20.2,17.2,.100
30,2022-02-23,@,Holy Cross,REG (Conf),W,78,71,"",114.6,104.3,68.1,.481,.259,.588,57.6,56.7,7.3,2.3,.611,15.3,31.3,.222,.508,8.1,17.6,.094
31,2022-02-26,"",Navy,REG (Conf),W,74,69,"",103.3,96.4,71.6,.596,.558,.555,52.2,85.0,8.4,2.5,.500,11.9,20.6,.423,.517,15.1,15.2,.155
32,2022-03-03,"",Bucknell,CTOURN,W,96,68,"",141.9,100.5,67.6,.083,.317,.770,59.6,75.0,16.3,17.1,.775,10.1,16.7,.050,.541,16.0,17.6,.033
33,2022-03-06,"",Lehigh,CTOURN,W,81,61,"",115.5,87.0,70.1,.356,.305,.587,58.0,65.5,10.0,12.5,.559,12.7,29.0,.254,.405,11.7,18.4,.159
34,2022-03-09,"",Navy,CTOURN,W,74,58,"",108.4,85.0,68.2,.683,.415,.681,41.7,65.2,14.7,12.5,.659,20.5,8.7,.488,.403,19.0,37.8,.129
