Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2021-11-09,@,Wichita State,REG (Non-Conf),L,57,60,"",90.6,95.3,62.9,.212,.385,.498,44.4,54.5,9.5,17.1,.500,20.8,28.1,.096,.421,14.7,38.7,.211
2,2021-11-13,"",Alabama A&M,REG (Non-Conf),W,70,47,"",103.1,69.2,67.9,.385,.558,.569,60.6,80.0,8.8,5.3,.510,15.2,25.9,.327,.342,15.7,15.4,.100
3,2021-11-16,@,Troy,REG (Non-Conf),L,65,69,3OT,71.8,76.2,65.9,.382,.338,.404,50.5,40.9,15.5,4.9,.360,19.1,21.3,.235,.375,20.4,22.0,.265
4,2021-11-22,N,Valparaiso,REG (Non-Conf),L,70,78,"",100.8,112.3,69.5,.351,.474,.526,52.9,30.4,5.8,11.1,.491,15.3,22.9,.246,.517,8.1,17.1,.310
5,2021-11-24,N,Drexel,REG (Non-Conf),W,72,64,"",110.0,97.8,65.4,.380,.340,.610,56.4,32.0,15.3,12.1,.580,18.0,25.0,.280,.518,15.5,19.4,.088
6,2021-11-27,@,Elon,REG (Non-Conf),W,93,81,"",129.2,112.5,72.0,.652,.522,.772,57.1,67.9,13.9,6.9,.793,22.0,30.0,.435,.545,13.3,27.8,.119
7,2021-12-04,"",South Alabama,REG (Non-Conf),L,64,74,"",93.3,107.9,68.6,.232,.446,.515,42.9,56.5,5.8,2.6,.491,17.3,23.5,.161,.548,19.7,27.3,.327
8,2021-12-08,@,VCU,REG (Non-Conf),L,52,66,"",77.8,98.7,66.8,.340,.383,.476,53.4,60.0,12.0,0.0,.479,26.8,27.6,.149,.500,17.8,20.7,.269
9,2021-12-13,"","",REG (Non-Conf),W,110,80,"",136.9,99.6,80.3,.231,.333,.635,64.3,56.8,11.2,6.5,.635,11.3,50.0,.141,.556,20.4,22.2,.159
10,2021-12-15,"",Florida International,REG (Non-Conf),W,66,59,"",103.0,92.0,64.1,.463,.370,.501,51.5,45.0,7.8,12.5,.407,13.2,34.3,.407,.456,17.7,29.0,.123
11,2021-12-18,@,Alabama,REG (Non-Conf),L,59,65,"",91.3,100.6,64.6,.262,.410,.430,45.8,31.8,6.2,11.5,.410,10.4,28.2,.148,.482,14.7,33.3,.196
12,2021-12-21,@,Little Rock,REG (Non-Conf),W,87,67,"",134.9,103.9,64.5,.500,.519,.676,60.0,64.3,7.8,11.8,.673,14.6,42.9,.327,.491,14.9,25.0,.236
13,2021-12-28,"","",REG (Non-Conf),W,123,59,"",159.8,76.6,77.0,.130,.558,.752,74.1,66.7,10.4,5.9,.753,12.8,55.6,.091,.464,21.7,9.7,.125
14,2022-01-08,@,North Alabama,REG (Conf),W,65,55,"",89.2,75.5,72.8,.468,.319,.566,60.9,21.7,8.2,8.6,.553,25.8,22.2,.277,.383,16.6,10.8,.150
15,2022-01-11,"",Lipscomb,REG (Conf),W,88,83,"",120.9,114.0,72.8,.262,.477,.602,49.3,66.7,12.4,2.8,.569,7.6,21.6,.215,.575,14.9,18.8,.233
16,2022-01-15,@,Eastern Kentucky,REG (Conf),W,76,65,"",108.7,93.0,69.9,.388,.306,.655,56.7,71.4,8.6,11.5,.653,21.6,23.8,.245,.438,13.6,25.6,.123
17,2022-01-18,@,Central Arkansas,REG (Conf),W,86,81,"",113.9,107.2,75.5,.237,.424,.655,59.6,58.1,5.3,11.8,.627,23.4,41.7,.203,.527,10.7,27.3,.041
18,2022-01-22,"",Florida Gulf Coast,REG (Conf),W,79,71,"",114.1,102.5,69.3,.250,.328,.552,51.5,56.7,17.3,2.9,.539,12.3,36.1,.156,.566,20.3,30.0,.033
