Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2021-11-09,@,Colorado,REG (Non-Conf),L,90,94,OT,113.8,118.8,70.3,.203,.435,.595,42.6,69.7,7.6,10.5,.565,15.6,31.4,.174,.588,17.7,42.3,.474
2,2021-11-14,"","",REG (Non-Conf),W,81,52,"",105.8,67.9,76.6,.273,.530,.543,58.5,67.9,5.2,9.8,.492,14.8,30.8,.242,.313,14.2,16.3,.188
3,2021-11-17,@,South Dakota State,REG (Non-Conf),L,74,91,"",98.5,121.1,75.2,.141,.469,.542,54.1,57.1,5.3,2.3,.539,19.0,29.4,.078,.664,12.5,14.8,.164
4,2021-11-20,@,New Mexico,REG (Non-Conf),L,78,81,"",106.3,110.4,73.4,.322,.305,.573,50.8,64.3,10.9,10.5,.525,18.1,27.6,.271,.536,14.9,28.1,.400
5,2021-11-26,N,Portland,REG (Non-Conf),W,69,66,"",101.1,96.7,68.3,.345,.436,.539,50.0,41.7,5.9,8.3,.500,15.8,23.3,.255,.462,15.0,21.4,.321
6,2021-11-27,@,Incarnate Word,REG (Non-Conf),W,83,64,"",125.9,97.1,65.9,.234,.553,.795,60.0,61.3,4.5,6.9,.819,25.6,20.0,.128,.500,17.2,13.3,.255
7,2021-11-28,N,Southeast Missouri State,REG (Non-Conf),W,75,68,"",95.1,86.2,78.9,.600,.418,.531,50.7,50.0,10.1,13.5,.464,18.5,21.6,.436,.441,19.0,15.6,.271
8,2021-12-02,@,Northern Colorado,REG (Conf),L,75,77,OT,94.0,96.5,70.9,.277,.292,.510,49.3,25.0,8.8,10.3,.492,13.0,14.7,.169,.516,16.5,15.2,.210
9,2021-12-04,@,Sacramento State,REG (Conf),W,68,66,"",105.3,102.2,64.6,.375,.396,.601,50.0,58.3,7.7,10.8,.573,19.8,23.1,.271,.474,11.9,30.6,.190
10,2021-12-07,"",North Dakota State,REG (Non-Conf),W,68,49,"",101.8,73.4,66.8,.220,.305,.522,56.7,61.5,7.5,9.1,.500,10.9,24.1,.153,.367,21.0,12.9,.356
11,2021-12-11,@,St. Thomas,REG (Non-Conf),W,72,65,"",99.0,89.4,72.7,.510,.429,.591,51.6,50.0,11.0,15.4,.561,20.8,13.8,.347,.440,14.2,15.2,.241
12,2021-12-19,"",Portland,REG (Non-Conf),W,61,59,"",85.1,82.3,71.7,.534,.448,.419,51.4,56.3,7.0,13.9,.319,12.1,26.8,.414,.400,18.3,16.1,.273
