Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2021-11-09,"","",REG (Non-Conf),W,109,77,"",147.3,104.1,74.0,.500,.433,.734,65.1,63.2,4.1,6.9,.742,10.8,34.6,.333,.509,10.2,13.5,.357
2,2021-11-13,"",Bellarmine,REG (Non-Conf),W,78,59,"",118.6,89.7,65.8,.407,.463,.605,50.8,35.7,13.7,6.7,.593,14.6,31.0,.259,.490,22.6,31.3,.200
3,2021-11-16,@,Illinois State,REG (Non-Conf),W,77,65,"",111.2,93.8,69.3,.086,.286,.528,59.1,33.3,11.5,6.1,.521,12.1,38.2,.057,.491,17.4,18.8,.179
4,2021-11-22,N,East Tennessee State,REG (Non-Conf),L,58,66,"",83.3,94.8,69.6,.418,.291,.440,55.7,52.2,7.2,8.1,.427,20.5,35.5,.200,.517,16.1,23.3,.085
5,2021-11-23,N,Long Beach State,REG (Non-Conf),W,80,43,"",113.4,60.9,70.6,.233,.433,.600,51.9,53.3,15.6,20.7,.600,15.3,28.0,.133,.378,33.6,27.6,.293
6,2021-11-24,N,James Madison,REG (Non-Conf),W,74,62,"",108.8,91.2,68.0,.141,.266,.542,55.4,45.2,8.8,2.9,.531,13.9,32.3,.094,.482,16.1,23.5,.123
7,2021-11-29,"","",REG (Non-Conf),W,98,61,"",127.2,79.2,77.1,.328,.284,.633,61.2,41.0,14.3,2.9,.619,9.4,28.6,.224,.410,18.1,15.4,.180
8,2021-12-04,"",Middle Tennessee,REG (Non-Conf),W,93,87,"",116.0,108.5,80.2,.556,.254,.584,57.7,48.4,12.5,14.3,.532,15.0,43.2,.413,.564,18.5,26.5,.114
9,2021-12-10,@,Memphis,REG (Non-Conf),W,74,72,"",107.9,105.0,68.6,.172,.500,.590,53.7,66.7,10.2,3.2,.586,21.3,37.0,.103,.569,18.6,29.6,.275
10,2021-12-15,"","",REG (Non-Conf),W,118,48,"",147.2,59.9,80.2,.218,.397,.685,70.7,57.4,16.2,14.3,.686,13.1,60.6,.141,.293,18.4,22.4,.100
11,2021-12-18,"",Chattanooga,REG (Non-Conf),W,87,76,"",117.4,102.5,74.1,.281,.453,.600,50.8,45.2,8.1,9.4,.570,14.2,25.8,.219,.569,18.0,21.4,.172
12,2021-12-22,@,Auburn,REG (Non-Conf),L,58,71,"",80.2,98.2,72.3,.375,.321,.440,38.6,47.4,13.8,2.6,.402,16.5,15.8,.232,.484,15.7,34.4,.141
13,2021-12-30,"",Southeast Missouri State,REG (Conf),W,106,81,"",129.9,99.3,81.6,.469,.359,.677,57.6,44.4,11.0,16.7,.648,15.2,34.6,.359,.477,16.5,27.5,.292
14,2022-01-08,@,SIU Edwardsville,REG (Conf),W,74,69,"",111.6,104.1,66.3,.403,.371,.501,56.5,69.6,9.0,8.6,.444,10.9,47.4,.306,.500,16.7,32.3,.150
15,2022-01-13,"",Tennessee State,REG (Conf),W,67,44,"",100.8,66.2,66.4,.224,.414,.522,60.3,57.7,12.0,8.1,.500,16.8,38.2,.155,.368,21.4,17.6,.094
16,2022-01-15,@,Belmont,REG (Conf),W,82,60,"",126.2,92.3,65.0,.569,.490,.633,46.3,50.0,12.3,8.3,.647,9.8,21.9,.314,.449,15.7,31.4,.119
17,2022-01-17,@,Eastern Illinois,REG (Conf),W,72,46,"",106.1,67.8,67.9,.182,.418,.603,69.1,67.9,13.3,26.7,.591,23.2,50.0,.127,.337,22.7,18.2,.265
18,2022-01-20,"",Eastern Illinois,REG (Conf),W,91,51,"",142.4,79.8,63.9,.176,.500,.617,69.4,71.4,9.4,14.8,.618,6.4,45.2,.103,.458,15.4,6.5,.146
19,2022-01-22,"",UT Martin,REG (Conf),W,74,66,"",100.9,90.0,73.4,.508,.415,.459,52.4,52.2,12.3,12.8,.377,9.0,37.2,.385,.406,15.1,30.8,.219
20,2022-01-24,"",Tennessee Tech,REG (Conf),W,79,53,"",114.5,76.8,69.3,.269,.299,.523,58.8,54.8,8.7,2.8,.493,10.6,41.7,.194,.433,18.6,21.9,.017
21,2022-01-27,@,Tennessee Tech,REG (Conf),W,80,75,"",113.5,106.4,70.5,.180,.459,.604,52.0,67.7,9.9,7.1,.607,15.3,30.8,.098,.576,16.9,25.0,.119
22,2022-01-29,"",Morehead State,REG (Conf),W,77,66,"",110.3,94.5,69.5,.371,.323,.528,52.3,35.7,11.5,5.6,.484,7.6,28.6,.274,.500,18.2,20.0,.138
