Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2021-11-09,"",Bellarmine,REG (Non-Conf),W,96,67,"",142.7,99.6,67.3,.518,.643,.688,67.8,75.0,10.4,12.5,.643,14.7,52.0,.429,.508,13.7,20.6,.119
2,2021-11-12,"",Indiana State,REG (Non-Conf),W,92,67,"",124.5,90.6,73.9,.552,.345,.628,60.6,61.3,8.1,21.1,.603,14.1,37.9,.379,.438,13.5,21.6,.172
3,2021-11-16,"",Wright State,REG (Non-Conf),W,96,52,"",127.5,69.0,75.3,.313,.418,.624,69.7,51.4,12.0,12.1,.604,18.1,51.4,.224,.347,18.6,14.6,.186
4,2021-11-20,N,North Carolina,REG (Non-Conf),W,93,84,"",116.1,104.9,80.1,.361,.377,.651,46.7,61.8,7.5,5.0,.639,11.2,4.0,.246,.536,15.8,22.9,.145
5,2021-11-21,N,Villanova,REG (Non-Conf),W,80,74,"",126.3,116.8,63.4,.255,.418,.649,61.5,58.6,6.3,4.2,.618,15.1,40.9,.218,.560,5.7,23.3,.155
6,2021-11-26,"",Omaha,REG (Non-Conf),W,97,40,"",142.3,58.7,68.2,.407,.288,.689,71.8,55.9,5.9,17.1,.653,14.6,48.0,.339,.310,12.3,15.2,.016
7,2021-11-30,"",Florida State,REG (Non-Conf),W,93,65,"",133.3,93.2,69.8,.237,.424,.708,60.7,65.7,7.2,12.8,.695,16.5,41.7,.186,.476,16.5,25.0,.079
8,2021-12-03,"",Iowa,REG (Conf),W,77,70,"",102.0,92.7,75.5,.740,.380,.570,59.7,66.7,6.6,4.9,.500,18.2,26.7,.540,.444,11.0,13.5,.242
9,2021-12-09,@,Rutgers,REG (Conf),L,68,70,"",99.9,102.8,68.1,.262,.426,.496,57.7,40.0,11.8,5.9,.467,14.9,40.6,.180,.594,21.0,15.0,.271
10,2021-12-12,N,NC State,REG (Non-Conf),W,82,72,OT,106.5,93.5,68.4,.417,.350,.570,57.1,60.0,7.8,22.0,.542,16.3,29.0,.283,.484,15.8,15.6,.194
11,2021-12-18,N,Butler,REG (Non-Conf),W,77,48,"",129.1,80.5,59.7,.275,.431,.668,62.5,63.0,6.7,16.1,.637,14.8,43.5,.235,.356,9.6,26.8,.102
12,2021-12-20,"",Incarnate Word,REG (Non-Conf),W,79,59,"",123.0,91.8,64.3,.227,.485,.540,68.3,60.0,9.3,11.1,.538,13.1,54.3,.121,.519,16.3,14.3,.056
13,2021-12-29,"",Nicholls State,REG (Non-Conf),W,104,90,"",139.5,120.7,74.6,.443,.475,.704,54.7,85.7,4.0,15.8,.689,9.8,33.3,.328,.589,11.5,29.7,.055
14,2022-01-03,"",Wisconsin,REG (Conf),L,69,74,"",100.4,107.7,68.7,.429,.357,.512,51.5,82.6,2.9,0.0,.482,15.1,29.4,.268,.500,9.2,25.0,.233
15,2022-01-08,@,Penn State,REG (Conf),W,74,67,"",119.9,108.6,61.7,.224,.414,.577,50.9,50.0,9.7,6.1,.560,11.1,33.3,.155,.545,13.0,29.6,.127
16,2022-01-14,"",Nebraska,REG (Conf),W,92,65,"",125.2,88.4,73.5,.415,.446,.591,58.6,59.4,9.5,13.2,.562,11.4,38.9,.292,.526,21.2,20.6,.088
17,2022-01-17,@,Illinois,REG (Conf),W,96,88,2OT,112.1,102.7,68.5,.471,.265,.577,54.5,41.9,3.5,6.8,.515,12.6,23.1,.382,.494,6.7,13.2,.156
18,2022-01-20,@,Indiana,REG (Conf),L,65,68,"",96.0,100.4,67.7,.315,.426,.524,56.7,48.0,0.0,5.6,.537,16.2,17.9,.130,.482,2.9,9.4,.250
19,2022-01-23,"",Northwestern,REG (Conf),W,80,60,"",131.7,98.8,60.7,.232,.518,.643,62.7,65.5,8.2,0.0,.625,12.6,40.0,.179,.530,15.6,15.4,.140
20,2022-01-27,@,Iowa,REG (Conf),W,83,73,"",123.0,108.1,67.5,.449,.449,.698,53.3,70.0,10.4,5.4,.745,17.9,27.3,.204,.438,9.9,31.6,.266
21,2022-01-30,"",Ohio State,REG (Conf),W,81,78,"",118.2,113.9,68.5,.433,.283,.560,55.0,58.6,5.8,11.8,.550,12.1,40.0,.250,.532,7.9,30.0,.175
22,2022-02-02,@,Minnesota,REG (Conf),W,88,73,"",134.9,111.9,65.3,.127,.381,.659,67.2,65.7,3.1,13.9,.651,9.5,36.0,.095,.560,7.3,9.1,.138
23,2022-02-05,"",Michigan,REG (Conf),W,82,76,"",126.5,117.2,64.8,.362,.310,.603,63.3,56.7,10.8,8.8,.560,8.1,40.7,.293,.635,16.0,9.1,.192
24,2022-02-08,"",Illinois,REG (Conf),W,84,68,"",122.0,98.8,68.8,.295,.361,.604,53.6,51.6,7.3,15.6,.582,11.5,29.6,.213,.483,12.1,24.1,.207
25,2022-02-10,@,Michigan,REG (Conf),L,58,82,"",92.8,131.2,62.5,.280,.360,.512,40.7,22.7,3.2,7.3,.480,19.8,25.0,.200,.613,9.7,42.3,.097
26,2022-02-13,"",Maryland,REG (Conf),W,62,61,"",92.9,91.4,66.7,.231,.385,.537,51.7,60.9,10.5,10.8,.519,20.6,21.4,.154,.482,19.0,21.9,.145
27,2022-02-16,@,Northwestern,REG (Conf),W,70,64,"",97.5,89.2,71.8,.396,.396,.556,58.7,75.0,4.2,9.4,.528,18.2,22.2,.264,.417,12.9,13.9,.233
28,2022-02-20,"",Rutgers,REG (Conf),W,84,72,"",129.4,110.9,64.9,.592,.449,.669,52.2,73.1,3.1,5.3,.612,10.0,23.8,.490,.557,14.1,24.0,.245
29,2022-02-26,@,Michigan State,REG (Conf),L,65,68,"",96.5,100.9,67.4,.396,.188,.570,54.2,48.0,4.5,10.8,.531,21.9,19.0,.292,.553,12.7,18.5,.088
30,2022-03-01,@,Wisconsin,REG (Conf),L,67,70,"",100.6,105.1,66.6,.357,.375,.511,53.1,41.7,6.0,2.6,.500,13.2,25.8,.196,.484,8.3,21.2,.180
31,2022-03-05,"",Indiana,REG (Conf),W,69,67,"",104.0,101.0,66.4,.362,.414,.508,52.9,65.2,4.5,12.5,.474,13.9,34.2,.241,.475,12.2,23.3,.167
32,2022-03-11,N,Penn State,CTOURN,W,69,61,"",112.7,99.7,61.2,.327,.269,.574,54.2,53.8,8.2,15.2,.548,14.3,28.0,.231,.475,8.8,26.5,.085
33,2022-03-12,N,Michigan State,CTOURN,W,75,70,"",116.5,108.8,64.4,.439,.421,.544,56.8,40.0,4.7,6.8,.509,11.6,40.0,.298,.486,5.3,28.2,.043
