Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2021-11-10,"",Fairleigh Dickinson,REG (Non-Conf),W,93,49,"",117.7,62.0,79.0,.391,.375,.613,58.9,48.4,8.9,18.4,.586,12.7,28.1,.281,.289,18.4,17.1,.188
2,2021-11-14,"",Yale,REG (Non-Conf),W,80,44,"",103.8,57.1,77.1,.281,.375,.551,59.0,30.0,15.6,15.6,.531,18.1,30.6,.188,.274,17.5,19.1,.161
3,2021-11-16,@,Michigan,REG (Non-Conf),W,67,65,"",96.2,93.4,69.6,.300,.500,.489,45.3,33.3,4.3,12.8,.475,13.8,23.5,.167,.444,11.7,30.0,.161
4,2021-11-22,N,Ohio State,REG (Non-Conf),L,76,79,"",109.6,113.9,69.4,.429,.365,.501,51.6,16.7,8.7,15.4,.421,9.5,29.7,.365,.594,14.3,16.0,.458
5,2021-11-24,N,California,REG (Non-Conf),W,62,59,"",93.0,88.5,66.7,.600,.360,.482,44.6,29.4,13.5,5.4,.380,8.5,12.1,.480,.490,18.8,8.7,.224
6,2021-11-28,"",Bethune-Cookman,REG (Non-Conf),W,84,70,"",118.1,98.4,71.2,.356,.492,.609,66.1,75.0,9.8,16.3,.542,15.9,40.0,.339,.516,13.3,9.4,.097
7,2021-12-01,"",Wagner,REG (Non-Conf),W,85,63,"",111.5,82.7,76.2,.262,.369,.582,58.6,41.2,11.8,13.6,.577,18.0,38.2,.154,.445,20.2,22.2,.094
8,2021-12-04,"","",REG (Non-Conf),W,113,67,"",156.8,93.0,72.1,.517,.433,.756,65.2,52.6,6.9,10.9,.742,10.7,52.0,.400,.419,10.5,27.3,.068
9,2021-12-09,"",Texas,REG (Non-Conf),W,64,60,"",103.8,97.3,61.7,.333,.368,.485,53.5,34.8,9.7,13.0,.447,10.8,37.8,.228,.432,13.6,29.4,.153
10,2021-12-12,"",Rutgers,REG (Non-Conf),W,77,63,"",108.1,88.4,71.3,.349,.333,.524,54.8,29.6,14.0,7.7,.468,13.0,34.5,.286,.439,15.6,27.3,.228
