Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2022-11-07,"",Tarleton State,REG (Non-Conf),W,62,59,"",75.2,71.5,82.5,.468,.387,.409,57.7,47.6,9.7,26.8,.387,21.7,33.3,.226,.364,19.5,13.9,.345
2,2022-11-10,"",Northern Arizona,REG (Non-Conf),W,84,68,"",115.7,93.7,72.6,.729,.354,.650,64.2,69.2,11.0,10.3,.635,19.8,36.4,.479,.482,15.5,16.1,.228
3,2022-11-13,@,Texas Southern,REG (Non-Conf),L,66,67,OT,84.0,85.3,69.8,.254,.343,.440,48.2,47.8,8.9,15.7,.381,14.8,25.6,.224,.441,18.1,32.6,.103
4,2022-11-16,N,VCU,REG (Non-Conf),W,63,59,"",91.6,85.8,68.8,.362,.362,.463,53.0,47.6,10.2,7.1,.405,15.0,29.4,.276,.412,20.1,21.9,.333
5,2022-11-17,N,Michigan,REG (Non-Conf),W,87,62,"",128.8,91.8,67.5,.264,.358,.729,50.8,34.4,8.9,15.0,.708,16.7,22.7,.226,.371,9.8,33.3,.258
6,2022-11-22,"",Grambling State,REG (Non-Conf),W,80,49,"",113.3,69.4,70.6,.608,.431,.609,47.3,84.0,5.7,11.8,.559,14.3,29.6,.451,.273,19.5,42.6,.219
7,2022-11-27,"",Alcorn State,REG (Non-Conf),W,76,54,"",105.7,75.1,71.9,.558,.481,.578,50.0,83.3,2.8,19.1,.519,15.4,18.5,.423,.307,8.2,31.1,.157
8,2022-12-01,@,Colorado,REG (Conf),W,60,59,"",85.0,83.5,70.6,.213,.426,.447,41.2,66.7,19.8,11.1,.434,13.0,14.3,.115,.472,22.8,30.3,.170
9,2022-12-04,"",Stanford,REG (Conf),W,68,64,"",90.6,85.2,75.1,.351,.404,.511,48.5,60.0,14.7,10.8,.474,19.4,20.7,.246,.406,17.5,30.8,.188
10,2022-12-07,@,SMU,REG (Non-Conf),W,75,57,"",114.3,86.9,65.6,.226,.387,.546,54.8,66.7,12.2,12.9,.516,10.4,39.4,.177,.409,15.9,27.6,.218
11,2022-12-12,N,Creighton,REG (Non-Conf),W,73,71,"",107.2,104.3,68.1,.234,.375,.513,54.5,48.1,4.4,8.6,.508,11.2,32.4,.125,.460,9.0,25.0,.226
12,2022-12-18,"",San Diego,REG (Non-Conf),W,91,67,"",126.2,92.9,72.1,.333,.455,.595,51.3,67.7,11.1,18.4,.576,11.6,35.3,.227,.477,17.7,35.7,.077
13,2022-12-21,@,San Francisco,REG (Non-Conf),L,60,97,"",80.0,129.3,75.0,.441,.382,.365,47.3,42.1,8.0,3.7,.316,9.9,32.0,.250,.705,13.8,20.8,.321
14,2022-12-31,"",Arizona,REG (Conf),L,60,69,"",80.5,92.6,74.5,.145,.391,.407,44.9,52.0,9.4,19.4,.384,10.9,17.9,.101,.425,16.4,20.0,.453
15,2023-01-05,"",Washington State,REG (Conf),W,77,71,"",112.9,104.1,68.2,.268,.304,.610,46.6,58.1,11.7,3.2,.598,12.5,18.5,.179,.516,14.1,29.0,.095
16,2023-01-08,"",Washington,REG (Conf),W,73,65,"",97.7,87.0,74.7,.141,.394,.482,50.0,79.3,5.4,19.0,.472,11.7,28.6,.085,.410,14.0,26.3,.149
17,2023-01-12,@,Oregon,REG (Conf),W,90,73,"",128.8,104.5,69.9,.222,.460,.646,55.0,60.6,10.0,11.1,.627,11.4,31.0,.175,.492,13.0,22.6,.254
18,2023-01-14,@,Oregon State,REG (Conf),W,74,69,"",110.1,102.6,67.2,.551,.367,.598,52.0,33.3,13.4,28.1,.571,17.4,36.4,.367,.518,19.3,35.7,.196
19,2023-01-19,"",UCLA,REG (Conf),L,62,74,"",95.6,114.1,64.8,.245,.449,.567,43.8,54.5,7.7,15.8,.541,23.7,22.7,.184,.558,15.1,38.5,.308
20,2023-01-21,"",Southern California,REG (Conf),L,69,77,"",95.4,106.4,72.3,.292,.338,.466,44.3,56.0,12.4,10.3,.423,12.9,34.2,.215,.553,22.0,39.1,.246
21,2023-01-26,@,Washington,REG (Conf),L,66,69,OT,74.8,78.2,78.4,.173,.427,.407,45.1,69.6,13.6,11.1,.367,16.5,13.3,.147,.455,24.1,16.2,.321
22,2023-01-28,@,Washington State,REG (Conf),L,58,75,"",81.9,106.0,70.8,.339,.268,.446,42.5,47.4,8.5,16.1,.384,14.5,15.6,.268,.477,14.0,36.6,.200
23,2023-02-02,"",Oregon State,REG (Conf),W,68,57,"",105.4,88.4,64.5,.553,.383,.573,54.5,81.8,7.8,8.0,.543,16.8,28.6,.362,.490,21.2,18.5,.184
24,2023-02-04,"",Oregon,REG (Conf),L,70,75,"",93.3,99.9,75.1,.164,.393,.532,50.8,51.9,9.3,13.5,.508,17.6,19.4,.131,.538,19.7,16.7,.340
25,2023-02-09,@,Stanford,REG (Conf),W,69,65,"",103.0,97.1,67.0,.154,.508,.495,48.0,22.2,7.5,24.2,.492,11.4,34.2,.077,.468,17.0,37.8,.113
26,2023-02-11,@,California,REG (Conf),W,70,62,OT,97.5,86.4,63.8,.319,.377,.441,58.1,39.1,7.0,8.6,.377,12.2,39.6,.261,.419,11.4,18.4,.161
27,2023-02-16,"",Colorado,REG (Conf),L,59,67,"",87.7,99.6,67.3,.077,.446,.438,45.7,41.7,11.9,3.0,.431,10.6,23.7,.046,.500,19.4,28.1,.175
28,2023-02-18,"",Utah,REG (Conf),W,67,59,"",97.8,86.1,68.5,.159,.238,.494,38.1,57.1,11.7,17.1,.468,6.9,18.2,.127,.433,20.7,40.0,.117
29,2023-02-25,@,Arizona,REG (Conf),W,89,88,"",115.7,114.4,77.0,.149,.418,.620,45.8,63.9,11.7,18.5,.619,13.3,16.1,.090,.613,15.8,21.4,.434
30,2023-03-02,@,UCLA,REG (Conf),L,61,79,"",85.1,110.2,71.7,.400,.380,.513,32.4,42.9,9.8,8.5,.490,21.2,13.3,.240,.452,18.5,52.6,.371
31,2023-03-04,@,Southern California,REG (Conf),L,65,68,"",94.5,98.9,68.8,.431,.431,.415,51.3,47.4,16.0,3.0,.338,12.3,43.5,.323,.461,17.7,36.7,.412
32,2023-03-08,N,Oregon State,CTOURN,W,63,57,"",95.8,86.7,65.7,.328,.362,.470,50.0,73.9,6.1,11.4,.440,14.1,33.3,.207,.368,15.9,31.3,.340
33,2023-03-09,N,Southern California,CTOURN,W,77,72,"",108.7,101.6,70.9,.475,.542,.533,50.0,65.2,12.7,8.8,.508,13.2,35.0,.288,.491,17.4,28.6,.327
34,2023-03-10,N,Arizona,CTOURN,L,59,78,"",83.0,109.7,71.1,.246,.400,.406,38.1,61.9,14.1,8.3,.369,11.0,20.0,.169,.655,18.5,30.4,.109
