Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2022-11-07,"",Jacksonville,REG (Non-Conf),W,71,44,"",116.8,72.4,60.8,.186,.492,.553,64.6,70.4,9.9,10.0,.542,15.7,46.9,.119,.368,16.6,18.2,.094
2,2022-11-11,"",USC Upstate,REG (Non-Conf),W,84,38,"",116.4,52.7,72.2,.382,.309,.523,64.9,53.3,20.8,22.6,.493,12.0,47.2,.250,.343,28.6,18.4,.019
3,2022-11-15,N,Kansas,REG (Non-Conf),L,64,69,"",85.4,92.0,75.0,.239,.313,.429,52.8,33.3,4.0,4.2,.381,19.4,42.1,.194,.485,17.6,35.3,.060
4,2022-11-18,"",Delaware,REG (Non-Conf),W,92,58,"",125.1,78.9,73.5,.309,.206,.590,66.7,52.9,10.9,15.2,.544,11.4,43.8,.265,.427,18.2,11.8,.200
5,2022-11-21,"",Bellarmine,REG (Non-Conf),W,74,57,"",127.5,98.2,58.0,.200,.636,.614,63.6,72.0,3.4,10.8,.582,11.7,42.3,.182,.481,11.0,17.2,.093
6,2022-11-24,N,Oregon State,REG (Non-Conf),W,54,51,"",94.2,89.0,57.3,.350,.483,.386,64.1,56.3,8.7,9.1,.308,9.1,50.0,.283,.465,18.1,17.9,.256
7,2022-11-25,N,Xavier,REG (Non-Conf),W,71,64,"",105.9,95.5,67.0,.352,.204,.563,50.0,33.3,13.4,11.4,.546,14.9,27.6,.222,.452,19.7,27.6,.327
8,2022-11-27,N,Purdue,REG (Non-Conf),L,56,75,"",86.1,115.3,65.1,.293,.328,.424,40.6,38.1,7.7,7.5,.379,13.1,27.0,.207,.509,14.1,43.8,.276
9,2022-11-30,"",Ohio State,REG (Non-Conf),W,81,72,"",115.1,102.3,70.4,.545,.236,.585,51.6,64.0,12.8,7.1,.500,15.8,38.7,.473,.500,19.6,35.5,.309
10,2022-12-03,"",Boston College,REG (Conf),W,75,59,"",119.6,94.1,62.7,.245,.377,.634,51.6,67.9,6.4,16.7,.604,14.5,28.0,.208,.414,9.3,32.4,.094
11,2022-12-06,N,Iowa,REG (Non-Conf),W,74,62,"",108.2,90.7,68.4,.222,.317,.531,61.4,50.0,4.4,14.9,.500,9.1,33.3,.175,.421,9.1,17.5,.143
12,2022-12-10,"",Maryland Eastern Shore,REG (Non-Conf),W,82,55,"",115.4,77.4,71.1,.217,.333,.620,72.7,58.1,14.1,22.6,.583,22.3,53.8,.200,.473,23.0,10.3,.036
13,2022-12-20,@,Wake Forest,REG (Conf),L,70,81,"",97.9,113.3,71.5,.237,.458,.533,44.4,53.8,12.6,5.9,.508,16.5,20.6,.169,.557,17.6,27.6,.415
14,2022-12-31,"",Florida State,REG (Conf),W,86,67,"",128.5,100.1,66.9,.351,.439,.647,54.0,62.1,3.0,11.8,.605,11.9,32.1,.298,.469,14.0,18.2,.429
15,2023-01-04,@,NC State,REG (Conf),L,60,84,"",83.1,116.3,72.2,.542,.313,.497,50.7,52.6,6.9,4.5,.448,25.8,28.1,.354,.543,7.2,29.7,.114
16,2023-01-07,@,Boston College,REG (Conf),W,65,64,"",96.8,95.3,67.2,.358,.321,.524,50.8,71.4,6.0,15.2,.453,19.5,27.6,.321,.460,11.9,29.4,.095
17,2023-01-11,"",Pittsburgh,REG (Conf),W,77,69,"",104.1,93.3,74.0,.409,.409,.488,65.3,54.2,6.8,13.9,.409,17.7,52.6,.348,.483,16.4,20.6,.224
18,2023-01-14,@,Clemson,REG (Conf),L,64,72,"",92.7,104.3,69.1,.286,.317,.447,52.9,37.5,5.8,9.5,.405,13.3,35.1,.206,.483,11.8,25.8,.254
19,2023-01-21,"",Miami (FL),REG (Conf),W,68,66,"",106.0,102.9,64.1,.242,.339,.492,51.9,76.0,7.8,19.0,.476,12.6,35.9,.145,.429,7.9,32.5,.190
20,2023-01-23,@,Virginia Tech,REG (Conf),L,75,78,"",117.4,122.1,63.9,.200,.383,.571,53.8,58.6,6.3,10.0,.558,9.6,29.6,.133,.673,14.7,20.0,.245
21,2023-01-28,@,Georgia Tech,REG (Conf),W,86,43,"",131.3,65.7,65.5,.246,.377,.631,65.5,70.6,7.6,18.2,.631,10.5,39.3,.148,.355,16.0,10.0,.073
22,2023-01-31,"",Wake Forest,REG (Conf),W,75,73,"",104.5,101.7,71.8,.370,.315,.591,57.8,48.1,5.6,15.2,.556,17.0,27.6,.278,.445,11.1,17.1,.250
23,2023-02-04,"",North Carolina,REG (Conf),W,63,57,"",94.3,85.4,66.8,.246,.180,.462,56.3,41.7,6.0,25.6,.426,13.9,35.1,.180,.393,8.9,25.6,.029
24,2023-02-06,@,Miami (FL),REG (Conf),L,59,81,"",82.9,113.8,71.2,.241,.352,.490,48.3,72.7,9.8,12.0,.454,25.9,35.5,.185,.530,13.2,37.9,.149
25,2023-02-11,@,Virginia,REG (Conf),L,62,69,OT,91.7,102.1,60.1,.245,.469,.567,63.8,50.0,4.4,5.0,.541,24.8,30.8,.184,.556,12.3,9.4,.167
26,2023-02-14,"",Notre Dame,REG (Conf),W,68,64,"",103.1,97.0,66.0,.259,.345,.522,50.8,64.0,7.6,7.5,.474,10.9,24.2,.224,.475,12.2,21.9,.098
27,2023-02-18,@,Syracuse,REG (Conf),W,77,55,"",124.6,89.0,61.8,.073,.473,.677,59.6,73.3,13.0,12.8,.664,17.4,40.0,.073,.400,15.1,25.0,.200
