Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2022-11-07,@,Loyola Chicago,REG (Non-Conf),L,82,88,OT,98.6,105.8,73.9,.307,.373,.477,48.8,36.7,10.8,6.5,.447,14.0,38.3,.200,.522,18.5,37.1,.269
2,2022-11-09,"","",REG (Non-Conf),W,106,66,"",124.5,77.5,85.1,.224,.303,.630,66.7,64.3,15.3,2.6,.618,15.1,43.8,.158,.500,25.5,13.5,.082
3,2022-11-13,"",Manhattan,REG (Non-Conf),W,77,74,"",103.1,99.1,74.7,.164,.313,.533,50.8,45.2,16.1,10.3,.515,16.2,36.1,.119,.525,20.2,29.6,.203
4,2022-11-18,N,SIU Edwardsville,REG (Non-Conf),L,78,79,"",102.9,104.2,75.8,.323,.339,.545,44.8,40.7,9.2,8.5,.500,16.4,26.5,.258,.483,14.9,36.4,.397
5,2022-11-19,@,Longwood,REG (Non-Conf),L,83,99,"",122.1,145.6,68.0,.246,.492,.609,46.2,56.7,1.5,0.0,.582,10.5,25.0,.197,.774,8.4,20.0,.321
6,2022-11-20,N,VMI,REG (Non-Conf),W,93,89,"",126.9,121.4,73.3,.379,.470,.597,41.9,35.5,5.5,7.3,.545,7.2,29.7,.318,.556,15.4,45.9,.141
7,2022-11-22,@,Pittsburgh,REG (Non-Conf),L,61,83,"",86.6,117.9,70.4,.159,.413,.450,43.3,39.1,7.1,6.1,.429,18.1,30.0,.111,.603,17.5,37.0,.224
8,2022-11-27,@,Saint Peter's,REG (Non-Conf),L,63,77,"",96.1,117.4,65.6,.345,.328,.467,38.9,30.4,12.2,3.3,.431,11.8,28.6,.224,.660,22.0,42.1,.220
9,2022-11-30,@,Hartford,REG (Non-Conf),L,66,74,"",95.2,106.7,69.3,.111,.444,.498,36.8,70.4,14.4,4.2,.492,13.1,18.2,.063,.602,27.1,37.5,.477
10,2022-12-03,@,Saint Joseph's,REG (Non-Conf),W,97,80,"",129.8,107.1,74.7,.356,.407,.703,53.1,55.9,12.0,7.7,.678,13.8,25.0,.288,.564,20.6,27.6,.327
11,2022-12-09,@,Columbia,REG (Non-Conf),W,76,73,OT,94.7,91.0,71.3,.365,.381,.514,53.8,59.3,13.7,2.6,.460,16.9,30.3,.286,.445,16.9,21.9,.250
12,2022-12-11,"",NJIT,REG (Non-Conf),W,73,71,"",103.3,100.5,70.6,.536,.357,.520,58.8,47.8,9.9,6.1,.464,17.6,37.1,.375,.528,16.0,18.2,.259
13,2022-12-13,@,Richmond,REG (Non-Conf),L,48,77,"",72.1,115.6,66.6,.066,.443,.382,40.9,63.2,15.0,0.0,.369,13.7,17.1,.049,.645,19.4,20.0,.109
14,2022-12-22,"",Queens (NC),REG (Non-Conf),L,73,82,"",102.5,115.1,71.2,.106,.379,.527,55.7,40.0,8.4,0.0,.515,12.6,27.3,.076,.625,16.0,10.7,.214
15,2022-12-29,"",Merrimack,REG (Conf),W,71,63,"",101.8,90.4,69.7,.463,.278,.539,61.5,54.2,8.6,14.8,.491,19.5,38.7,.333,.463,17.2,17.6,.241
16,2022-12-31,"","",REG (Non-Conf),W,99,50,"",128.3,64.8,77.2,.105,.500,.548,60.8,60.0,28.5,13.9,.547,9.1,50.0,.058,.385,30.2,25.7,.192
17,2023-01-05,@,St. Francis Brooklyn,REG (Conf),W,76,57,"",113.8,85.4,66.8,.109,.234,.564,51.7,46.9,10.5,0.0,.555,10.6,25.9,.078,.490,23.2,25.8,.137
18,2023-01-07,"",LIU,REG (Conf),W,101,89,"",124.7,109.8,81.0,.328,.418,.652,42.6,67.6,11.1,4.5,.612,13.4,24.2,.284,.583,18.8,35.7,.182
19,2023-01-14,@,Central Connecticut State,REG (Conf),W,88,80,"",133.8,121.6,65.8,.442,.442,.699,51.0,50.0,4.6,10.0,.644,10.0,26.1,.404,.585,12.1,26.9,.186
20,2023-01-16,@,Stonehill,REG (Conf),W,65,57,"",103.1,90.4,63.1,.385,.538,.528,55.2,52.4,9.5,4.5,.481,15.2,28.1,.288,.522,19.8,11.5,.196
21,2023-01-20,"",Sacred Heart,REG (Conf),L,85,92,"",111.7,120.9,76.1,.269,.358,.563,46.8,34.5,11.8,2.2,.515,12.7,30.3,.239,.631,15.2,34.5,.154
22,2023-01-22,"",Stonehill,REG (Conf),L,59,70,"",85.1,101.0,69.3,.135,.365,.375,51.5,50.0,14.4,5.3,.345,8.2,31.8,.108,.619,24.3,12.5,.429
23,2023-01-26,"",Saint Francis (PA),REG (Conf),W,87,82,"",119.1,112.3,73.1,.269,.373,.576,48.4,40.6,12.3,3.0,.545,10.6,37.1,.209,.585,20.1,37.0,.220
24,2023-01-28,@,Merrimack,REG (Conf),W,78,71,"",108.8,99.0,71.7,.333,.407,.624,56.8,75.9,12.6,12.5,.630,24.2,38.5,.185,.622,28.4,16.7,.488
25,2023-02-04,"",Wagner,REG (Conf),L,79,83,"",121.8,128.0,64.9,.280,.620,.697,36.4,84.6,13.9,2.9,.670,12.4,4.3,.240,.651,15.3,28.6,.264
26,2023-02-09,@,LIU,REG (Conf),W,80,79,"",103.3,102.0,77.5,.413,.286,.531,48.5,58.6,10.3,4.4,.500,13.7,26.5,.270,.516,17.5,28.1,.222
27,2023-02-11,"",Central Connecticut State,REG (Conf),L,73,77,"",107.5,113.4,67.9,.258,.323,.524,51.7,53.8,10.3,17.6,.476,11.5,30.3,.226,.543,15.2,20.0,.553
28,2023-02-16,@,Sacred Heart,REG (Conf),L,86,94,OT,103.2,112.8,74.1,.176,.284,.536,42.6,41.7,9.6,6.7,.534,14.0,22.2,.095,.602,19.5,34.4,.266
29,2023-02-18,@,Wagner,REG (Conf),W,66,48,"",98.0,71.3,67.3,.333,.314,.559,55.6,37.5,11.9,9.4,.510,20.2,26.1,.275,.378,23.1,22.6,.224
30,2023-02-23,@,Saint Francis (PA),REG (Conf),L,72,82,"",106.3,121.0,67.8,.448,.345,.512,58.2,33.3,7.4,4.2,.440,11.3,33.3,.362,.655,14.7,4.5,.643
31,2023-02-25,"",St. Francis Brooklyn,REG (Conf),W,86,69,"",127.3,102.1,67.6,.237,.339,.655,52.8,72.7,13.3,2.9,.661,15.5,36.0,.136,.490,18.6,32.1,.373
32,2023-03-01,"",St. Francis Brooklyn,CTOURN,W,83,75,"",119.6,108.1,69.4,.221,.279,.552,59.7,61.3,14.4,3.1,.522,11.7,44.4,.176,.552,15.7,22.6,.190
33,2023-03-04,"",Saint Francis (PA),CTOURN,W,70,50,"",116.2,83.0,60.2,.175,.316,.567,59.6,60.7,10.0,7.1,.535,11.5,37.5,.158,.450,17.7,24.2,.100
34,2023-03-07,@,Merrimack,CTOURN,L,66,67,"",102.7,104.3,64.2,.362,.259,.485,49.3,45.8,1.6,4.5,.466,10.5,32.4,.207,.440,9.4,33.3,.276
