Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2022-11-07,"","",REG (Non-Conf),W,91,55,"",109.8,66.4,82.9,.269,.373,.602,54.2,55.6,18.1,8.0,.575,14.7,19.4,.209,.369,23.0,19.5,.108
2,2022-11-11,"",Belmont,REG (Non-Conf),W,89,74,"",123.4,102.6,72.2,.250,.317,.663,65.5,57.1,6.9,9.1,.650,17.3,38.1,.183,.547,10.2,18.9,.063
3,2022-11-17,N,Penn State,REG (Non-Conf),L,68,73,"",104.1,111.8,65.3,.109,.531,.505,55.9,51.9,6.1,15.6,.508,12.9,33.3,.047,.551,11.2,18.8,.136
4,2022-11-18,N,Old Dominion,REG (Non-Conf),L,77,82,"",103.7,110.4,74.3,.288,.559,.574,34.6,59.3,13.5,2.9,.559,14.1,6.3,.186,.719,23.5,20.0,.271
5,2022-11-20,N,South Carolina,REG (Non-Conf),W,79,60,"",117.1,89.0,67.4,.153,.458,.624,55.6,73.3,13.3,11.1,.610,15.9,32.1,.119,.520,23.1,19.2,.184
6,2022-11-25,"","",REG (Non-Conf),W,102,74,"",133.3,96.7,76.5,.231,.292,.707,63.0,61.5,10.5,5.7,.685,16.3,42.9,.200,.545,19.1,24.2,.030
7,2022-11-29,@,Appalachian State,REG (Non-Conf),W,65,61,"",91.4,85.8,71.1,.190,.460,.473,52.2,75.0,14.1,6.5,.437,12.7,23.7,.159,.480,22.2,12.9,.235
8,2022-12-03,"",South Carolina State,REG (Non-Conf),W,88,76,"",110.6,95.5,79.6,.333,.386,.666,53.4,68.8,11.3,8.0,.632,23.2,28.0,.281,.500,19.1,27.3,.152
9,2022-12-06,"",High Point,REG (Non-Conf),L,82,85,"",112.1,116.2,73.1,.171,.457,.542,43.6,56.3,8.2,13.5,.521,6.2,20.0,.129,.694,17.2,15.0,.185
10,2022-12-10,"",Winthrop,REG (Non-Conf),W,82,67,"",120.9,98.8,67.8,.288,.373,.611,61.1,59.4,13.3,14.3,.610,15.2,37.9,.169,.541,19.8,12.0,.286
11,2022-12-13,@,NC State,REG (Non-Conf),L,73,92,"",92.1,116.1,79.2,.274,.516,.521,49.3,66.7,13.9,8.6,.508,22.2,28.6,.161,.561,15.3,32.5,.273
12,2022-12-17,N,Stephen F. Austin,REG (Non-Conf),W,72,70,"",106.7,103.8,67.5,.457,.457,.643,53.3,58.3,7.4,10.5,.587,24.3,31.8,.391,.483,14.8,34.2,.241
13,2022-12-19,"","",REG (Non-Conf),W,106,79,"",135.8,101.2,78.1,.348,.638,.659,53.1,82.9,14.1,18.4,.630,9.0,29.4,.275,.571,19.1,20.0,.111
14,2022-12-29,"",VMI,REG (Conf),W,85,62,"",119.0,86.8,71.4,.250,.625,.594,54.4,83.3,7.0,6.8,.594,12.3,24.2,.141,.418,12.0,17.1,.180
15,2022-12-31,@,Western Carolina,REG (Conf),L,67,79,"",103.8,122.3,64.6,.367,.469,.582,39.6,54.2,10.8,6.3,.571,17.3,18.5,.224,.611,17.4,38.5,.241
16,2023-01-04,"",The Citadel,REG (Conf),W,97,72,"",129.6,96.2,74.8,.436,.473,.730,62.1,71.9,5.3,4.9,.691,14.2,18.2,.382,.458,8.7,11.1,.305
17,2023-01-07,@,East Tennessee State,REG (Conf),W,70,56,"",105.8,84.6,66.2,.167,.567,.541,47.3,60.0,10.6,5.1,.508,13.4,29.4,.150,.358,18.2,37.5,.217
18,2023-01-11,@,Mercer,REG (Conf),W,84,66,"",128.7,101.1,65.3,.444,.296,.642,41.9,53.6,4.6,2.1,.611,9.7,25.0,.333,.444,13.7,44.1,.177
19,2023-01-14,"",UNC Greensboro,REG (Conf),L,80,88,OT,105.3,115.8,67.5,.333,.433,.576,46.2,33.3,6.6,10.3,.525,15.8,17.6,.283,.519,12.1,22.6,.623
20,2023-01-18,@,Chattanooga,REG (Conf),W,77,69,"",110.2,98.7,69.9,.431,.466,.551,48.4,32.0,4.3,8.0,.491,11.4,29.0,.345,.481,17.5,32.3,.315
21,2023-01-22,@,Wofford,REG (Conf),W,96,82,"",135.4,115.6,70.9,.468,.500,.633,56.1,32.3,2.8,2.4,.589,9.5,33.3,.371,.556,6.6,21.2,.190
22,2023-01-25,"",Samford,REG (Conf),W,91,84,OT,115.8,106.9,69.9,.486,.486,.528,54.3,64.3,11.5,7.9,.457,7.5,34.9,.386,.602,18.1,14.8,.220
