Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2022-11-07,"",North Florida,REG (Non-Conf),W,104,63,"",127.6,77.3,81.5,.239,.179,.697,58.7,51.2,18.4,6.9,.679,14.8,29.2,.194,.424,24.1,23.1,.220
2,2022-11-11,N,Michigan State,REG (Non-Conf),W,64,63,"",86.1,84.7,74.4,.400,.327,.489,56.9,34.8,14.8,19.4,.455,21.6,29.0,.255,.433,18.7,17.6,.346
3,2022-11-16,@,Texas,REG (Non-Conf),L,74,93,"",98.3,123.5,75.3,.412,.373,.607,50.9,40.0,4.0,9.1,.578,24.7,26.7,.294,.614,12.0,22.2,.182
4,2022-11-20,"",Kentucky,REG (Non-Conf),W,88,72,"",116.1,95.0,75.8,.382,.345,.677,57.6,25.8,9.2,4.5,.627,20.7,29.2,.345,.435,12.6,26.2,.174
5,2022-11-25,N,Portland State,REG (Non-Conf),W,102,78,"",138.2,105.7,73.8,.317,.381,.703,57.6,63.2,5.4,5.6,.698,13.2,34.6,.222,.516,14.8,24.2,.246
5,2022-11-25,N,Purdue,REG (Non-Conf),L,66,84,"",95.4,121.4,69.2,.060,.418,.479,40.3,55.6,2.9,11.4,.470,9.2,15.8,.045,.557,10.1,32.4,.262
7,2022-11-27,N,Xavier,REG (Non-Conf),W,88,84,"",116.7,111.4,75.4,.306,.387,.620,53.8,74.2,8.0,7.5,.605,15.5,25.0,.210,.574,11.1,18.2,.088
8,2022-12-02,N,Baylor,REG (Non-Conf),L,63,64,"",82.8,84.2,76.1,.344,.361,.444,55.2,54.5,11.8,7.9,.410,19.3,35.1,.213,.419,16.8,20.0,.194
9,2022-12-05,"",Kent State,REG (Non-Conf),W,73,66,"",103.5,93.6,70.5,.491,.327,.538,65.2,64.0,1.4,7.5,.509,11.7,31.0,.309,.444,9.2,8.1,.159
10,2022-12-09,"",Washington,REG (Non-Conf),W,77,60,"",108.3,84.4,71.1,.375,.339,.584,58.6,65.5,16.9,12.9,.563,15.4,29.6,.250,.465,20.7,16.1,.123
