Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2022-11-07,@,Kentucky,REG (Non-Conf),L,63,95,"",81.0,122.2,77.7,.194,.373,.430,45.2,43.5,5.1,2.6,.396,17.9,25.6,.149,.637,11.7,26.7,.258
2,2022-11-09,"","",REG (Non-Conf),W,87,74,"",106.0,90.1,82.1,.532,.306,.560,65.1,71.4,6.1,15.6,.492,18.0,47.1,.419,.468,20.1,13.8,.238
3,2022-11-11,@,George Washington,REG (Non-Conf),L,75,85,"",106.1,120.2,70.7,.250,.453,.524,37.0,75.0,14.1,14.3,.508,7.7,17.6,.156,.633,17.2,30.0,.469
4,2022-11-13,"","",REG (Non-Conf),W,108,56,"",141.5,73.4,76.3,.426,.508,.736,63.8,60.5,17.0,23.1,.738,16.0,40.9,.295,.464,29.4,16.0,.405
5,2022-11-15,"",James Madison,REG (Non-Conf),L,69,95,"",90.4,124.5,76.3,.082,.311,.544,32.0,46.7,13.1,2.6,.533,23.1,14.8,.066,.703,19.9,47.8,.078
6,2022-11-18,N,Wyoming,REG (Non-Conf),L,71,78,"",107.4,118.0,66.1,.203,.339,.549,55.6,29.6,6.0,5.9,.517,15.6,32.1,.169,.691,15.3,5.9,.277
7,2022-11-19,N,Buffalo,REG (Non-Conf),W,63,59,"",88.8,83.1,71.0,.444,.352,.482,56.3,45.0,11.3,13.8,.417,19.7,31.3,.333,.444,18.3,18.8,.204
8,2022-11-21,N,Belmont,REG (Non-Conf),L,73,96,"",95.9,126.2,76.1,.361,.328,.511,48.4,56.5,9.2,8.6,.443,17.4,28.9,.311,.612,12.1,23.1,.431
9,2022-11-26,@,Austin Peay,REG (Non-Conf),W,56,55,"",83.4,81.9,67.2,.349,.302,.559,54.4,55.0,4.5,8.3,.523,26.4,12.5,.256,.364,10.1,22.7,.106
10,2022-11-30,@,Yale,REG (Non-Conf),L,40,86,"",62.2,133.7,64.3,.154,.308,.358,35.9,55.6,6.2,4.5,.375,21.2,17.1,.019,.635,13.2,41.4,.095
11,2022-12-03,@,Hampton,REG (Non-Conf),L,65,74,"",89.6,102.0,72.5,.472,.283,.501,50.7,40.9,9.7,6.9,.472,20.8,32.4,.283,.473,15.4,30.3,.375
12,2022-12-11,@,VCU,REG (Non-Conf),L,60,70,"",84.8,99.0,70.7,.246,.316,.471,56.5,40.9,12.7,9.7,.439,21.1,34.4,.175,.510,16.7,20.0,.327
13,2022-12-13,"",Florida International,REG (Non-Conf),W,71,59,"",94.7,78.7,74.9,.259,.345,.545,54.2,50.0,13.3,15.0,.517,21.7,31.3,.190,.408,20.5,27.5,.092
14,2022-12-18,@,Harvard,REG (Non-Conf),W,66,54,"",93.4,76.4,70.7,.222,.352,.553,50.8,38.5,8.5,9.1,.528,20.1,18.5,.167,.369,18.4,26.3,.148
15,2022-12-21,"",Mount St. Mary's,REG (Non-Conf),W,63,62,"",87.8,86.4,71.8,.210,.339,.462,50.7,60.9,15.3,2.5,.435,20.9,32.4,.145,.509,22.0,26.7,.052
16,2022-12-29,"",La Salle,REG (Non-Conf),L,76,80,"",105.5,111.1,72.0,.529,.235,.595,49.0,40.7,12.5,15.4,.549,20.0,26.9,.392,.648,24.6,26.1,.523
17,2023-01-07,"",Delaware State,REG (Conf),W,84,64,"",117.3,89.4,71.6,.373,.431,.700,54.9,73.3,9.8,8.3,.696,25.0,37.5,.255,.519,26.2,29.6,.170
18,2023-01-09,@,Maryland Eastern Shore,REG (Conf),L,73,82,"",95.5,107.3,76.4,.644,.556,.621,40.0,50.0,14.4,9.1,.533,26.3,15.0,.556,.600,22.5,43.3,.167
19,2023-01-14,@,Norfolk State,REG (Conf),W,86,84,"",119.3,116.6,72.1,.576,.475,.572,47.4,66.7,15.3,2.9,.500,13.8,44.1,.458,.600,21.7,47.8,.327
20,2023-01-16,"","",REG (Non-Conf),W,89,65,"",110.0,80.3,80.9,.390,.458,.636,57.4,58.1,12.4,6.3,.636,19.6,32.1,.237,.519,29.7,21.2,.212
21,2023-01-21,"",Morgan State,REG (Conf),W,88,56,"",105.3,67.0,83.6,.250,.317,.655,66.7,76.5,14.4,7.0,.642,22.1,27.8,.183,.398,24.7,10.0,.153
22,2023-01-23,"",Coppin State,REG (Conf),W,90,76,"",119.3,100.7,75.5,.446,.369,.571,61.8,45.2,6.6,3.1,.538,9.2,32.4,.308,.516,12.5,10.3,.175
23,2023-01-28,"",North Carolina Central,REG (Conf),W,71,67,"",102.5,96.7,69.3,.320,.300,.616,59.2,65.4,10.1,13.9,.600,23.8,37.5,.220,.573,24.7,20.0,.250
24,2023-01-30,"",South Carolina State,REG (Conf),W,100,74,"",127.9,94.6,78.2,.455,.382,.748,58.5,67.6,7.7,9.8,.727,22.1,38.9,.364,.492,16.9,31.4,.172
