Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2022-11-07,@,Northern Kentucky,REG (Non-Conf),W,79,57,"",121.5,87.7,65.0,.291,.436,.631,47.1,63.3,10.8,12.1,.664,14.9,29.6,.109,.342,13.5,41.5,.267
2,2022-11-10,"","",REG (Non-Conf),W,76,55,"",106.8,77.3,71.2,.310,.466,.571,48.5,48.1,22.5,9.1,.543,11.9,16.1,.224,.454,26.3,22.9,.111
3,2022-11-14,"",Portland,REG (Non-Conf),W,77,65,"",96.6,81.5,79.7,.302,.381,.535,50.0,33.3,15.1,12.0,.524,16.3,24.1,.175,.510,30.9,24.1,.306
4,2022-11-16,"",ArkansasâPine Bluff,REG (Non-Conf),W,94,68,"",110.5,79.9,85.1,.722,.389,.648,62.5,56.0,9.4,8.6,.556,21.6,23.1,.630,.467,22.8,10.5,.200
5,2022-11-19,"",Chicago State,REG (Non-Conf),W,88,59,"",112.4,75.3,78.3,.371,.414,.534,41.4,60.7,21.7,5.7,.464,10.8,31.6,.329,.392,29.6,46.9,.373
6,2022-11-23,@,College of Charleston,REG (Non-Conf),L,72,74,"",100.5,103.3,71.6,.059,.294,.515,50.7,46.7,14.0,12.5,.507,14.7,33.3,.044,.538,20.6,29.0,.321
7,2022-11-26,@,Houston,REG (Non-Conf),L,44,49,"",61.5,68.5,71.6,.175,.460,.322,37.5,53.3,19.6,15.2,.286,16.0,16.7,.127,.340,27.4,39.5,.300
8,2022-12-02,"",South Dakota State,REG (Non-Conf),W,83,68,"",120.6,98.8,68.8,.194,.387,.613,54.2,38.7,10.2,11.8,.581,11.7,32.1,.177,.473,15.4,25.8,.291
9,2022-12-05,@,Gonzaga,REG (Non-Conf),L,66,73,"",93.6,103.5,70.5,.206,.365,.477,34.8,36.0,9.9,5.4,.444,9.2,8.1,.159,.509,11.7,31.0,.309
10,2022-12-10,@,Cleveland State,REG (Non-Conf),W,67,58,"",100.0,86.5,67.0,.193,.368,.538,53.3,50.0,9.0,9.1,.518,16.2,20.7,.140,.406,14.1,16.1,.396
