Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2022-11-07,"",Hofstra,REG (Non-Conf),L,77,83,"",108.2,116.6,71.2,.339,.339,.562,52.4,44.8,4.2,8.2,.534,12.7,24.2,.237,.598,10.4,16.7,.061
2,2022-11-11,@,Navy,REG (Non-Conf),L,73,74,"",107.3,108.8,68.0,.304,.339,.570,59.3,36.7,7.4,6.1,.589,19.0,34.5,.125,.622,15.7,12.0,.265
3,2022-11-14,@,UMBC,REG (Non-Conf),W,94,64,"",132.6,90.3,70.9,.188,.297,.674,59.4,51.4,9.9,10.0,.672,13.6,40.0,.125,.400,12.2,28.2,.185
4,2022-11-19,@,Marist,REG (Non-Conf),W,62,55,"",94.0,83.4,65.9,.286,.551,.557,46.6,55.0,9.1,10.3,.520,17.7,10.3,.224,.463,18.0,17.2,.093
5,2022-11-24,N,Army,REG (Non-Conf),W,74,66,"",104.9,93.6,70.6,.279,.574,.536,54.7,42.3,2.8,9.5,.508,12.6,21.1,.197,.431,9.5,10.8,.276
6,2022-11-26,N,Northeastern,REG (Non-Conf),W,56,54,"",81.2,78.3,68.9,.316,.246,.427,48.6,31.6,13.1,18.8,.368,15.5,21.6,.246,.410,16.8,24.3,.066
7,2022-11-30,"","",REG (Non-Conf),W,92,58,"",119.3,75.2,77.1,.353,.485,.579,70.4,65.6,14.3,17.6,.559,15.0,48.6,.235,.427,18.6,8.3,.081
8,2022-12-03,@,Drexel,REG (Non-Conf),W,83,63,"",119.8,90.9,69.3,.092,.292,.612,66.7,31.4,7.2,5.4,.592,12.8,33.3,.092,.474,11.3,10.0,.158
9,2022-12-06,"",Lafayette,REG (Non-Conf),W,69,58,"",107.6,90.5,64.1,.385,.327,.561,58.3,54.2,6.2,9.1,.510,11.5,23.1,.308,.421,10.0,14.7,.175
10,2022-12-10,"",Monmouth,REG (Non-Conf),W,91,54,"",126.9,75.3,71.7,.466,.448,.642,63.0,67.7,7.0,4.1,.603,14.5,36.7,.362,.355,13.8,18.6,.161
11,2022-12-13,N,Iona,REG (Non-Conf),L,64,70,"",102.7,112.3,62.3,.313,.354,.580,47.5,76.0,3.2,0.0,.583,15.4,16.7,.167,.466,8.1,31.4,.254
12,2022-12-16,"",Delaware,REG (Non-Conf),L,69,76,"",100.9,111.2,68.4,.153,.475,.545,52.5,55.6,8.8,2.2,.542,20.2,29.0,.085,.575,12.4,21.4,.283
13,2022-12-23,"","",REG (Non-Conf),W,88,70,"",101.1,80.5,87.0,.203,.609,.627,63.0,71.0,8.0,4.3,.609,28.5,40.7,.156,.397,17.4,23.9,.235
14,2022-12-31,"",Harvard,REG (Conf),W,69,66,"",99.4,95.1,69.4,.183,.417,.529,48.0,53.8,8.6,11.1,.517,13.3,18.2,.117,.492,17.2,28.6,.117
15,2023-01-06,@,Columbia,REG (Conf),W,68,49,"",97.2,70.0,70.0,.302,.413,.472,60.7,30.8,5.7,7.1,.444,15.3,36.8,.190,.305,10.3,19.6,.220
16,2023-01-07,@,Cornell,REG (Conf),W,75,68,"",110.7,100.4,67.8,.531,.449,.611,53.4,62.5,4.4,10.0,.571,20.7,29.6,.388,.509,14.8,25.8,.175
17,2023-01-14,@,Brown,REG (Conf),L,70,72,"",104.7,107.6,66.9,.208,.491,.601,47.4,51.9,7.5,5.4,.623,17.1,7.4,.075,.604,12.8,16.7,.151
18,2023-01-16,@,Pennsylvania,REG (Conf),W,72,60,"",100.2,83.5,71.9,.526,.439,.505,53.6,26.1,0.0,2.0,.439,12.3,27.6,.386,.333,9.8,27.5,.286
19,2023-01-21,"",Dartmouth,REG (Conf),W,93,90,OT,113.6,109.9,72.8,.557,.361,.603,57.8,30.0,7.3,12.5,.549,13.5,25.0,.426,.591,14.0,9.4,.182
20,2023-01-28,@,Yale,REG (Conf),L,65,87,"",107.3,143.6,60.6,.048,.500,.512,45.2,65.4,6.6,7.9,.516,11.2,31.4,.016,.712,9.9,37.0,.051
21,2023-02-03,"",Cornell,REG (Conf),W,89,82,"",115.0,106.0,77.4,.600,.360,.693,60.0,55.2,9.0,15.0,.660,20.9,27.3,.460,.531,12.9,18.2,.200
22,2023-02-04,"",Columbia,REG (Conf),W,88,66,"",114.3,85.7,77.0,.348,.362,.547,58.1,48.4,7.8,16.3,.507,12.0,36.8,.261,.444,15.6,19.4,.177
23,2023-02-11,@,Dartmouth,REG (Conf),L,76,83,"",103.0,112.5,73.8,.294,.441,.490,44.4,48.1,13.6,8.6,.463,9.4,26.3,.191,.580,17.7,28.0,.321
24,2023-02-17,"",Brown,REG (Conf),W,78,67,"",100.7,86.5,77.5,.446,.369,.495,55.7,50.0,5.2,2.5,.431,13.2,32.3,.338,.393,14.3,25.6,.411
25,2023-02-18,"",Yale,REG (Conf),L,83,93,OT,105.5,118.2,69.9,.564,.400,.595,48.4,50.0,3.8,10.2,.536,18.7,24.1,.436,.470,5.6,31.4,.448
26,2023-02-25,@,Harvard,REG (Conf),W,58,56,"",96.3,93.0,60.2,.115,.462,.529,47.7,47.8,6.6,0.0,.510,14.1,17.9,.096,.371,8.3,29.7,.224
27,2023-03-04,"",Pennsylvania,REG (Conf),W,77,69,OT,96.7,86.7,70.8,.236,.514,.481,47.6,48.1,6.3,8.7,.438,10.1,17.8,.194,.434,11.7,17.9,.147
28,2023-03-11,"",Pennsylvania,CTOURN,W,77,70,"",114.3,103.9,67.4,.306,.387,.542,54.3,46.4,1.5,11.6,.524,11.2,33.3,.194,.508,10.7,23.5,.131
29,2023-03-12,"",Yale,CTOURN,W,74,65,"",118.0,103.6,62.7,.421,.404,.541,51.6,47.8,4.8,7.1,.482,6.8,29.4,.333,.520,13.2,21.4,.260
