Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2022-11-07,"",Florida Gulf Coast,REG (Non-Conf),L,61,74,"",84.0,101.9,72.6,.462,.365,.481,43.4,71.4,12.4,21.6,.433,19.1,17.1,.308,.438,12.7,34.1,.281
2,2022-11-10,"",Alabama State,REG (Non-Conf),W,96,58,"",120.3,72.7,79.8,.323,.354,.640,56.2,61.1,13.8,19.6,.638,18.5,35.5,.200,.371,19.9,28.6,.136
3,2022-11-15,"",Vermont,REG (Non-Conf),W,59,57,"",87.3,84.4,67.6,.434,.302,.461,54.9,52.6,3.0,16.7,.387,12.3,12.1,.340,.439,10.1,7.9,.123
4,2022-11-18,"",Mount St. Mary's,REG (Non-Conf),W,83,74,"",107.0,95.4,77.6,.571,.393,.583,51.5,69.2,9.0,16.3,.527,18.3,32.3,.429,.434,12.4,31.4,.221
5,2022-11-23,N,Brigham Young,REG (Non-Conf),W,82,76,"",110.3,102.2,74.4,.517,.172,.567,50.0,38.7,10.8,7.4,.552,12.2,29.0,.310,.525,19.7,31.4,.237
6,2022-11-24,N,Tennessee,REG (Non-Conf),L,66,73,OT,88.5,97.9,66.3,.133,.250,.517,49.3,40.7,9.4,17.4,.492,22.9,25.8,.117,.398,11.6,31.6,.344
7,2022-11-25,N,Wisconsin,REG (Non-Conf),L,59,64,"",93.2,101.1,63.3,.107,.411,.501,54.1,52.2,3.2,15.6,.509,18.1,25.0,.036,.536,10.5,13.8,.071
8,2022-11-30,@,California,REG (Conf),W,66,51,"",101.8,78.7,64.8,.308,.308,.554,56.1,43.5,4.6,15.1,.490,15.6,34.6,.288,.300,8.7,30.0,.185
9,2022-12-04,"",Oregon State,REG (Conf),W,63,62,"",101.8,100.2,61.9,.420,.320,.525,42.3,56.5,14.5,20.0,.500,9.1,17.9,.260,.519,20.1,29.2,.154
10,2022-12-07,"",Cal State Fullerton,REG (Non-Conf),W,64,50,"",91.5,71.5,69.9,.304,.357,.499,47.1,66.7,12.9,11.1,.464,17.9,19.4,.214,.379,21.3,30.8,.103
11,2022-12-14,"",Long Beach State,REG (Non-Conf),W,88,78,"",116.2,103.0,75.8,.292,.385,.594,41.3,75.0,9.2,12.9,.577,11.9,27.8,.200,.438,13.6,46.2,.192
12,2022-12-18,"",Auburn,REG (Non-Conf),W,74,71,"",106.3,102.0,69.6,.519,.250,.571,38.8,50.0,18.7,4.2,.500,14.5,27.6,.423,.553,27.4,45.0,.404
13,2022-12-21,N,Colorado State,REG (Non-Conf),W,73,64,"",101.4,88.9,72.0,.388,.388,.629,61.7,61.5,12.5,7.7,.622,25.6,26.9,.245,.425,16.9,11.8,.358
14,2022-12-30,@,Washington,REG (Conf),W,80,67,"",109.9,92.1,72.8,.344,.230,.564,56.7,42.9,11.0,24.4,.500,18.4,51.7,.279,.390,13.6,39.5,.206
15,2023-01-01,@,Washington State,REG (Conf),L,71,81,"",109.1,124.5,65.1,.246,.277,.489,58.8,32.1,6.1,7.7,.454,13.2,43.2,.185,.618,7.2,22.6,.236
16,2023-01-05,@,UCLA,REG (Conf),L,58,60,"",95.1,98.4,61.0,.113,.302,.519,44.1,40.0,8.2,15.6,.500,15.2,17.4,.094,.422,10.8,38.9,.190
17,2023-01-12,"",Colorado,REG (Conf),W,68,61,"",93.6,84.0,72.7,.279,.262,.492,38.7,61.5,16.5,22.0,.459,11.5,20.0,.197,.457,24.9,37.0,.138
18,2023-01-14,"",Utah,REG (Conf),W,71,56,"",113.0,89.1,62.8,.131,.262,.548,56.1,62.1,9.6,16.7,.533,12.2,38.7,.098,.410,13.5,28.6,.098
19,2023-01-19,@,Arizona,REG (Conf),L,66,81,"",86.9,106.6,76.0,.323,.262,.440,41.7,29.2,15.8,8.8,.400,13.8,23.1,.215,.586,20.9,36.4,.224
20,2023-01-21,@,Arizona State,REG (Conf),W,77,69,"",106.4,95.4,72.3,.246,.316,.605,55.7,50.0,11.1,9.3,.553,22.0,39.1,.246,.423,12.9,34.2,.215
21,2023-01-26,"",UCLA,REG (Conf),W,77,64,"",120.3,100.0,64.0,.353,.431,.647,43.6,56.0,7.8,10.5,.588,13.1,20.8,.333,.429,14.4,38.7,.286
22,2023-02-02,"",Washington State,REG (Conf),W,80,70,"",118.0,103.3,67.8,.462,.365,.631,45.3,51.9,7.4,19.4,.606,9.9,8.3,.327,.525,12.1,24.1,.136
23,2023-02-04,"",Washington,REG (Conf),W,80,74,"",104.7,96.8,76.4,.323,.338,.534,54.1,79.3,11.8,7.9,.477,12.8,29.0,.277,.491,18.3,20.0,.364
24,2023-02-09,@,Oregon,REG (Conf),L,60,78,"",91.1,118.5,65.8,.268,.286,.475,44.4,39.1,12.2,5.9,.446,14.8,23.3,.179,.596,15.4,29.2,.308
25,2023-02-11,@,Oregon State,REG (Conf),L,58,61,"",87.0,91.5,66.7,.464,.250,.424,54.5,38.9,9.0,16.3,.330,12.8,36.4,.375,.359,9.9,31.8,.234
26,2023-02-16,"",California,REG (Conf),W,97,60,"",135.7,83.9,71.5,.411,.411,.725,48.3,48.5,14.0,11.1,.696,9.5,13.0,.339,.398,17.1,28.6,.220
27,2023-02-18,"",Stanford,REG (Conf),W,85,75,"",117.5,103.6,72.4,.271,.424,.638,48.2,58.6,9.7,4.9,.602,11.9,14.8,.237,.525,13.9,20.7,.180
28,2023-02-23,@,Colorado,REG (Conf),W,84,65,"",119.0,92.1,70.6,.293,.328,.636,56.3,36.4,7.1,10.5,.638,10.8,19.2,.172,.409,7.6,18.4,.167
29,2023-02-25,@,Utah,REG (Conf),W,62,49,"",96.2,76.0,64.4,.280,.460,.547,50.0,52.4,4.7,17.1,.530,13.7,14.8,.180,.357,10.5,24.3,.063
30,2023-03-02,"",Arizona,REG (Conf),L,81,87,"",110.6,118.8,73.2,.344,.406,.544,55.0,46.2,4.1,14.6,.484,13.9,35.5,.297,.619,11.5,24.1,.237
31,2023-03-04,"",Arizona State,REG (Conf),W,68,65,"",98.9,94.5,68.8,.588,.353,.521,48.7,42.9,11.6,13.5,.461,17.7,36.7,.412,.338,12.3,43.5,.323
