Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2022-11-07,"",Utah Valley,REG (Non-Conf),W,75,58,"",103.4,79.9,72.6,.250,.297,.524,59.7,58.6,1.4,11.9,.516,11.2,27.8,.141,.352,11.3,12.2,.246
2,2022-11-11,"",Bradley,REG (Non-Conf),W,84,62,"",115.6,85.4,72.6,.482,.429,.610,61.1,64.0,6.9,17.1,.545,17.9,34.4,.411,.414,13.8,17.5,.241
3,2022-11-14,"",Santa Clara,REG (Non-Conf),W,96,74,"",119.6,92.2,80.3,.229,.443,.619,58.8,69.4,14.9,9.3,.600,10.4,26.7,.171,.454,14.8,15.8,.231
4,2022-11-17,@,San Diego,REG (Non-Conf),W,91,89,OT,113.5,111.0,71.3,.433,.483,.629,50.7,67.7,2.5,12.8,.633,19.0,28.6,.250,.500,10.6,34.9,.187
5,2022-11-22,"",Oral Roberts,REG (Non-Conf),W,95,85,"",119.0,106.5,79.8,.411,.554,.710,55.6,86.2,6.3,8.6,.688,21.2,17.9,.321,.569,16.5,14.3,.169
6,2022-12-01,"",Utah Tech,REG (Non-Conf),W,86,81,"",119.4,112.5,72.0,.291,.564,.687,49.1,80.0,8.3,6.9,.664,16.1,12.0,.236,.596,19.1,20.0,.365
7,2022-12-04,N,San Francisco,REG (Non-Conf),W,82,64,"",111.8,87.3,73.3,.290,.306,.581,50.9,35.5,9.5,2.9,.540,10.2,22.2,.242,.500,22.5,21.4,.164
8,2022-12-11,N,Loyola Marymount,REG (Non-Conf),W,79,67,"",110.4,93.6,71.6,.574,.241,.575,55.4,64.0,5.6,10.0,.500,9.2,22.6,.463,.430,13.9,14.7,.316
9,2022-12-15,"","",REG (Non-Conf),W,106,68,"",143.0,91.7,74.2,.188,.578,.760,52.0,64.1,9.4,7.3,.773,14.7,20.8,.109,.510,22.2,19.2,.288
10,2022-12-19,"",Weber State,REG (Non-Conf),L,72,75,"",101.9,106.1,70.7,.580,.460,.564,47.6,66.7,4.2,8.1,.500,13.6,9.7,.440,.579,14.6,15.6,.158
11,2022-12-22,N,Seattle,REG (Non-Conf),W,84,56,"",114.2,76.1,73.6,.288,.475,.626,53.5,56.7,8.2,17.5,.602,14.1,25.0,.220,.326,11.4,27.9,.159
12,2022-12-23,N,SMU,REG (Non-Conf),L,74,77,"",105.2,109.5,70.3,.281,.563,.510,58.7,62.5,1.4,6.3,.453,14.2,37.1,.250,.517,6.8,14.3,.250
13,2022-12-25,N,Washington State,REG (Non-Conf),W,82,73,"",118.4,105.4,69.2,.283,.321,.682,48.0,65.6,7.2,8.1,.708,15.5,20.8,.132,.463,16.4,26.9,.426
14,2022-12-31,"",Fresno State,REG (Conf),W,67,54,"",102.3,82.4,65.5,.587,.413,.569,59.3,55.0,7.6,6.5,.511,19.2,28.0,.435,.412,17.3,13.8,.235
15,2023-01-03,@,Air Force,REG (Conf),W,77,65,"",115.7,97.6,66.6,.551,.245,.623,61.4,40.0,6.0,5.9,.571,15.1,33.3,.429,.508,14.8,18.2,.067
16,2023-01-07,@,Boise State,REG (Conf),L,59,82,"",83.8,116.5,70.4,.241,.362,.456,41.2,43.5,7.1,14.0,.457,13.4,13.5,.103,.589,13.9,25.8,.145
17,2023-01-10,"",Wyoming,REG (Conf),W,83,63,"",115.9,88.0,71.6,.246,.295,.609,56.9,67.7,5.6,9.8,.574,10.5,21.9,.213,.438,10.0,15.0,.109
