Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2023-11-06,"",Eastern Illinois,REG (Non-Conf),W,80,52,"",109.2,71.0,73.3,.397,.534,.580,57.5,51.7,5.5,8.6,.586,14.8,25.0,.207,.319,8.4,20.8,.116
2,2023-11-10,"",Oakland,REG (Non-Conf),W,64,53,"",103.3,85.6,61.9,.291,.291,.511,51.6,50.0,4.8,5.6,.509,12.6,25.0,.145,.420,10.4,21.9,.107
3,2023-11-14,"",Marquette,REG (Non-Conf),L,64,71,"",91.0,100.9,70.3,.217,.550,.484,50.7,38.1,8.5,15.6,.442,18.5,28.9,.183,.476,10.1,25.7,.194
4,2023-11-17,"",Valparaiso,REG (Non-Conf),W,87,64,"",106.4,78.3,81.8,.320,.373,.503,54.4,48.5,4.9,6.6,.500,9.4,27.7,.160,.331,7.4,23.2,.138
5,2023-11-19,"",Southern,REG (Non-Conf),W,88,60,"",115.2,78.6,76.4,.270,.349,.619,75.0,50.0,5.2,8.1,.611,22.8,55.6,.175,.418,15.1,10.8,.148
6,2023-11-24,"",Western Illinois,REG (Non-Conf),W,84,52,"",113.1,70.0,74.3,.167,.347,.541,60.8,26.5,6.7,19.1,.542,9.3,38.9,.083,.333,11.7,20.9,.056
7,2023-12-02,@,Rutgers,REG (Conf),W,76,58,"",104.3,79.6,72.9,.167,.318,.534,68.1,40.0,4.1,8.5,.523,17.4,45.2,.106,.383,12.6,14.6,.200
8,2023-12-05,N,Florida Atlantic,REG (Non-Conf),W,98,89,"",128.1,116.4,76.5,.351,.351,.737,46.9,27.8,5.2,7.3,.702,16.4,20.0,.316,.555,14.9,34.5,.281
9,2023-12-09,@,Tennessee,REG (Non-Conf),L,79,86,"",105.0,114.3,75.2,.431,.554,.504,43.5,39.1,6.6,4.8,.423,9.3,22.9,.369,.500,9.5,35.3,.433
10,2023-12-17,"",Colgate,REG (Non-Conf),W,74,57,"",109.4,84.3,67.7,.400,.418,.565,62.9,43.5,7.4,13.0,.491,16.6,41.4,.364,.451,14.7,18.2,.033
11,2023-12-22,N,Missouri,REG (Non-Conf),W,97,73,"",125.7,94.6,77.2,.477,.508,.608,61.0,53.1,6.5,8.5,.577,11.1,40.5,.338,.432,6.8,20.0,.122
12,2023-12-29,"",FDU,REG (Non-Conf),W,104,71,"",134.5,91.8,77.3,.377,.464,.639,69.6,58.3,6.5,9.8,.616,13.8,54.8,.275,.471,13.0,18.4,.071
13,2024-01-02,"",Northwestern,REG (Conf),W,96,66,"",144.0,99.0,66.7,.357,.321,.733,58.9,48.6,3.0,11.1,.714,13.2,37.5,.286,.475,13.4,25.0,.131
