Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2023-11-06,@,Michigan State,REG (Non-Conf),W,79,76,OT,91.4,87.9,76.8,.412,.426,.486,51.1,56.0,5.8,7.7,.426,15.6,25.6,.309,.368,10.9,28.6,.319
2,2023-11-09,@,Kent State,REG (Non-Conf),W,113,108,2OT,111.4,106.5,81.2,.468,.455,.600,47.6,66.7,9.9,6.4,.578,10.5,15.4,.312,.487,14.1,23.3,.467
3,2023-11-12,"",Howard,REG (Non-Conf),W,107,86,"",132.4,106.4,80.8,.420,.290,.646,49.2,48.6,17.3,11.6,.616,10.8,40.0,.319,.533,20.5,41.4,.344
4,2023-11-17,"",Radford,REG (Non-Conf),W,76,73,"",110.3,106.0,68.9,.339,.387,.528,47.0,44.4,16.0,7.5,.484,11.1,32.4,.258,.568,20.3,34.5,.102
5,2023-11-21,N,Southern Illinois,REG (Non-Conf),W,82,76,"",111.9,103.7,73.3,.475,.220,.567,53.4,32.3,9.5,20.0,.568,14.2,29.0,.254,.541,18.3,18.5,.469
6,2023-11-22,N,Fresno State,REG (Non-Conf),W,95,64,"",127.3,85.8,74.6,.250,.359,.663,49.2,44.4,9.4,8.2,.641,12.3,33.3,.203,.437,20.3,37.5,.143
7,2023-11-29,"",Buffalo,REG (Non-Conf),W,81,66,"",116.7,95.1,69.4,.234,.422,.569,55.9,61.3,14.4,11.1,.563,10.1,36.7,.141,.538,23.2,24.1,.170
8,2023-12-03,"","",REG (Non-Conf),W,130,59,"",140.9,63.9,92.3,.159,.364,.687,80.2,47.2,17.3,14.3,.670,15.2,55.9,.136,.394,21.5,2.1,.042
9,2023-12-09,@,Old Dominion,REG (Non-Conf),W,84,69,"",115.3,94.7,72.9,.175,.381,.616,55.4,55.9,6.9,14.0,.611,17.0,34.5,.111,.389,6.9,31.1,.181
10,2023-12-16,@,Hampton,REG (Non-Conf),W,88,71,"",117.1,94.5,75.2,.118,.421,.548,50.7,61.1,9.3,7.9,.553,9.1,28.9,.053,.500,19.3,27.0,.224
11,2023-12-19,"",Coppin State,REG (Non-Conf),W,87,48,"",110.2,60.8,79.0,.371,.387,.597,52.5,58.1,27.9,8.3,.548,18.0,28.6,.306,.357,32.5,27.3,.265
12,2023-12-22,@,Morgan State,REG (Non-Conf),W,89,75,"",114.5,96.5,77.7,.446,.462,.565,54.7,48.3,7.7,3.9,.515,10.3,28.1,.338,.500,14.5,18.8,.154
13,2023-12-30,"",Texas State,REG (Conf),W,82,65,"",121.3,96.1,67.6,.254,.381,.581,50.8,51.5,10.4,2.4,.595,6.6,29.0,.111,.482,18.0,28.1,.175
14,2024-01-04,@,Louisiana,REG (Conf),W,68,61,"",90.1,80.8,75.5,.414,.379,.490,57.7,45.8,4.0,5.4,.457,20.6,26.5,.259,.455,16.8,13.5,.179
15,2024-01-06,@,Southern Mississippi,REG (Conf),L,71,81,"",98.1,112.0,72.4,.268,.239,.444,54.3,35.7,6.9,10.5,.408,10.1,37.2,.183,.528,10.4,18.5,.472
16,2024-01-11,"",South Alabama,REG (Conf),W,89,55,"",123.0,76.0,72.3,.299,.537,.582,62.3,67.7,16.6,3.2,.545,9.5,38.2,.239,.404,19.2,14.3,.158
17,2024-01-13,"",Appalachian State,REG (Conf),L,55,59,"",79.4,85.1,69.3,.109,.266,.408,40.6,43.5,24.5,2.5,.383,15.1,27.8,.094,.500,28.3,42.9,.093
18,2024-01-18,"",LouisianaâMonroe,REG (Conf),W,89,70,"",133.8,105.3,66.5,.246,.639,.653,52.4,74.2,6.0,7.1,.639,6.8,25.0,.180,.473,11.9,25.7,.327
19,2024-01-20,"",Marshall,REG (Conf),W,67,52,"",94.4,73.3,70.9,.274,.371,.478,52.0,58.3,11.3,14.8,.427,11.4,23.7,.226,.361,17.8,18.9,.131
20,2024-01-24,@,Old Dominion,REG (Conf),W,78,62,"",102.0,81.0,76.5,.365,.429,.528,55.6,81.5,10.5,5.0,.508,15.0,26.3,.222,.448,17.5,11.8,.172
21,2024-01-27,@,Appalachian State,REG (Conf),L,76,82,"",98.0,105.8,77.5,.246,.246,.493,48.6,41.4,10.3,10.0,.464,14.4,27.0,.174,.473,11.9,27.3,.545
22,2024-02-01,"",Coastal Carolina,REG (Conf),W,105,67,"",137.5,87.7,76.4,.235,.441,.694,58.9,65.9,22.3,2.9,.699,11.7,34.5,.147,.528,27.1,14.8,.208
23,2024-02-03,"",Old Dominion,REG (Conf),W,78,63,"",108.9,87.9,71.6,.482,.286,.567,53.4,63.0,15.4,11.4,.545,11.6,22.6,.304,.470,19.9,11.1,.320
24,2024-02-07,@,Arkansas State,REG (Conf),W,77,73,"",108.3,102.7,71.1,.227,.273,.526,50.6,56.7,14.1,6.3,.500,9.9,29.7,.167,.476,15.5,30.0,.226
25,2024-02-10,"",Akron,REG (Non-Conf),W,73,59,"",111.8,90.3,65.3,.273,.345,.588,53.3,60.7,10.7,7.4,.573,13.9,32.0,.182,.384,15.5,31.4,.286
26,2024-02-15,"",Georgia State,REG (Conf),W,83,63,"",121.7,92.4,68.2,.633,.347,.651,56.7,33.3,16.1,9.1,.561,13.6,29.6,.571,.449,16.7,21.2,.169
27,2024-02-17,"",Georgia Southern,REG (Conf),W,87,80,"",128.4,118.0,67.8,.722,.333,.600,46.4,57.7,8.9,0.0,.546,5.2,25.0,.519,.570,12.0,32.1,.263
28,2024-02-21,@,Marshall,REG (Conf),W,84,58,"",115.6,79.8,72.7,.519,.442,.648,47.9,57.7,13.8,8.8,.625,15.6,20.0,.365,.344,16.0,31.7,.219
29,2024-02-24,@,Georgia Southern,REG (Conf),W,80,74,"",112.3,103.9,71.2,.464,.304,.585,62.9,46.4,12.6,7.3,.545,16.0,42.3,.339,.516,13.7,22.2,.180
30,2024-02-28,@,Georgia State,REG (Conf),W,84,78,"",122.5,113.7,68.6,.344,.475,.592,56.9,53.6,4.4,8.1,.549,9.0,29.0,.279,.438,4.0,17.6,.518
31,2024-03-01,@,Coastal Carolina,REG (Conf),W,86,76,"",121.1,107.0,71.0,.368,.526,.642,50.9,63.3,15.5,2.9,.623,14.1,25.0,.263,.588,21.0,20.0,.314
32,2024-03-09,N,Marshall,CTOURN,W,81,64,"",111.2,87.9,72.8,.369,.323,.530,59.2,51.7,11.0,4.9,.508,10.5,36.8,.231,.452,16.0,18.4,.111
33,2024-03-10,N,Texas State,CTOURN,W,73,68,"",106.6,99.3,68.5,.414,.431,.526,54.2,56.5,8.8,9.5,.483,14.7,34.4,.293,.509,13.8,22.2,.241
34,2024-03-11,N,Arkansas State,CTOURN,W,91,71,"",136.9,106.8,66.5,.268,.339,.721,45.0,45.7,7.5,14.7,.723,10.0,18.2,.179,.415,11.0,39.5,.373
