Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2023-11-06,@,St. Bonaventure,REG (Non-Conf),L,69,73,"",104.8,110.9,65.8,.410,.279,.473,59.7,33.3,6.1,7.1,.418,14.1,47.4,.295,.551,11.1,24.1,.136
2,2023-11-11,"","",REG (Non-Conf),W,95,43,"",145.9,66.0,65.1,.301,.301,.569,75.8,36.1,10.7,12.5,.541,6.7,65.7,.219,.404,25.1,12.9,.106
3,2023-11-15,@,Maryland Eastern Shore,REG (Non-Conf),W,80,61,"",109.2,83.3,73.2,.333,.188,.500,56.8,50.0,8.2,2.4,.449,10.1,37.8,.261,.379,12.4,24.3,.226
4,2023-11-18,"",North Carolina Central,REG (Non-Conf),W,73,66,"",115.1,104.1,63.4,.534,.431,.502,61.7,40.9,4.7,14.7,.422,8.8,50.0,.414,.519,12.8,25.0,.185
5,2023-11-24,"",Delaware State,REG (Non-Conf),W,84,82,2OT,96.7,94.4,69.5,.541,.344,.548,45.5,60.0,9.2,10.0,.484,13.5,20.6,.410,.464,20.8,28.1,.243
6,2023-11-25,"",Lamar,REG (Non-Conf),W,83,72,"",116.2,100.8,71.4,.412,.412,.681,51.5,55.2,15.4,13.2,.667,21.8,29.2,.294,.467,16.1,35.7,.246
7,2023-11-26,"",Bethune-Cookman,REG (Non-Conf),W,69,48,"",94.9,66.0,72.7,.776,.347,.515,60.0,45.0,17.9,9.4,.480,20.2,34.4,.449,.356,27.1,15.2,.356
8,2023-11-30,"","",REG (Non-Conf),W,95,46,"",119.1,57.7,79.8,.348,.273,.617,76.7,44.7,15.0,15.2,.621,18.1,51.6,.197,.328,22.7,4.8,.138
9,2023-12-03,@,Morgan State,REG (Non-Conf),W,88,54,"",128.0,78.6,68.7,.468,.210,.581,62.1,40.6,14.5,2.6,.548,9.5,42.9,.323,.472,20.4,16.1,.075
10,2023-12-09,@,Delaware State,REG (Non-Conf),W,62,61,"",84.3,83.0,73.5,.208,.321,.532,51.6,66.7,9.5,1.9,.528,28.3,26.7,.113,.429,18.3,25.0,.111
11,2023-12-11,"","",REG (Non-Conf),W,92,61,"",137.3,91.0,67.0,.456,.404,.663,77.0,55.9,9.0,16.0,.675,15.8,60.7,.263,.500,12.6,9.1,.089
