Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2023-11-06,@,Seton Hall,REG (Non-Conf),L,59,70,"",96.3,114.2,61.3,.173,.462,.524,51.0,40.9,11.4,3.6,.500,23.2,37.0,.135,.571,17.8,33.3,.524
2,2023-11-11,@,NJIT,REG (Non-Conf),W,75,48,"",114.6,73.4,65.4,.607,.357,.520,69.2,40.0,13.8,4.5,.402,13.2,59.4,.536,.333,23.1,21.2,.476
3,2023-11-15,@,FDU,REG (Non-Conf),L,70,71,"",107.6,109.1,65.1,.169,.369,.498,57.8,61.5,6.1,17.9,.469,10.2,39.5,.138,.520,12.7,15.4,.380
4,2023-11-20,"",UMass Lowell,REG (Non-Conf),L,61,69,"",90.5,102.3,67.4,.423,.231,.488,50.9,40.0,16.3,11.8,.423,16.1,25.9,.327,.576,21.8,23.1,.348
5,2023-11-27,@,Rutgers,REG (Non-Conf),L,40,71,"",58.7,104.3,68.1,.382,.345,.308,56.8,38.5,5.9,8.6,.264,22.6,41.0,.200,.436,9.1,25.7,.418
6,2023-12-01,@,Niagara,REG (Conf),W,72,67,"",107.9,100.4,66.7,.313,.438,.653,41.3,37.0,9.0,5.3,.646,20.3,8.7,.208,.469,15.2,26.1,.458
7,2023-12-03,@,Canisius,REG (Conf),W,54,52,"",91.1,87.7,59.3,.388,.245,.465,50.9,47.4,5.1,20.0,.408,17.1,40.0,.286,.422,14.2,40.0,.176
8,2023-12-08,@,Duquesne,REG (Non-Conf),L,59,68,"",90.8,104.7,65.0,.280,.400,.521,42.6,61.9,7.7,26.9,.500,18.7,17.9,.180,.451,12.3,30.8,.431
9,2023-12-12,"",UMBC,REG (Non-Conf),W,66,60,"",94.4,85.8,69.9,.406,.304,.401,52.1,27.3,20.0,0.0,.333,6.8,38.6,.290,.531,26.1,27.6,.188
10,2023-12-22,"","",REG (Non-Conf),W,73,70,"",102.2,98.0,71.5,.684,.561,.483,52.1,57.1,18.2,8.6,.430,11.7,35.0,.421,.559,22.4,27.3,.255
11,2023-12-30,@,Bucknell,REG (Non-Conf),W,67,58,"",118.4,102.5,56.6,.429,.286,.568,56.3,59.1,8.8,12.0,.510,10.6,36.0,.347,.557,18.0,21.7,.205
12,2024-01-05,"",Iona,REG (Conf),W,69,57,"",101.8,84.1,67.8,.532,.362,.586,58.9,68.4,4.4,7.1,.500,21.4,24.0,.468,.404,9.9,12.9,.193
13,2024-01-07,"",Mount St. Mary's,REG (Conf),W,70,64,"",102.3,93.5,68.5,.491,.218,.516,52.5,45.5,19.0,8.0,.436,16.1,34.4,.400,.543,25.6,25.9,.277
14,2024-01-14,@,Manhattan,REG (Conf),W,81,68,"",116.7,97.9,69.4,.500,.259,.564,46.0,77.8,10.1,9.7,.509,7.7,22.6,.379,.491,17.9,31.3,.232
15,2024-01-19,@,Fairfield,REG (Conf),L,67,76,"",98.5,111.8,68.0,.288,.322,.499,51.7,42.3,5.9,5.3,.466,11.8,30.0,.203,.537,14.5,25.0,.333
16,2024-01-21,"",Canisius,REG (Conf),W,70,59,"",101.6,85.7,68.9,.351,.333,.526,45.7,83.3,14.5,5.7,.491,13.1,24.2,.246,.392,20.7,35.1,.373
17,2024-01-25,"",Rider,REG (Conf),L,57,62,"",85.3,92.8,66.8,.288,.318,.380,50.6,55.0,10.5,7.3,.348,10.7,37.8,.167,.473,19.3,32.4,.182
18,2024-01-28,@,Siena,REG (Conf),W,63,52,"",94.9,78.3,66.4,.509,.255,.461,49.2,35.0,22.6,13.8,.391,11.6,28.9,.364,.453,25.5,17.4,.302
19,2024-02-02,"",Niagara,REG (Conf),L,59,68,OT,80.7,93.0,65.0,.317,.233,.427,55.2,38.1,6.8,31.6,.383,19.8,36.8,.217,.434,16.2,20.7,.415
20,2024-02-04,@,Marist,REG (Conf),L,52,63,"",85.9,104.1,60.5,.222,.370,.436,56.7,42.1,8.3,13.3,.417,15.6,28.1,.130,.569,12.8,10.7,.098
21,2024-02-08,@,Quinnipiac,REG (Conf),L,73,84,"",102.5,117.9,71.3,.500,.383,.492,45.0,43.5,9.8,11.8,.458,10.8,28.2,.300,.652,19.9,23.8,.522
22,2024-02-10,"",Fairfield,REG (Conf),L,62,64,"",96.7,99.8,64.1,.200,.473,.515,52.7,52.2,17.2,16.0,.491,19.9,35.5,.145,.580,22.9,25.0,.295
23,2024-02-16,"",Siena,REG (Conf),W,75,53,"",110.9,78.4,67.6,.288,.303,.500,60.0,50.0,11.8,21.6,.455,11.8,48.6,.227,.393,17.3,26.7,.161
24,2024-02-18,@,Iona,REG (Conf),W,59,53,"",95.0,85.4,62.1,.488,.341,.584,44.6,72.2,14.5,6.1,.512,21.7,15.0,.415,.349,14.7,42.2,.143
25,2024-02-23,@,Mount St. Mary's,REG (Conf),W,70,65,"",104.0,96.5,67.3,.262,.262,.510,50.8,42.3,10.4,10.0,.475,10.4,31.3,.197,.491,18.6,25.9,.245
26,2024-02-25,"",Marist,REG (Conf),W,69,60,"",102.4,89.0,67.4,.787,.319,.534,40.7,50.0,10.4,14.3,.489,12.2,12.5,.489,.400,18.0,25.9,.533
27,2024-03-03,"",Manhattan,REG (Conf),W,89,57,"",125.5,80.4,70.9,.159,.217,.600,67.7,69.4,11.3,13.9,.594,11.9,44.8,.101,.405,14.5,13.9,.172
28,2024-03-07,@,Rider,REG (Conf),L,56,61,"",80.0,87.2,70.0,.472,.208,.432,46.9,43.8,15.7,19.4,.330,19.8,34.4,.396,.396,20.5,40.6,.479
29,2024-03-09,"",Quinnipiac,REG (Conf),L,74,89,"",102.8,123.6,72.0,.417,.217,.515,49.2,19.2,8.3,13.6,.475,15.3,32.4,.283,.636,14.3,28.0,.237
30,2024-03-14,N,Rider,CTOURN,W,50,48,"",75.8,72.8,66.0,.519,.250,.386,60.0,26.7,1.5,20.9,.317,15.6,35.9,.327,.310,10.8,13.9,.207
31,2024-03-15,N,Quinnipiac,CTOURN,W,62,60,"",99.7,96.5,62.2,.333,.315,.496,46.7,47.6,8.0,16.3,.454,13.8,30.8,.241,.406,10.8,41.2,.321
32,2024-03-16,N,Fairfield,CTOURN,W,68,63,"",112.0,103.8,60.7,.591,.295,.603,54.1,39.1,1.6,17.5,.591,17.6,37.5,.364,.392,2.7,35.1,.185
