Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2023-11-06,"",USC Upstate,REG (Non-Conf),W,82,53,"",115.8,74.8,70.8,.345,.400,.640,66.7,55.2,9.9,9.3,.636,19.0,33.3,.218,.390,13.2,10.3,.119
2,2023-11-10,N,Virginia Tech,REG (Non-Conf),W,79,77,"",128.2,124.9,61.6,.145,.382,.672,56.0,51.6,3.2,6.7,.655,14.5,32.0,.127,.567,7.4,20.0,.346
3,2023-11-13,"",VMI,REG (Non-Conf),W,74,64,"",100.7,87.1,73.5,.352,.324,.446,53.4,56.0,13.6,6.5,.401,9.8,41.9,.239,.458,18.3,30.0,.169
4,2023-11-17,N,DePaul,REG (Non-Conf),W,73,68,"",96.3,89.7,75.8,.667,.412,.544,58.3,50.0,7.9,7.5,.520,20.2,27.6,.392,.446,15.1,12.9,.321
5,2023-11-19,N,Grand Canyon,REG (Non-Conf),W,75,68,"",115.0,104.3,65.2,.320,.340,.651,42.6,66.7,4.6,2.9,.610,12.2,14.3,.280,.441,16.9,34.6,.451
6,2023-11-28,"",Notre Dame,REG (Non-Conf),W,65,53,"",105.0,85.6,61.9,.520,.500,.521,43.6,57.9,8.1,12.9,.450,8.8,21.4,.400,.385,12.8,33.3,.250
7,2023-12-01,"",George Washington,REG (Non-Conf),W,89,67,"",138.9,104.6,64.1,.106,.530,.642,48.4,57.6,10.9,15.8,.636,4.1,27.3,.076,.508,13.6,29.0,.100
8,2023-12-06,@,Clemson,REG (Non-Conf),L,67,72,"",96.0,103.2,69.8,.311,.492,.478,46.6,59.1,7.2,7.9,.443,10.3,15.8,.213,.518,12.1,20.0,.250
9,2023-12-09,@,East Carolina,REG (Non-Conf),W,68,62,"",106.0,96.6,64.2,.500,.542,.572,51.7,61.9,3.1,11.1,.531,13.2,17.9,.354,.443,9.9,18.8,.283
10,2023-12-16,"",Charleston Southern,REG (Non-Conf),W,73,69,"",118.7,112.2,61.5,.175,.397,.535,60.3,62.1,4.9,0.0,.508,8.1,41.4,.143,.543,7.5,20.7,.103
11,2023-12-19,"",Winthrop,REG (Non-Conf),W,72,62,"",109.5,94.3,65.7,.176,.382,.488,54.1,55.6,9.1,19.2,.441,11.9,42.4,.176,.415,14.1,32.1,.489
12,2023-12-22,"",Elon,REG (Non-Conf),W,70,43,"",105.4,64.8,66.4,.254,.476,.496,54.8,53.8,10.5,8.3,.476,12.4,37.1,.159,.340,21.1,22.2,.180
13,2023-12-30,"",Florida A&M,REG (Non-Conf),W,94,62,"",138.2,91.1,68.0,.452,.468,.624,59.4,70.0,7.4,10.0,.565,9.6,43.8,.387,.452,11.7,27.0,.079
14,2024-01-06,"",Mississippi State,REG (Conf),W,68,62,"",103.0,93.9,66.0,.500,.442,.528,54.7,57.1,4.5,12.8,.481,15.7,35.7,.346,.510,18.1,24.0,.173
15,2024-01-09,@,Alabama,REG (Conf),L,47,74,"",72.6,114.2,64.8,.164,.455,.396,47.5,47.1,12.4,10.0,.355,21.3,31.6,.145,.620,19.4,26.1,.130
16,2024-01-13,@,Missouri,REG (Conf),W,71,69,OT,101.4,98.5,62.3,.305,.407,.526,58.2,50.0,2.9,0.0,.466,19.2,38.7,.271,.460,9.0,25.0,.194
17,2024-01-16,"",Georgia,REG (Conf),L,69,74,"",95.6,102.5,72.2,.552,.448,.471,47.6,52.2,2.8,16.7,.448,10.9,32.4,.293,.402,8.4,34.5,.410
18,2024-01-20,@,Arkansas,REG (Conf),W,77,64,"",115.2,95.8,66.8,.315,.333,.620,60.0,71.4,1.5,2.3,.602,12.7,26.9,.222,.411,6.7,14.7,.210
19,2024-01-23,"",Kentucky,REG (Conf),W,79,62,"",119.8,94.0,66.0,.233,.400,.593,55.7,69.0,7.6,12.2,.575,9.5,33.3,.167,.435,12.0,22.6,.129
20,2024-01-27,"",Missouri,REG (Conf),W,72,64,"",108.7,96.6,66.2,.462,.481,.568,48.1,69.6,12.1,9.3,.538,12.4,14.8,.308,.490,14.5,18.5,.275
21,2024-01-30,@,Tennessee,REG (Conf),W,63,59,"",96.1,90.0,65.5,.321,.518,.488,52.6,78.9,7.6,0.0,.429,13.4,24.3,.268,.405,8.2,20.5,.207
22,2024-02-03,@,Georgia,REG (Conf),W,72,62,"",115.7,99.6,62.3,.196,.357,.588,54.5,86.2,8.0,0.0,.580,11.6,26.9,.125,.473,11.7,20.7,.161
23,2024-02-06,"",Ole Miss,REG (Conf),W,68,65,"",109.1,104.3,62.3,.117,.450,.537,51.9,57.1,4.8,6.7,.542,11.2,25.9,.050,.545,12.1,22.2,.091
24,2024-02-10,"",Vanderbilt,REG (Conf),W,75,60,"",133.3,106.6,56.3,.138,.500,.607,56.0,70.0,3.6,7.7,.595,8.8,43.5,.103,.528,7.8,33.3,.056
25,2024-02-14,@,Auburn,REG (Conf),L,61,101,"",87.6,145.0,69.7,.538,.288,.467,52.1,27.8,8.6,10.3,.375,16.6,32.1,.423,.712,8.1,20.0,.288
26,2024-02-17,"",Louisiana State,REG (Conf),L,63,64,"",98.1,99.6,64.3,.097,.323,.486,44.8,57.7,10.9,4.4,.468,12.2,24.2,.081,.474,13.4,35.3,.155
27,2024-02-24,@,Ole Miss,REG (Conf),W,72,59,"",106.1,86.9,67.9,.305,.288,.533,56.1,65.4,7.4,2.6,.508,12.9,35.5,.203,.361,11.5,25.7,.370
28,2024-02-28,@,Texas A&M,REG (Conf),W,70,68,"",110.2,107.0,63.5,.213,.410,.521,47.8,78.6,3.1,10.0,.525,8.2,26.5,.098,.404,5.5,30.3,.386
29,2024-03-02,"",Florida,REG (Conf),W,82,76,"",121.6,112.7,67.4,.585,.453,.605,43.9,52.0,11.9,18.2,.557,9.4,20.7,.434,.571,16.0,32.1,.214
30,2024-03-06,"",Tennessee,REG (Conf),L,59,66,"",94.2,105.4,62.6,.167,.483,.456,50.7,47.8,6.4,11.1,.450,12.2,31.6,.083,.420,9.5,28.6,.339
31,2024-03-09,@,Mississippi State,REG (Conf),W,93,89,OT,124.6,119.2,66.3,.364,.424,.601,42.6,62.5,8.0,11.9,.553,9.4,29.0,.303,.565,14.0,43.3,.306
32,2024-03-14,N,Arkansas,CTOURN,W,80,66,"",120.6,99.5,66.4,.344,.246,.564,55.2,56.3,10.5,0.0,.549,10.1,33.3,.213,.548,17.5,16.0,.173
33,2024-03-15,N,Auburn,CTOURN,L,55,86,"",80.1,125.2,68.7,.491,.211,.391,47.4,56.3,2.9,8.0,.307,12.5,27.5,.351,.558,3.7,31.6,.130
