Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2023-11-06,"",Tennessee Tech,REG (Non-Conf),W,80,42,"",112.9,59.2,70.9,.159,.476,.590,59.1,75.9,9.9,20.5,.556,12.9,24.1,.159,.294,21.0,13.5,.235
2,2023-11-10,@,Wisconsin,REG (Non-Conf),W,80,70,"",112.0,98.0,71.4,.411,.304,.598,54.0,35.7,4.2,8.1,.545,13.0,23.1,.339,.459,11.1,24.3,.230
3,2023-11-14,"",Wofford,REG (Non-Conf),W,82,61,"",125.5,93.3,65.4,.390,.458,.586,53.1,59.3,15.3,20.8,.551,10.3,41.9,.288,.459,16.7,36.4,.082
4,2023-11-20,N,Syracuse,REG (Non-Conf),W,73,56,"",92.5,70.9,79.0,.450,.233,.501,61.1,58.3,10.1,15.0,.442,18.0,28.6,.333,.400,17.1,8.1,.133
5,2023-11-21,N,Purdue,REG (Non-Conf),L,67,71,"",89.3,94.6,75.0,.526,.526,.470,40.9,47.4,10.7,7.7,.404,12.3,25.0,.368,.389,16.3,44.1,.537
6,2023-11-22,N,Kansas,REG (Non-Conf),L,60,69,"",83.2,95.7,72.1,.113,.465,.401,44.4,54.5,15.3,7.5,.373,6.3,18.6,.099,.558,19.4,17.2,.212
7,2023-11-29,@,North Carolina,REG (Non-Conf),L,92,100,"",120.5,131.0,76.3,.254,.444,.652,46.7,37.1,6.6,21.2,.627,14.5,22.2,.206,.557,9.2,33.3,.525
8,2023-12-05,"",George Mason,REG (Non-Conf),W,87,66,"",121.1,91.9,71.8,.338,.400,.577,61.5,84.4,11.1,12.9,.562,10.7,34.4,.215,.527,17.5,12.1,.125
9,2023-12-09,"",Illinois,REG (Non-Conf),W,86,79,"",114.3,105.0,75.2,.567,.300,.565,56.5,77.8,8.0,10.3,.500,9.5,35.3,.433,.423,9.3,22.9,.369
10,2023-12-12,"",Georgia Southern,REG (Non-Conf),W,74,56,"",102.0,77.2,72.6,.379,.345,.541,57.1,65.4,16.5,18.4,.491,21.7,45.5,.293,.329,16.5,35.3,.143
11,2023-12-16,N,NC State,REG (Non-Conf),W,79,70,"",117.5,104.1,67.2,.258,.435,.568,57.8,81.5,8.9,6.1,.532,13.6,40.0,.210,.510,14.9,20.7,.353
12,2023-12-21,"",Tarleton State,REG (Non-Conf),W,65,46,"",104.3,73.8,62.3,.400,.455,.497,52.8,65.0,1.6,15.8,.436,10.9,35.3,.309,.317,13.3,31.6,.133
13,2024-01-02,"",Norfolk State,REG (Non-Conf),W,87,50,"",120.4,69.2,72.3,.258,.500,.587,56.3,76.7,19.4,18.4,.545,12.9,36.1,.227,.362,27.1,17.9,.340
14,2024-01-06,"",Ole Miss,REG (Conf),W,90,64,"",127.4,90.6,70.6,.181,.417,.576,61.3,73.5,9.9,7.9,.549,11.3,44.4,.153,.481,15.1,15.4,.222
15,2024-01-10,@,Mississippi State,REG (Conf),L,72,77,"",101.1,108.1,71.2,.271,.492,.541,50.8,44.4,21.1,8.8,.525,17.4,32.4,.169,.558,19.8,27.6,.365
16,2024-01-13,@,Georgia,REG (Conf),W,85,79,"",114.2,106.1,74.4,.377,.426,.591,52.7,58.6,8.1,16.7,.549,16.3,34.4,.295,.435,9.1,33.3,.275
17,2024-01-16,"",Florida,REG (Conf),W,85,66,"",119.8,93.1,70.9,.350,.300,.607,54.4,54.8,12.7,13.0,.567,15.7,41.9,.283,.331,11.1,37.5,.309
18,2024-01-20,"",Alabama,REG (Conf),W,91,71,"",113.6,88.6,80.1,.379,.424,.584,48.3,65.6,18.7,17.1,.561,7.2,25.0,.258,.482,24.6,16.7,.304
