Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2023-11-06,"",Incarnate Word,REG (Non-Conf),W,88,56,"",113.7,72.3,77.4,.365,.413,.595,54.4,62.5,12.9,22.0,.587,14.0,30.3,.222,.328,18.5,28.3,.219
2,2023-11-10,"",Delaware State,REG (Non-Conf),W,86,59,"",113.9,78.2,75.5,.396,.415,.683,60.0,78.6,14.6,2.3,.642,23.2,33.3,.340,.433,25.3,19.4,.269
3,2023-11-15,"",Rice,REG (Non-Conf),W,80,64,"",115.9,92.7,69.0,.458,.458,.684,62.1,58.6,8.7,15.8,.708,21.5,27.3,.250,.417,10.6,16.7,.233
4,2023-11-19,N,Louisville,REG (Non-Conf),W,81,80,"",115.2,113.8,70.3,.343,.254,.520,46.6,38.7,10.0,13.5,.478,4.9,30.3,.254,.500,11.7,32.0,.509
5,2023-11-20,N,Connecticut,REG (Non-Conf),L,71,81,"",103.9,118.5,68.4,.210,.258,.521,42.4,57.1,4.4,8.1,.492,8.1,16.1,.161,.533,7.9,28.6,.262
6,2023-11-26,"",Wyoming,REG (Non-Conf),W,86,63,"",123.1,90.2,69.9,.213,.246,.640,59.0,44.1,12.9,15.2,.607,16.2,40.7,.197,.424,15.1,26.5,.220
7,2023-11-30,"",Texas State,REG (Non-Conf),W,77,58,"",111.5,84.0,69.1,.317,.381,.531,56.5,64.3,7.2,16.3,.500,12.1,38.2,.222,.440,16.7,25.7,.121
8,2023-12-06,@,Marquette,REG (Non-Conf),L,65,86,"",88.0,116.4,73.9,.233,.267,.488,43.5,64.0,13.5,17.2,.450,16.3,17.6,.183,.627,18.5,25.0,.203
9,2023-12-09,"",Houston Christian,REG (Non-Conf),W,77,50,"",102.7,66.7,75.0,.174,.304,.515,47.9,53.1,17.3,11.1,.507,10.8,25.7,.101,.326,18.3,31.6,.106
10,2023-12-16,N,Louisiana State,REG (Non-Conf),W,96,85,"",124.8,110.5,76.9,.424,.339,.677,53.4,65.6,6.5,13.2,.627,14.5,28.0,.373,.548,15.0,27.3,.254
11,2023-12-22,"",Texas A&MâCorpus Christi,REG (Non-Conf),W,71,55,"",103.1,79.9,68.8,.365,.308,.582,58.7,64.0,8.7,17.1,.538,18.7,26.9,.288,.390,14.4,18.9,.153
12,2023-12-29,"",UNC Greensboro,REG (Non-Conf),W,72,37,"",113.7,58.4,63.3,.340,.434,.585,54.7,52.0,4.7,21.4,.566,15.2,28.1,.226,.330,20.3,18.8,.128
13,2024-01-01,"",UT Arlington,REG (Non-Conf),W,79,62,"",116.0,91.0,68.1,.317,.397,.545,59.7,55.6,4.4,23.5,.500,14.2,51.4,.254,.475,17.6,31.3,.066
14,2024-01-06,"",Texas Tech,REG (Conf),L,67,78,"",93.3,108.6,71.8,.222,.286,.481,58.2,46.2,7.0,10.5,.460,16.7,32.3,.143,.594,12.5,8.3,.283
15,2024-01-09,@,Cincinnati,REG (Conf),W,74,73,"",103.6,102.2,71.4,.175,.351,.599,47.3,51.7,11.2,6.8,.570,15.1,18.5,.158,.533,17.0,25.0,.131
16,2024-01-13,@,West Virginia,REG (Conf),L,73,76,"",99.0,103.1,73.7,.396,.415,.580,50.0,29.2,12.2,6.7,.538,25.0,30.0,.302,.521,19.4,31.3,.574
17,2024-01-17,"",UCF,REG (Conf),L,71,77,"",105.3,114.2,67.4,.222,.481,.595,37.0,63.0,14.8,2.9,.593,15.6,12.0,.130,.570,19.0,41.4,.211
18,2024-01-20,"",Baylor,REG (Conf),W,75,73,"",126.5,123.1,59.3,.327,.365,.624,48.8,51.9,5.1,11.5,.606,9.1,27.3,.231,.594,10.9,28.6,.333
19,2024-01-23,@,Oklahoma,REG (Conf),W,75,60,"",114.8,91.9,65.3,.346,.346,.619,62.5,53.8,4.6,10.8,.577,16.5,29.6,.288,.429,9.8,13.5,.214
20,2024-01-27,@,Brigham Young,REG (Conf),L,72,84,"",110.2,128.5,65.4,.262,.361,.525,41.2,63.0,12.2,6.1,.508,9.3,28.1,.164,.710,19.7,36.8,.260
21,2024-01-29,"",Houston,REG (Conf),L,72,76,OT,98.6,104.0,64.9,.333,.333,.518,42.7,73.1,8.2,9.1,.483,12.6,16.7,.233,.471,11.7,33.3,.176
22,2024-02-03,@,TCU,REG (Conf),W,77,66,"",113.7,97.5,67.7,.263,.211,.600,66.7,48.3,16.2,11.9,.561,17.9,46.2,.228,.565,19.6,9.1,.093
23,2024-02-06,"",Iowa State,REG (Conf),L,65,70,"",101.0,108.8,64.3,.370,.259,.512,49.3,63.6,6.2,16.3,.435,15.9,35.5,.333,.455,8.8,39.5,.152
24,2024-02-10,"",West Virginia,REG (Conf),W,94,58,"",130.8,80.7,71.9,.114,.457,.637,50.0,77.8,11.1,14.3,.621,6.3,21.9,.100,.409,18.8,23.5,.236
25,2024-02-17,@,Houston,REG (Conf),L,61,82,"",89.7,120.6,68.0,.281,.316,.472,41.1,40.9,7.4,10.3,.439,17.8,25.0,.193,.532,9.7,43.2,.258
26,2024-02-19,"",Kansas State,REG (Conf),W,62,56,"",89.2,80.6,69.5,.414,.328,.447,53.5,61.9,10.1,13.5,.388,11.5,25.0,.293,.402,15.9,17.1,.196
27,2024-02-24,@,Kansas,REG (Conf),L,67,86,"",94.0,120.6,71.3,.161,.419,.502,41.5,61.5,14.0,2.3,.492,16.3,25.8,.097,.644,17.8,36.4,.365
28,2024-02-27,@,Texas Tech,REG (Conf),W,81,69,"",115.2,98.2,70.3,.536,.393,.577,60.6,50.0,7.1,16.2,.509,14.6,41.9,.429,.415,10.1,22.9,.339
