Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2024-11-04,"",UNC Asheville,REG (Non-Conf),W,110,54,"",148.4,72.9,74.1,.617,.300,.709,68.4,55.3,6.7,12.8,.700,11.4,53.8,.433,.315,9.1,24.5,.110
2,2024-11-08,"",Arkansas State,REG (Non-Conf),W,88,79,"",104.8,94.0,84.0,.667,.470,.506,58.5,48.1,6.0,11.8,.455,10.3,30.0,.424,.452,11.2,14.3,.371
3,2024-11-11,"",McNeese State,REG (Non-Conf),W,72,64,"",106.2,94.4,67.8,.480,.680,.586,50.8,72.7,11.8,13.5,.550,17.5,29.0,.340,.451,15.3,26.7,.148
4,2024-11-15,@,Purdue,REG (Non-Conf),L,78,87,"",114.7,127.9,68.0,.238,.460,.556,51.4,64.3,1.5,12.8,.516,10.2,29.4,.206,.563,3.9,27.8,.254
5,2024-11-20,N,Illinois,REG (Non-Conf),W,100,87,"",121.5,105.7,82.3,.173,.453,.616,45.5,59.0,8.5,14.6,.593,7.9,14.7,.147,.521,12.7,30.2,.183
6,2024-11-26,N,Houston,REG (Non-Conf),W,85,80,OT,106.2,99.9,71.2,.683,.500,.535,59.7,63.6,6.2,13.0,.458,15.0,45.9,.500,.415,12.9,25.7,.400
7,2024-11-27,N,Rutgers,REG (Non-Conf),W,95,90,"",115.3,109.3,82.4,.621,.431,.632,58.3,53.3,7.3,5.8,.603,20.2,41.9,.431,.462,9.9,24.1,.462
8,2024-11-30,N,Oregon,REG (Non-Conf),L,81,83,"",105.6,108.2,76.7,.313,.594,.551,54.2,77.8,7.8,8.2,.516,16.9,33.3,.234,.477,9.3,25.0,.303
9,2024-12-04,@,North Carolina,REG (Non-Conf),W,94,79,"",110.1,92.5,85.4,.183,.465,.609,51.4,51.4,9.4,10.0,.577,14.4,23.5,.169,.442,13.2,25.0,.128
10,2024-12-14,"",Creighton,REG (Non-Conf),W,83,75,"",109.2,98.7,76.0,.314,.429,.516,62.3,43.3,10.5,0.0,.471,11.1,40.5,.243,.517,16.1,12.5,.217
11,2024-12-18,@,North Dakota,REG (Non-Conf),W,97,90,"",125.9,116.8,77.0,.476,.540,.628,56.5,42.4,7.8,8.6,.611,15.3,46.7,.317,.546,12.1,35.9,.092
12,2024-12-22,"",Kent State,REG (Non-Conf),W,81,54,"",105.3,70.2,76.9,.583,.583,.529,59.8,51.9,10.4,14.6,.525,18.2,43.6,.300,.293,11.9,28.3,.133
13,2024-12-29,"",South Dakota State,REG (Non-Conf),W,105,82,"",133.1,103.9,78.9,.205,.705,.613,51.9,56.8,12.7,13.3,.596,6.6,35.0,.154,.500,15.4,29.7,.155
14,2025-01-04,"",Oklahoma,REG (Conf),W,107,79,"",136.4,100.7,78.4,.395,.382,.593,65.7,55.3,11.5,12.5,.559,8.1,54.1,.289,.515,12.9,21.2,.149
15,2025-01-08,@,South Carolina,REG (Conf),W,88,68,"",117.0,90.4,75.2,.313,.297,.599,50.8,60.0,13.3,12.5,.609,13.0,27.3,.156,.454,18.5,21.4,.352
16,2025-01-11,@,Texas A&M,REG (Conf),W,94,88,"",114.1,106.8,82.4,.588,.544,.540,52.3,63.0,7.3,16.7,.493,12.1,45.0,.397,.417,7.8,41.3,.389
17,2025-01-14,"",Ole Miss,REG (Conf),L,64,74,"",83.7,96.8,76.5,.553,.426,.539,50.7,55.0,3.9,10.2,.479,26.1,12.5,.404,.429,8.3,19.5,.200
18,2025-01-18,@,Kentucky,REG (Conf),W,102,97,"",127.0,120.8,80.3,.507,.507,.613,50.7,66.7,3.7,6.5,.545,9.8,31.4,.433,.555,8.8,30.6,.219
19,2025-01-21,"",Vanderbilt,REG (Conf),W,103,87,"",122.8,103.8,83.9,.531,.344,.643,54.4,36.1,7.2,16.7,.625,12.1,26.7,.359,.456,10.1,28.6,.175
20,2025-01-25,"",Louisiana State,REG (Conf),W,80,73,"",101.0,92.2,79.2,.393,.377,.552,48.7,55.6,12.6,4.2,.500,16.2,24.2,.311,.415,14.9,32.6,.197
21,2025-01-29,@,Mississippi State,REG (Conf),W,88,84,"",124.7,119.1,70.6,.317,.492,.607,56.3,58.1,5.7,12.2,.611,16.2,45.9,.175,.561,10.9,32.4,.152
22,2025-02-01,"",Georgia,REG (Conf),W,90,69,"",113.3,86.9,79.4,.404,.456,.662,59.5,56.7,3.8,17.0,.623,21.9,29.6,.333,.382,6.5,25.0,.145
23,2025-02-08,@,Arkansas,REG (Conf),W,85,81,"",114.5,109.1,74.3,.290,.306,.602,50.8,50.0,6.7,6.7,.589,16.6,33.3,.194,.485,11.8,35.3,.277
24,2025-02-11,@,Texas,REG (Conf),W,103,80,"",140.6,109.2,73.3,.364,.527,.798,63.3,50.0,8.2,8.5,.773,19.9,44.4,.327,.478,9.3,28.6,.203
25,2025-02-15,"",Auburn,REG (Conf),L,85,94,"",105.7,116.9,80.4,.500,.371,.491,51.9,33.3,1.2,8.6,.421,6.5,23.8,.371,.554,4.8,16.2,.338
26,2025-02-19,@,Missouri,REG (Conf),L,98,110,"",122.3,137.2,80.2,.323,.477,.654,49.1,45.7,5.0,2.9,.638,15.7,30.0,.231,.681,9.1,29.6,.534
27,2025-02-22,"",Kentucky,REG (Conf),W,96,83,"",119.0,102.9,80.7,.410,.508,.659,54.3,43.8,8.7,9.5,.615,17.1,24.1,.344,.493,13.3,24.4,.235
28,2025-02-25,"",Mississippi State,REG (Conf),W,111,73,"",141.7,93.2,78.3,.254,.634,.698,51.9,75.7,10.2,0.0,.676,12.1,36.4,.211,.425,14.9,36.4,.151
29,2025-03-01,@,Tennessee,REG (Conf),L,76,79,"",100.2,104.2,75.9,.433,.400,.525,56.5,48.0,10.5,12.5,.492,12.1,28.6,.283,.492,13.0,14.7,.311
30,2025-03-05,"",Florida,REG (Conf),L,94,99,"",116.3,122.5,80.8,.347,.347,.560,41.0,52.9,6.2,4.4,.535,6.7,22.0,.236,.542,9.5,37.8,.292
31,2025-03-08,@,Auburn,REG (Conf),W,93,91,OT,112.4,110.0,73.5,.358,.328,.593,55.9,51.4,4.8,6.4,.575,14.2,26.7,.239,.548,10.0,21.1,.151
32,2025-03-14,N,Kentucky,CTOURN,W,99,70,"",118.1,83.5,83.8,.296,.408,.611,56.5,47.2,13.1,10.8,.585,11.0,21.9,.225,.420,18.1,13.5,.411
33,2025-03-15,N,Florida,CTOURN,L,82,104,"",104.3,132.3,78.6,.343,.522,.526,47.4,50.0,5.1,8.9,.500,11.4,27.0,.224,.597,7.6,33.3,.250
