Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2024-11-06,"",TexasâRio Grande Valley,REG (Non-Conf),W,99,86,"",129.0,112.0,76.8,.527,.418,.720,54.3,60.6,2.6,7.1,.664,17.9,29.2,.473,.519,10.9,32.6,.078
2,2024-11-10,"",FDU,REG (Non-Conf),W,96,70,"",120.4,87.8,79.8,.362,.478,.594,64.0,66.7,2.5,14.0,.551,14.8,44.1,.290,.425,16.0,19.5,.194
3,2024-11-13,"",Houston Christian,REG (Non-Conf),W,78,43,"",114.8,63.3,68.0,.385,.404,.634,57.1,65.5,5.9,13.9,.625,14.0,19.0,.250,.289,11.1,26.5,.028
4,2024-11-16,"",Kansas City,REG (Non-Conf),W,79,56,"",110.7,78.5,71.4,.127,.540,.591,59.8,66.7,7.0,7.1,.563,17.3,30.0,.127,.347,7.2,23.1,.053
5,2024-11-22,"",Nebraska,REG (Non-Conf),L,63,74,"",88.0,103.4,71.6,.442,.808,.501,47.9,70.6,5.6,7.3,.442,20.3,18.9,.327,.456,8.9,20.6,.386
6,2024-11-26,N,San Diego State,REG (Non-Conf),L,53,71,"",78.2,104.8,67.8,.210,.500,.389,49.3,57.1,1.5,15.6,.387,11.7,24.4,.081,.548,9.7,14.3,.048
7,2024-11-27,N,Texas A&M,REG (Non-Conf),L,73,77,"",99.6,105.1,73.3,.267,.617,.540,43.7,69.6,6.8,16.7,.492,16.1,28.1,.233,.430,10.9,43.6,.225
8,2024-11-30,N,Notre Dame,REG (Non-Conf),W,80,76,"",114.1,108.4,70.1,.263,.421,.624,48.4,67.9,5.7,16.7,.588,15.8,17.9,.228,.500,8.8,27.8,.169
9,2024-12-04,"",Kansas,REG (Non-Conf),W,76,63,"",110.2,91.4,68.9,.321,.547,.622,58.6,64.0,2.9,4.3,.585,18.6,23.1,.264,.414,5.1,20.5,.071
10,2024-12-07,"",UNLV,REG (Non-Conf),W,83,65,"",126.7,99.2,65.5,.245,.408,.759,64.7,67.7,6.1,14.0,.735,18.0,20.0,.224,.477,8.2,16.7,.063
11,2024-12-14,@,Alabama,REG (Non-Conf),L,75,83,"",98.7,109.2,76.0,.267,.450,.555,37.7,59.3,7.9,7.5,.517,16.1,12.5,.217,.471,11.1,40.5,.243
12,2024-12-18,@,Georgetown,REG (Conf),L,57,81,"",83.5,118.6,68.3,.170,.623,.498,36.2,47.6,8.8,11.4,.509,21.8,14.7,.057,.633,17.0,33.3,.083
13,2024-12-21,"",Villanova,REG (Conf),W,86,79,"",138.8,127.5,62.0,.250,.446,.686,50.9,71.0,1.6,9.1,.679,10.1,25.9,.179,.563,1.4,26.7,.109
14,2024-12-31,"",St. John's (NY),REG (Conf),W,57,56,"",85.0,83.5,67.1,.132,.491,.506,57.8,63.6,8.9,11.9,.500,23.2,34.6,.075,.382,11.3,26.3,.059
15,2025-01-03,@,Marquette,REG (Conf),L,71,79,"",98.2,109.2,72.3,.367,.517,.504,52.7,75.0,5.5,5.6,.458,14.6,28.6,.267,.493,8.5,25.6,.143
16,2025-01-11,@,Butler,REG (Conf),W,80,76,"",115.1,109.4,69.5,.138,.369,.577,52.4,48.5,8.6,18.4,.569,8.0,21.9,.092,.540,9.2,16.1,.127
17,2025-01-14,"",Providence,REG (Conf),W,84,64,"",115.9,88.3,72.5,.194,.516,.620,47.8,46.9,8.3,14.6,.629,12.9,17.2,.097,.412,14.2,30.0,.118
18,2025-01-18,@,Connecticut,REG (Conf),W,68,63,"",115.7,107.2,58.8,.313,.479,.617,56.5,60.9,3.4,7.7,.563,14.0,33.3,.292,.500,9.0,24.0,.086
19,2025-01-21,@,DePaul,REG (Conf),W,73,49,"",106.1,71.2,68.8,.458,.396,.624,61.8,76.0,10.2,12.5,.583,19.3,24.0,.354,.325,11.5,16.3,.127
20,2025-01-25,"",Seton Hall,REG (Conf),W,79,54,"",124.5,85.1,63.5,.354,.542,.704,54.0,67.9,7.9,13.3,.698,17.6,17.4,.250,.454,15.0,14.8,.093
21,2025-01-29,"",Xavier,REG (Conf),W,86,77,"",123.7,110.7,69.6,.333,.439,.651,52.4,70.0,1.4,11.9,.623,15.4,33.3,.263,.492,9.7,33.3,.182
22,2025-02-01,@,Villanova,REG (Conf),W,62,60,"",90.9,88.0,68.2,.275,.510,.538,60.3,58.3,2.9,7.3,.529,22.8,21.9,.157,.422,7.3,0.0,.190
23,2025-02-05,@,Providence,REG (Conf),W,80,69,"",109.7,94.6,72.9,.323,.477,.534,48.6,48.1,8.2,12.5,.477,6.3,16.7,.277,.492,12.7,19.4,.061
24,2025-02-08,"",Marquette,REG (Conf),W,77,67,"",125.7,109.3,61.3,.275,.549,.668,47.6,55.6,1.6,16.7,.637,12.2,23.8,.235,.438,6.3,40.5,.056
25,2025-02-11,"",Connecticut,REG (Conf),L,66,70,"",98.2,104.2,67.2,.638,.511,.539,47.8,73.7,4.5,10.0,.479,14.0,16.7,.447,.439,7.6,28.2,.182
26,2025-02-16,@,St. John's (NY),REG (Conf),L,73,79,"",96.8,104.7,75.5,.231,.462,.506,46.3,77.8,1.3,7.3,.477,16.3,26.5,.169,.425,5.4,39.1,.233
27,2025-02-23,"",Georgetown,REG (Conf),W,80,69,"",109.1,94.1,73.3,.313,.552,.520,55.3,60.7,4.1,18.8,.493,9.4,28.2,.209,.477,8.9,16.2,.108
28,2025-02-26,"",DePaul,REG (Conf),W,75,65,"",117.8,102.1,63.7,.268,.482,.594,67.2,62.1,4.7,2.9,.598,16.0,41.4,.143,.518,7.6,6.9,.125
29,2025-03-01,@,Xavier,REG (Conf),L,61,83,"",91.0,123.8,67.1,.121,.414,.497,50.0,73.1,4.5,10.3,.500,16.4,17.6,.052,.642,7.3,7.7,.100
30,2025-03-04,@,Seton Hall,REG (Conf),W,79,61,"",126.5,97.7,62.4,.372,.488,.781,54.4,77.8,9.6,10.9,.756,19.2,20.0,.326,.403,10.1,33.3,.104
31,2025-03-08,"",Butler,REG (Conf),W,87,74,"",136.8,116.3,63.6,.077,.569,.646,62.7,70.6,0.0,6.5,.646,11.8,43.3,.046,.507,1.4,21.6,.074
32,2025-03-13,N,DePaul,CTOURN,W,85,81,2OT,108.1,103.0,62.9,.250,.472,.528,52.6,51.6,11.4,12.5,.500,13.0,34.1,.181,.543,14.8,25.7,.071
33,2025-03-14,N,Connecticut,CTOURN,W,71,62,"",126.3,110.3,56.2,.360,.340,.606,46.4,46.2,1.8,5.0,.580,4.9,17.4,.260,.492,4.6,33.3,.033
34,2025-03-15,N,St. John's (NY),CTOURN,L,66,82,"",95.1,118.1,69.4,.267,.433,.488,48.5,61.5,7.2,5.9,.483,16.1,30.6,.133,.577,11.4,31.3,.108
