Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2024-11-06,"",Coppin State,REG (Non-Conf),W,93,51,"",126.5,69.4,73.5,.455,.509,.695,64.5,67.7,5.4,9.5,.691,15.2,33.3,.309,.352,14.6,15.8,.094
2,2024-11-09,"",Jackson State,REG (Non-Conf),W,80,71,"",111.0,98.5,72.1,.690,.571,.717,58.3,69.6,12.5,5.9,.667,24.4,20.0,.571,.491,15.3,14.3,.333
3,2024-11-12,"",North Carolina Central,REG (Non-Conf),W,76,60,"",120.9,95.4,62.9,.358,.283,.613,59.6,48.1,9.5,12.8,.566,10.1,30.4,.302,.481,14.5,17.2,.148
4,2024-11-15,"",UAB,REG (Non-Conf),W,68,65,"",98.3,94.0,69.2,.297,.375,.466,44.2,37.5,4.3,10.8,.422,9.9,27.5,.219,.409,17.0,37.8,.364
5,2024-11-18,"",American,REG (Non-Conf),W,80,73,"",140.8,128.4,56.8,.412,.275,.656,45.7,34.5,5.3,3.3,.627,10.3,40.9,.314,.625,13.5,50.0,.154
6,2024-11-24,N,Missouri State,REG (Non-Conf),L,61,71,"",90.8,105.7,67.2,.522,.370,.531,38.3,45.0,4.5,12.2,.467,18.5,14.8,.391,.458,15.9,42.4,.288
7,2024-11-25,N,Old Dominion,REG (Non-Conf),W,73,67,"",119.5,109.7,61.1,.489,.340,.630,51.7,36.0,6.5,10.0,.596,12.1,31.8,.362,.477,9.2,36.1,.094
8,2024-11-26,N,Hampton,REG (Non-Conf),W,76,73,"",120.7,116.0,63.0,.469,.367,.634,50.9,58.3,1.6,5.7,.592,15.5,26.1,.367,.492,2.8,31.3,.254
9,2024-11-30,"","",REG (Non-Conf),W,81,50,"",119.4,73.7,67.8,.288,.379,.540,70.8,48.3,11.8,29.4,.500,10.7,51.6,.227,.427,22.3,11.8,.188
10,2024-12-03,@,UNC Greensboro,REG (Non-Conf),L,68,72,"",112.0,118.6,60.7,.153,.356,.537,43.1,42.3,6.6,2.7,.500,8.7,29.0,.153,.552,11.1,40.7,.138
11,2024-12-06,"",North Texas,REG (Non-Conf),W,76,71,"",109.8,102.6,69.2,.822,.556,.607,62.7,65.0,10.1,5.6,.533,20.4,43.5,.622,.490,17.1,21.4,.440
12,2024-12-14,N,Appalachian State,REG (Non-Conf),W,65,59,"",89.6,81.3,72.6,.295,.475,.467,48.6,45.5,17.9,9.3,.410,15.7,24.3,.246,.395,19.6,27.0,.246
13,2024-12-17,"","",REG (Non-Conf),W,99,31,"",142.5,44.6,69.5,.323,.369,.660,81.4,47.4,20.2,12.9,.646,14.8,64.3,.231,.306,28.6,3.2,.020
14,2024-12-21,@,Southern Illinois,REG (Non-Conf),W,94,81,"",129.0,111.1,72.9,.561,.351,.651,47.3,39.4,9.6,6.1,.640,8.8,23.1,.368,.510,17.2,31.0,.600
15,2024-12-29,"",Norfolk State,REG (Non-Conf),L,74,77,"",116.9,121.6,63.3,.600,.655,.524,61.2,78.9,7.9,8.1,.482,12.4,48.8,.382,.587,11.3,19.2,.308
16,2025-01-02,"",Radford,REG (Conf),W,76,58,"",127.8,97.5,59.5,.167,.517,.587,51.6,53.6,16.8,10.8,.575,11.0,43.3,.117,.453,18.0,40.6,.189
17,2025-01-04,@,UNC Asheville,REG (Conf),L,99,103,"",123.9,128.9,79.9,.462,.477,.625,54.4,31.3,0.0,2.1,.554,11.2,30.3,.415,.551,2.3,22.9,.391
18,2025-01-08,@,Charleston Southern,REG (Conf),W,93,79,"",132.2,112.3,70.4,.328,.172,.629,52.5,41.2,5.7,10.0,.578,7.5,32.1,.297,.519,12.7,29.0,.426
19,2025-01-11,"",Gardner-Webb,REG (Conf),W,96,55,"",131.8,75.5,72.8,.268,.451,.600,53.2,45.5,13.7,7.1,.556,7.0,34.3,.239,.387,18.9,31.0,.113
20,2025-01-16,@,Longwood,REG (Conf),L,80,82,"",114.7,117.6,69.8,.406,.453,.524,48.5,48.0,10.0,6.3,.453,5.0,30.6,.344,.594,12.6,30.0,.358
21,2025-01-18,"",Presbyterian,REG (Conf),W,77,66,"",118.9,101.9,64.8,.365,.385,.631,59.0,39.3,7.7,7.1,.606,16.4,29.6,.269,.473,8.5,17.6,.232
22,2025-01-22,@,USC Upstate,REG (Conf),W,86,77,"",126.5,113.3,68.0,.263,.544,.671,60.4,56.7,11.8,0.0,.649,14.6,33.3,.211,.590,13.5,17.2,.082
23,2025-01-25,"",Winthrop,REG (Conf),W,84,62,"",120.7,89.1,69.6,.455,.382,.628,62.7,40.0,5.7,6.9,.627,17.3,35.5,.273,.425,12.1,13.9,.321
24,2025-02-01,@,Presbyterian,REG (Conf),W,84,72,"",137.2,117.6,61.2,.521,.250,.701,50.8,37.9,4.9,10.8,.677,14.3,37.5,.396,.460,7.8,40.5,.242
25,2025-02-05,@,Radford,REG (Conf),W,78,75,"",120.5,115.9,64.7,.391,.348,.715,52.5,38.5,12.4,10.0,.674,19.2,22.2,.348,.559,12.7,22.7,.353
26,2025-02-08,"",UNC Asheville,REG (Conf),W,104,100,OT,122.8,118.0,75.3,.458,.181,.593,56.0,37.8,7.1,2.2,.535,12.0,41.2,.375,.542,11.4,31.7,.306
27,2025-02-13,"",Longwood,REG (Conf),W,83,72,"",118.0,102.4,70.3,.181,.431,.531,62.5,41.2,12.8,4.5,.521,13.3,50.0,.111,.546,14.8,19.2,.241
28,2025-02-15,@,Winthrop,REG (Conf),W,88,66,"",118.3,88.7,74.4,.299,.373,.575,50.0,45.2,9.4,0.0,.530,7.3,24.2,.254,.414,15.4,27.0,.310
29,2025-02-19,"",Charleston Southern,REG (Conf),W,83,60,"",119.1,86.1,69.7,.203,.305,.641,51.0,29.4,11.5,8.8,.627,11.0,16.7,.153,.472,19.8,18.5,.167
30,2025-02-22,@,Gardner-Webb,REG (Conf),W,90,67,"",131.8,98.1,68.3,.459,.328,.606,50.0,54.8,4.4,8.6,.566,3.9,23.3,.344,.471,13.5,25.0,.373
31,2025-02-26,"",USC Upstate,REG (Conf),W,88,66,"",109.9,82.4,80.1,.246,.431,.606,56.0,55.9,15.0,13.5,.608,19.0,32.4,.138,.417,18.6,24.4,.167
32,2025-03-07,N,Gardner-Webb,CTOURN,W,85,64,"",122.9,92.5,69.2,.450,.400,.584,56.9,43.3,5.8,3.0,.558,12.1,38.2,.300,.462,18.5,22.6,.308
33,2025-03-08,N,Radford,CTOURN,W,76,73,"",130.3,125.1,58.3,.365,.288,.623,58.7,28.6,5.1,3.2,.606,12.9,47.8,.250,.633,13.9,30.4,.224
34,2025-03-09,N,Winthrop,CTOURN,W,81,69,"",111.3,94.8,72.8,.096,.356,.531,53.5,30.3,11.0,12.8,.507,8.4,31.4,.096,.477,13.4,25.0,.091
