Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2024-11-04,"","",REG (Non-Conf),W,96,41,"",130.3,55.6,73.7,.333,.333,.658,65.0,68.6,19.0,10.5,.611,11.0,29.2,.302,.345,24.9,11.1,.055
2,2024-11-06,"","",REG (Non-Conf),W,104,60,"",137.9,79.6,75.4,.359,.438,.694,58.8,42.9,10.6,5.3,.664,11.8,25.8,.297,.413,19.0,13.5,.327
3,2024-11-09,"",James Madison,REG (Non-Conf),W,83,69,"",119.1,99.0,69.7,.644,.333,.706,39.3,44.4,7.2,15.0,.678,17.0,0.0,.489,.476,16.6,40.0,.161
4,2024-11-12,@,William & Mary,REG (Non-Conf),L,73,84,"",99.9,115.0,73.1,.383,.233,.515,44.9,44.4,12.3,14.3,.458,14.5,28.1,.300,.567,16.1,40.5,.119
5,2024-11-16,@,Hampton,REG (Non-Conf),W,67,58,"",104.6,90.6,64.1,.449,.367,.563,44.4,72.7,9.4,13.9,.520,13.1,30.4,.327,.358,14.0,47.5,.149
6,2024-11-20,@,Stanford,REG (Non-Conf),L,63,70,"",97.8,108.7,64.4,.204,.296,.532,40.9,20.8,3.1,0.0,.491,16.8,16.0,.185,.411,7.5,43.9,.429
7,2024-11-22,@,Grand Canyon,REG (Non-Conf),L,73,91,"",104.1,129.7,70.2,.226,.226,.532,43.2,41.4,10.0,0.0,.500,13.8,27.6,.177,.741,16.5,26.7,.204
8,2024-11-25,@,UC Davis,REG (Non-Conf),W,76,55,"",107.6,77.8,70.7,.310,.362,.571,54.5,66.7,14.2,12.5,.526,16.3,31.0,.259,.449,30.4,19.2,.513
9,2024-12-01,@,Stony Brook,REG (Non-Conf),W,77,66,"",118.5,101.5,65.0,.370,.333,.606,58.1,46.4,4.6,4.3,.565,11.2,25.9,.296,.438,8.4,17.1,.304
10,2024-12-09,"",Hofstra,REG (Non-Conf),L,67,80,"",101.6,121.4,65.9,.531,.306,.546,36.4,47.4,6.1,0.0,.439,14.0,8.3,.490,.722,20.4,30.0,.333
11,2024-12-11,@,Baylor,REG (Non-Conf),L,69,94,"",96.5,131.5,71.5,.447,.383,.606,42.1,52.2,7.0,5.1,.596,26.0,18.5,.277,.623,9.8,36.7,.200
12,2024-12-15,@,Northern Kentucky,REG (Non-Conf),L,62,71,"",93.7,107.3,66.2,.362,.259,.456,45.9,31.8,12.1,11.1,.414,15.0,32.4,.241,.541,17.7,37.0,.367
13,2024-12-19,N,Alabama State,REG (Non-Conf),W,71,54,"",103.8,79.0,68.4,.560,.200,.561,58.8,39.1,11.7,3.1,.490,17.0,33.3,.440,.336,13.8,24.4,.259
14,2024-12-20,N,Grambling State,REG (Non-Conf),W,76,70,"",118.8,109.5,64.0,.529,.294,.595,46.2,52.0,9.4,5.7,.549,8.6,24.0,.392,.491,12.3,33.3,.268
15,2024-12-29,@,High Point,REG (Non-Conf),W,77,74,"",121.6,116.9,63.3,.442,.288,.612,38.8,42.9,6.3,15.8,.587,11.3,19.2,.308,.482,12.4,48.8,.382
16,2024-12-31,@,Tennessee,REG (Non-Conf),L,52,67,"",83.6,107.7,62.2,.136,.220,.414,46.3,27.3,3.2,17.4,.390,14.9,28.6,.102,.500,8.9,34.6,.241
17,2025-01-04,"",Maryland Eastern Shore,REG (Conf),W,81,59,"",118.9,86.6,68.2,.281,.263,.627,52.2,69.7,11.7,18.6,.632,13.4,29.6,.158,.400,14.5,32.5,.108
18,2025-01-06,@,Delaware State,REG (Conf),W,73,64,"",100.8,88.3,72.5,.411,.250,.545,50.8,65.4,13.8,6.7,.500,16.3,23.1,.304,.395,18.3,29.7,.333
19,2025-01-11,"",Coppin State,REG (Conf),W,92,69,"",125.9,94.4,73.1,.382,.382,.708,55.3,44.1,13.7,6.1,.691,17.7,25.0,.291,.557,24.3,22.2,.189
20,2025-01-13,@,Morgan State,REG (Conf),L,74,78,"",104.9,110.6,70.6,.300,.386,.463,59.1,39.3,9.9,10.3,.450,14.0,51.2,.157,.589,17.1,26.1,.214
21,2025-01-20,"","",REG (Non-Conf),W,105,42,"",125.1,50.1,83.9,.422,.375,.683,65.4,63.2,17.9,16.2,.680,16.3,27.6,.281,.250,22.2,12.2,.200
22,2025-01-25,"",Howard,REG (Conf),W,92,75,"",128.2,104.5,71.8,.323,.323,.614,59.6,45.5,5.6,5.1,.546,13.8,46.7,.323,.535,15.5,25.9,.246
23,2025-02-01,"",South Carolina State,REG (Conf),W,67,65,OT,88.6,86.0,67.2,.509,.291,.490,50.7,52.4,13.2,9.8,.400,19.9,36.7,.418,.391,18.3,39.0,.234
24,2025-02-03,"",North Carolina Central,REG (Conf),W,81,78,"",127.0,122.3,63.8,.480,.340,.660,53.1,50.0,4.7,2.2,.620,16.3,45.5,.380,.574,10.6,40.7,.131
25,2025-02-15,@,Maryland Eastern Shore,REG (Conf),W,75,63,"",113.9,95.6,65.9,.708,.188,.585,51.8,45.8,12.1,18.5,.531,11.1,19.2,.500,.561,19.8,20.0,.163
26,2025-02-17,"",Delaware State,REG (Conf),W,96,84,"",113.2,99.1,84.8,.338,.221,.608,52.4,51.4,10.6,9.4,.581,16.0,25.0,.250,.543,15.6,19.4,.130
