Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2024-11-06,"",UC San Diego,REG (Non-Conf),W,63,58,"",94.5,87.0,66.7,.300,.440,.551,53.7,59.1,9.0,22.9,.520,19.7,17.9,.220,.410,10.6,20.5,.131
2,2024-11-12,"","",REG (Non-Conf),W,100,49,"",138.6,67.9,72.2,.171,.526,.608,55.6,59.5,15.2,22.9,.605,4.6,40.5,.105,.345,22.8,28.6,.155
3,2024-11-18,"",Gonzaga,REG (Non-Conf),L,67,80,"",95.5,114.1,70.1,.295,.410,.482,44.1,43.5,5.7,24.3,.443,12.6,22.9,.213,.465,10.0,33.3,.474
4,2024-11-26,N,Creighton,REG (Non-Conf),W,71,53,"",104.8,78.2,67.8,.113,.274,.543,50.7,43.3,11.8,29.0,.548,9.7,14.3,.048,.387,11.7,24.4,.081
5,2024-11-27,N,Oregon,REG (Non-Conf),L,68,78,"",95.7,109.7,71.1,.140,.333,.559,42.3,55.2,11.3,26.5,.561,16.5,16.0,.070,.536,17.0,33.3,.321
6,2024-11-30,N,Houston,REG (Non-Conf),W,73,70,OT,109.9,105.3,59.1,.474,.439,.523,46.3,56.5,12.0,13.2,.482,7.9,32.3,.316,.460,14.6,41.7,.210
7,2024-12-04,@,Fresno State,REG (Conf),W,84,62,"",108.2,79.8,77.7,.250,.338,.552,58.4,36.4,3.9,20.0,.537,15.5,35.1,.162,.306,11.0,25.0,.313
8,2024-12-07,"",San Diego,REG (Non-Conf),W,74,57,"",100.6,77.5,73.5,.227,.258,.506,53.5,44.8,8.2,8.7,.477,12.0,27.8,.167,.364,18.5,20.0,.309
9,2024-12-11,"",California Baptist,REG (Non-Conf),W,81,75,"",129.7,120.1,62.4,.392,.333,.669,44.0,67.9,9.6,9.7,.637,10.4,30.0,.314,.547,14.2,46.7,.078
10,2024-12-21,N,California,REG (Non-Conf),W,71,50,"",99.9,70.4,71.1,.224,.388,.479,56.9,24.0,18.3,29.0,.440,14.9,45.7,.179,.300,21.7,32.4,.309
11,2024-12-28,"",Utah State,REG (Conf),L,66,67,"",94.7,96.1,69.7,.423,.462,.528,53.6,55.0,15.8,9.1,.442,18.3,26.7,.385,.520,20.0,15.4,.300
12,2025-01-04,@,Boise State,REG (Conf),W,76,68,"",106.8,95.6,71.1,.393,.279,.525,57.4,44.4,9.8,0.0,.500,13.2,37.5,.246,.443,15.6,20.7,.396
13,2025-01-08,"",Air Force,REG (Conf),W,67,38,"",105.9,60.1,63.2,.275,.377,.429,66.7,36.0,20.6,18.8,.406,10.3,51.1,.159,.375,26.8,4.2,.306
14,2025-01-11,@,New Mexico,REG (Conf),L,48,62,"",68.3,88.2,70.3,.354,.333,.428,37.7,58.8,7.1,20.5,.406,20.0,3.2,.188,.403,9.5,34.2,.119
