Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2024-11-04,@,UCF,REG (Non-Conf),L,61,64,"",90.1,94.6,67.7,.222,.365,.438,63.6,56.5,5.9,12.5,.421,13.6,44.1,.127,.420,13.4,15.6,.440
2,2024-11-08,"",Texas A&MâCommerce,REG (Non-Conf),W,87,55,"",125.5,79.4,69.3,.393,.246,.601,67.2,47.1,15.9,21.4,.598,12.1,50.0,.230,.452,23.9,16.7,.154
3,2024-11-11,"",Lamar,REG (Non-Conf),W,97,71,"",134.7,98.6,72.0,.552,.448,.663,61.1,65.6,9.7,13.0,.655,16.1,50.0,.362,.422,10.6,31.0,.266
4,2024-11-15,"",Ohio State,REG (Non-Conf),W,78,64,"",116.0,95.2,67.2,.816,.429,.574,53.7,57.9,4.5,13.8,.469,13.9,36.7,.653,.407,11.5,32.4,.271
5,2024-11-20,"",Southern,REG (Non-Conf),W,71,54,"",102.5,77.9,69.3,.377,.377,.436,64.5,42.3,20.2,13.8,.413,10.9,53.5,.203,.444,23.3,21.2,.111
6,2024-11-26,N,Oregon,REG (Non-Conf),L,70,80,"",97.1,110.9,72.1,.294,.515,.452,54.4,50.0,4.2,6.7,.404,13.4,40.5,.221,.518,10.3,23.1,.418
7,2024-11-27,N,Creighton,REG (Non-Conf),W,77,73,"",105.1,99.6,73.3,.324,.324,.470,56.3,28.6,9.6,21.7,.430,10.9,43.6,.225,.492,16.1,28.1,.233
8,2024-11-30,N,Rutgers,REG (Non-Conf),W,81,77,"",100.6,95.6,80.5,.750,.268,.533,45.3,37.5,6.2,14.3,.446,13.6,25.0,.554,.456,17.4,34.4,.221
9,2024-12-03,"",Wake Forest,REG (Non-Conf),W,57,44,"",89.5,69.1,63.7,.347,.449,.499,56.3,63.2,15.7,3.1,.439,24.0,39.3,.286,.333,18.1,32.6,.067
10,2024-12-08,N,Texas Tech,REG (Non-Conf),W,72,67,"",104.2,96.9,69.1,.269,.358,.477,54.1,52.0,13.0,20.0,.440,10.6,38.9,.194,.569,23.1,24.0,.176
11,2024-12-14,N,Purdue,REG (Non-Conf),W,70,66,"",103.6,97.7,67.6,.480,.440,.570,60.4,63.6,16.3,14.8,.530,20.7,44.0,.340,.538,21.7,21.7,.170
12,2024-12-20,"",Houston Christian,REG (Non-Conf),W,77,45,"",119.1,69.6,64.6,.147,.250,.529,65.7,34.4,13.9,31.0,.522,11.0,46.9,.088,.327,15.8,18.4,.265
13,2024-12-28,"",Abilene Christian,REG (Non-Conf),W,92,54,"",132.9,78.0,69.2,.566,.377,.684,69.5,71.0,21.7,18.4,.660,21.1,64.0,.415,.413,25.6,26.5,.212
14,2025-01-04,"",Texas,REG (Conf),W,80,60,"",117.0,87.8,68.4,.561,.333,.554,59.1,51.9,5.9,11.5,.491,8.8,31.3,.421,.413,15.2,14.7,.327
15,2025-01-08,@,Oklahoma,REG (Conf),W,80,78,"",125.5,122.3,63.8,.361,.377,.560,51.9,40.7,20.4,0.0,.516,8.9,45.5,.279,.696,25.0,38.1,.304
16,2025-01-11,"",Alabama,REG (Conf),L,88,94,"",106.8,114.1,82.4,.667,.250,.464,47.7,32.1,10.9,32.3,.417,7.8,41.3,.389,.493,12.1,45.0,.397
17,2025-01-14,@,Kentucky,REG (Conf),L,69,81,"",93.5,109.8,73.8,.424,.508,.487,43.6,17.4,9.5,12.0,.449,13.4,25.0,.271,.548,17.3,30.4,.462
18,2025-01-18,"",Louisiana State,REG (Conf),W,68,57,"",101.9,85.4,66.8,.344,.361,.479,51.6,57.7,12.0,5.6,.484,11.3,30.6,.148,.436,21.3,21.4,.340
19,2025-01-22,@,Ole Miss,REG (Conf),W,63,62,"",85.0,83.7,74.1,.145,.452,.475,58.8,45.8,9.4,23.3,.452,23.2,30.3,.113,.454,13.0,14.3,.046
20,2025-01-25,@,Texas,REG (Conf),L,69,70,"",107.9,109.5,63.9,.125,.359,.509,57.1,44.4,6.3,9.4,.516,14.0,38.7,.047,.538,9.1,20.0,.269
21,2025-01-28,"",Oklahoma,REG (Conf),W,75,68,"",117.1,106.2,64.0,.625,.429,.516,71.0,42.9,10.9,9.1,.411,15.2,55.6,.518,.591,15.5,7.7,.364
22,2025-02-01,@,South Carolina,REG (Conf),W,76,72,"",117.0,110.8,65.0,.612,.469,.601,53.4,40.9,9.2,8.0,.561,13.7,28.6,.429,.554,13.9,23.3,.179
23,2025-02-08,@,Missouri,REG (Conf),W,67,64,"",101.2,96.7,66.2,.434,.358,.524,51.7,33.3,10.6,18.8,.500,16.9,32.1,.264,.443,16.1,31.3,.321
24,2025-02-11,"",Georgia,REG (Conf),W,69,53,"",106.0,81.4,65.1,.250,.313,.482,58.7,65.4,13.8,20.8,.453,13.3,45.7,.172,.398,18.4,25.0,.286
25,2025-02-15,"",Arkansas,REG (Conf),W,69,61,"",103.0,91.0,67.0,.368,.351,.515,48.3,58.3,16.4,14.8,.474,11.8,25.8,.263,.490,21.9,25.9,.292
26,2025-02-18,@,Mississippi State,REG (Conf),L,54,70,"",80.8,104.7,66.8,.245,.434,.456,53.0,52.6,7.5,3.8,.434,24.3,25.7,.151,.520,12.9,16.1,.333
