Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2024-11-05,"",Bethune-Cookman,REG (Non-Conf),W,94,61,"",134.8,87.5,69.8,.159,.476,.694,68.5,47.2,10.0,13.6,.698,14.0,41.7,.095,.467,12.2,10.0,.083
2,2024-11-08,"",Northwestern State,REG (Non-Conf),W,86,65,"",125.3,94.7,68.6,.509,.333,.608,50.7,51.7,10.2,7.3,.561,11.3,32.3,.386,.441,14.7,35.0,.220
3,2024-11-13,"",Wyoming,REG (Non-Conf),W,96,49,"",138.4,70.6,69.4,.180,.295,.725,55.7,53.8,24.5,2.6,.721,16.4,47.8,.131,.368,28.1,39.5,.189
4,2024-11-18,"",ArkansasâPine Bluff,REG (Non-Conf),W,98,64,"",132.5,86.6,73.9,.194,.565,.724,61.7,81.1,16.2,3.1,.710,18.1,34.8,.161,.583,28.9,12.5,.167
5,2024-11-21,N,Saint Joseph's,REG (Non-Conf),L,77,78,"",107.5,108.9,71.6,.303,.303,.510,62.1,50.0,7.0,10.7,.455,12.7,43.2,.258,.580,16.9,13.8,.400
6,2024-11-22,N,Syracuse,REG (Non-Conf),W,79,74,"",115.1,107.8,68.6,.333,.381,.541,46.2,63.0,8.7,12.5,.492,3.9,25.0,.270,.472,15.3,27.6,.453
7,2024-11-29,"",Northern Colorado,REG (Non-Conf),W,89,64,"",125.4,90.2,71.0,.464,.411,.651,62.3,53.8,8.5,5.3,.580,18.0,41.9,.429,.443,13.8,21.1,.164
8,2024-12-04,"",DePaul,REG (Non-Conf),W,76,62,"",114.4,93.3,66.5,.293,.293,.575,53.4,37.9,16.6,0.0,.543,8.3,26.7,.224,.518,19.0,17.9,.053
9,2024-12-08,N,Texas A&M,REG (Non-Conf),L,67,72,"",96.9,104.2,69.1,.235,.608,.591,45.9,78.3,8.7,16.3,.569,23.1,24.0,.176,.440,10.6,38.9,.194
10,2024-12-16,"",Oral Roberts,REG (Non-Conf),W,86,50,"",128.5,74.7,66.9,.203,.453,.613,60.3,76.5,10.5,14.3,.609,12.5,40.0,.125,.406,19.3,21.2,.132
11,2024-12-21,"",Lamar,REG (Non-Conf),W,101,57,"",144.5,81.5,69.9,.277,.446,.687,53.7,52.8,12.9,8.0,.654,7.5,40.0,.246,.371,13.9,38.1,.071
12,2024-12-31,"",UCF,REG (Conf),L,83,87,"",108.5,113.7,76.5,.250,.222,.515,49.2,39.4,7.8,15.2,.479,11.0,32.4,.194,.607,17.4,28.0,.339
13,2025-01-04,@,Utah,REG (Conf),W,93,65,"",151.3,105.8,61.5,.310,.448,.699,50.0,70.6,11.4,6.9,.690,5.7,36.4,.224,.481,12.3,40.6,.288
14,2025-01-07,@,Brigham Young,REG (Conf),W,72,67,"",112.0,104.2,64.3,.276,.483,.549,49.3,46.2,7.8,2.9,.534,12.1,30.3,.172,.482,10.7,32.4,.211
15,2025-01-11,"",Iowa State,REG (Conf),L,84,85,OT,109.2,110.5,68.4,.364,.303,.543,54.0,57.1,6.5,2.4,.492,15.3,40.0,.288,.576,16.6,28.6,.288
16,2025-01-14,@,Kansas State,REG (Conf),W,61,57,"",99.2,92.7,61.5,.135,.250,.551,54.7,69.2,6.5,13.6,.548,19.0,25.0,.077,.452,13.5,20.7,.192
17,2025-01-18,"",Arizona,REG (Conf),W,70,54,"",103.3,79.7,67.8,.273,.348,.469,56.6,58.3,3.0,2.5,.409,9.7,34.2,.242,.336,9.5,21.1,.259
18,2025-01-21,@,Cincinnati,REG (Conf),W,81,71,"",120.4,105.5,67.3,.300,.517,.591,56.9,48.1,8.9,2.6,.550,10.5,28.1,.250,.548,11.6,7.7,.269
19,2025-01-26,"",Oklahoma State,REG (Conf),W,64,54,"",97.3,82.1,65.8,.420,.520,.534,46.0,59.1,15.2,10.3,.520,17.8,22.2,.240,.488,28.3,26.1,.310
20,2025-01-29,"",TCU,REG (Conf),W,71,57,"",115.0,92.4,61.7,.429,.633,.602,54.4,69.6,6.5,7.7,.571,11.9,30.4,.306,.395,8.2,29.4,.211
21,2025-02-01,@,Houston,REG (Conf),W,82,81,OT,111.6,110.2,65.3,.630,.556,.584,46.8,43.5,8.2,8.0,.537,14.6,32.1,.444,.492,12.5,41.2,.281
22,2025-02-04,"",Baylor,REG (Conf),W,73,59,"",109.6,88.6,66.6,.147,.426,.502,51.4,55.6,6.0,10.5,.478,8.8,35.0,.118,.384,15.5,29.4,.286
23,2025-02-08,@,Arizona,REG (Conf),L,73,82,"",99.5,111.8,73.3,.143,.471,.488,42.4,57.7,10.9,6.7,.457,10.7,27.5,.129,.552,16.9,34.6,.310
24,2025-02-12,"",Arizona State,REG (Conf),W,111,106,2OT,128.5,122.7,69.1,.471,.382,.667,60.7,53.8,10.4,4.4,.647,14.4,36.7,.338,.646,13.1,16.1,.181
