Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2024-11-04,"",Bellarmine,REG (Non-Conf),W,84,65,"",125.1,96.8,67.1,.309,.527,.666,55.2,69.0,10.4,23.3,.664,20.2,39.3,.200,.500,17.3,30.0,.161
2,2024-11-08,N,Boston College,REG (Non-Conf),W,80,55,"",105.6,72.6,75.8,.483,.450,.542,53.4,53.8,9.2,10.6,.500,14.0,32.3,.333,.310,19.1,31.0,.328
3,2024-11-13,"",Merrimack,REG (Non-Conf),W,63,42,"",88.6,59.1,71.1,.540,.480,.501,57.1,84.2,21.1,20.8,.430,21.3,26.7,.400,.291,27.9,15.2,.395
4,2024-11-16,"",Loyola (MD),REG (Non-Conf),W,83,57,"",116.5,80.0,71.2,.361,.426,.581,56.7,63.3,16.8,15.8,.557,12.3,37.5,.246,.395,19.5,25.7,.211
5,2024-11-21,N,Seton Hall,REG (Non-Conf),L,66,69,OT,87.8,91.7,66.9,.300,.617,.481,42.9,50.0,9.3,11.6,.442,17.0,17.9,.217,.482,19.3,25.8,.291
6,2024-11-22,N,Nevada,REG (Non-Conf),L,61,64,"",100.0,104.9,61.0,.275,.608,.529,52.6,60.0,11.5,12.9,.490,16.0,29.0,.216,.557,16.3,19.2,.341
7,2024-11-24,N,Miami (FL),REG (Non-Conf),W,77,70,"",117.4,106.7,65.6,.273,.509,.620,52.5,53.6,7.6,16.2,.600,15.0,32.1,.200,.450,10.4,30.3,.267
8,2024-11-29,"","",REG (Non-Conf),W,103,58,"",130.4,73.4,79.0,.485,.544,.615,61.7,52.9,5.1,15.2,.581,14.3,48.6,.353,.336,18.8,27.3,.279
9,2024-12-04,"",Georgia Southern,REG (Non-Conf),W,89,54,"",126.9,77.0,70.1,.630,.593,.634,55.2,72.0,8.6,15.4,.574,14.6,40.0,.500,.350,17.1,32.4,.200
10,2024-12-09,"",Pennsylvania,REG (Non-Conf),W,66,47,"",100.3,71.5,65.8,.164,.373,.457,62.9,46.2,10.6,21.7,.433,12.2,44.1,.119,.410,22.0,14.3,.120
11,2024-12-14,N,Colorado State,REG (Non-Conf),W,76,68,"",116.0,103.8,65.5,.439,.526,.552,53.3,56.0,12.2,13.9,.535,10.4,34.3,.263,.559,19.7,20.0,.216
12,2024-12-18,@,New Mexico,REG (Non-Conf),L,71,78,"",94.3,103.6,75.3,.421,.544,.519,39.7,54.2,10.6,11.3,.509,12.8,12.5,.228,.445,12.3,36.1,.328
13,2024-12-22,"",William & Mary,REG (Non-Conf),W,90,70,"",123.5,96.0,72.9,.243,.378,.545,54.5,71.4,13.7,23.5,.520,7.8,40.5,.176,.552,20.2,27.6,.103
14,2024-12-31,@,St. Bonaventure,REG (Conf),L,75,77,"",120.7,123.9,62.2,.155,.534,.602,52.5,53.6,6.4,9.3,.578,15.0,37.9,.138,.543,8.2,34.4,.241
15,2025-01-04,@,Loyola Chicago,REG (Conf),W,84,65,"",125.9,97.4,66.7,.328,.393,.596,59.3,50.0,12.0,12.9,.566,12.4,51.6,.246,.455,15.4,32.1,.273
16,2025-01-08,"",Fordham,REG (Conf),W,73,61,"",106.5,89.0,68.6,.338,.400,.484,59.5,44.4,13.1,13.9,.454,14.7,47.5,.215,.430,17.0,26.5,.211
17,2025-01-14,"",Saint Louis,REG (Conf),W,78,62,"",118.5,94.2,65.8,.139,.458,.508,57.1,60.0,21.3,14.3,.486,10.5,46.2,.111,.581,28.4,17.6,.514
18,2025-01-17,@,Saint Joseph's,REG (Conf),W,78,69,"",108.1,95.6,72.2,.474,.386,.559,52.5,54.2,5.5,22.2,.509,11.4,25.7,.351,.389,6.9,26.7,.181
19,2025-01-21,@,Rhode Island,REG (Conf),W,81,57,"",103.9,73.1,78.0,.309,.397,.519,54.4,34.5,21.8,23.1,.485,15.2,36.8,.221,.469,30.6,23.3,.224
20,2025-01-24,"",St. Bonaventure,REG (Conf),W,75,61,"",111.6,90.8,67.2,.276,.414,.572,43.5,76.9,17.9,21.1,.543,8.4,18.2,.207,.474,19.5,27.6,.123
21,2025-01-28,@,Saint Louis,REG (Conf),L,69,78,"",93.3,105.5,73.9,.388,.463,.435,50.0,40.9,16.2,8.0,.366,9.2,30.2,.299,.558,20.6,16.0,.698
22,2025-02-01,"",Richmond,REG (Conf),W,90,49,"",152.0,82.8,59.2,.157,.569,.821,57.4,60.6,13.5,10.0,.804,14.1,27.8,.157,.380,19.5,24.1,.304
23,2025-02-04,"",La Salle,REG (Conf),W,96,66,"",144.0,99.0,66.7,.113,.479,.642,65.6,43.2,6.0,16.7,.627,11.8,53.1,.099,.430,8.3,21.9,.298
24,2025-02-07,@,Dayton,REG (Conf),W,73,68,"",104.4,97.2,70.0,.275,.406,.468,56.9,52.0,15.7,9.4,.406,15.2,51.2,.246,.441,21.3,35.5,.451
25,2025-02-12,@,George Washington,REG (Conf),W,80,72,"",122.7,110.4,65.2,.314,.549,.683,63.0,76.9,12.3,26.7,.647,21.4,48.0,.275,.510,13.4,24.1,.365
26,2025-02-19,"",Massachusetts,REG (Conf),W,80,51,"",121.0,77.2,66.1,.230,.475,.591,55.1,67.9,9.1,21.2,.574,10.6,35.5,.164,.323,10.2,28.9,.177
27,2025-02-22,"",George Mason,REG (Conf),W,70,54,"",108.7,83.9,64.4,.444,.611,.535,52.2,71.4,10.9,17.2,.481,12.1,30.6,.333,.406,18.0,22.6,.313
28,2025-02-25,@,Richmond,REG (Conf),W,78,60,"",130.5,100.4,59.8,.260,.480,.694,64.0,57.1,10.0,11.8,.670,15.1,31.8,.220,.519,9.5,10.7,.074
29,2025-02-28,"",Davidson,REG (Conf),W,80,56,"",126.3,88.4,63.4,.230,.377,.591,62.7,50.0,9.5,13.3,.566,11.7,46.2,.180,.423,14.3,24.2,.231
30,2025-03-04,@,Duquesne,REG (Conf),W,71,62,"",106.5,93.0,66.7,.382,.400,.546,53.1,43.5,13.5,11.4,.491,17.7,38.7,.309,.451,19.4,33.3,.314
31,2025-03-07,"",Dayton,REG (Conf),L,76,79,"",117.5,122.2,64.7,.508,.492,.502,57.6,34.8,10.8,8.1,.418,8.5,51.4,.410,.542,10.6,35.5,.233
32,2025-03-14,N,St. Bonaventure,CTOURN,W,76,59,"",114.1,88.6,66.6,.147,.471,.522,54.4,58.6,12.0,11.1,.493,8.8,39.4,.132,.400,16.8,31.4,.273
33,2025-03-15,N,Loyola Chicago,CTOURN,W,62,55,"",95.0,84.2,65.3,.412,.471,.508,46.8,50.0,9.2,14.0,.490,14.1,25.8,.235,.331,11.7,39.1,.147
34,2025-03-16,N,George Mason,CTOURN,W,68,63,"",101.6,94.1,66.9,.574,.532,.568,56.7,52.6,10.5,25.7,.489,20.0,33.3,.468,.420,14.5,24.2,.286
