Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2024-11-04,"",Holy Cross,REG (Non-Conf),W,85,61,"",125.1,89.8,68.0,.271,.525,.638,61.5,51.7,10.3,6.9,.585,14.2,29.2,.271,.519,17.6,10.7,.113
2,2024-11-07,"",Montana State,REG (Non-Conf),W,79,67,"",116.4,98.7,67.9,.396,.415,.627,55.1,62.5,8.8,7.1,.557,14.9,25.0,.377,.556,18.1,16.0,.130
3,2024-11-10,"",Appalachian State,REG (Non-Conf),W,87,56,"",122.7,79.0,70.9,.229,.400,.561,56.3,51.5,19.7,3.1,.529,7.2,37.1,.186,.438,22.5,25.0,.125
4,2024-11-15,"",Arizona,REG (Non-Conf),W,103,88,"",120.2,102.7,85.7,.904,.519,.693,36.2,68.0,8.2,7.8,.596,10.8,3.6,.788,.405,12.3,41.5,.378
5,2024-11-18,"",TexasâRio Grande Valley,REG (Non-Conf),W,87,84,"",125.7,121.4,69.2,.604,.377,.638,50.9,38.5,7.2,3.3,.566,11.7,28.6,.509,.595,10.5,25.9,.143
6,2024-11-22,N,UCF,REG (Non-Conf),W,86,70,"",109.4,89.1,78.6,.242,.470,.584,50.0,65.6,6.4,6.7,.561,15.0,22.9,.182,.355,11.2,26.8,.419
7,2024-11-24,N,Pittsburgh,REG (Non-Conf),W,81,75,"",116.9,108.2,69.3,.367,.333,.575,51.8,41.4,4.3,0.0,.525,7.8,24.1,.300,.542,10.8,18.5,.167
8,2024-11-30,"",Chicago State,REG (Non-Conf),W,74,53,"",111.0,79.5,66.7,.356,.508,.536,52.9,73.9,4.5,11.4,.475,10.4,25.7,.305,.390,13.8,20.0,.119
9,2024-12-03,"",Michigan,REG (Conf),L,64,67,"",89.5,93.7,71.5,.297,.422,.438,46.6,36.4,9.8,5.9,.391,12.0,27.5,.219,.441,14.8,30.3,.254
10,2024-12-07,@,Marquette,REG (Non-Conf),L,74,88,"",113.4,134.8,65.3,.346,.500,.611,51.7,66.7,4.6,2.8,.558,18.8,37.9,.308,.565,6.5,34.5,.290
11,2024-12-10,@,Illinois,REG (Conf),L,80,86,"",107.5,115.6,74.4,.333,.460,.548,41.5,53.6,6.7,6.5,.524,13.1,28.1,.222,.500,14.6,45.5,.344
12,2024-12-14,N,Butler,REG (Non-Conf),W,83,74,"",120.3,107.2,69.0,.466,.431,.586,50.8,73.1,2.9,3.8,.500,4.1,13.3,.431,.510,8.3,12.9,.431
13,2024-12-22,"",Detroit Mercy,REG (Non-Conf),W,76,53,"",109.5,76.3,69.4,.297,.547,.520,61.3,50.0,5.8,10.3,.461,11.0,37.1,.266,.364,10.4,17.5,.076
14,2025-01-03,"",Iowa,REG (Conf),W,116,85,"",152.0,111.4,76.3,.274,.500,.828,63.6,65.0,5.2,0.0,.815,14.6,33.3,.242,.553,10.8,17.6,.182
15,2025-01-06,@,Rutgers,REG (Conf),W,75,63,"",104.1,87.5,72.0,.105,.386,.627,55.1,48.4,6.9,10.6,.605,21.1,25.0,.105,.390,9.2,28.9,.082
16,2025-01-10,"",Minnesota,REG (Conf),W,80,59,"",118.9,87.7,67.3,.421,.491,.585,51.5,56.0,13.4,5.3,.535,9.3,29.0,.333,.447,19.2,28.6,.140
17,2025-01-14,"",Ohio State,REG (Conf),W,70,68,"",103.4,100.4,67.7,.583,.458,.571,50.0,30.0,3.0,4.8,.469,16.4,21.4,.521,.466,14.3,26.5,.220
18,2025-01-18,@,Southern California,REG (Conf),W,84,69,"",120.7,99.1,69.6,.273,.509,.676,47.8,54.8,11.5,2.6,.645,15.0,18.2,.236,.547,19.7,25.0,.208
19,2025-01-21,@,UCLA,REG (Conf),L,83,85,"",123.6,126.6,67.1,.429,.612,.704,47.8,56.0,4.5,2.6,.663,18.1,22.2,.367,.561,7.9,35.7,.368
20,2025-01-26,"",Nebraska,REG (Conf),W,83,55,"",116.4,77.1,71.3,.127,.587,.621,57.7,60.0,7.0,9.4,.611,10.7,11.1,.095,.419,14.3,13.6,.048
21,2025-01-29,@,Maryland,REG (Conf),L,68,76,"",99.3,111.0,68.5,.356,.458,.493,47.9,54.5,2.9,8.3,.449,11.5,24.3,.254,.500,9.1,26.5,.267
22,2025-02-01,@,Northwestern,REG (Conf),W,75,69,"",117.9,108.4,63.6,.396,.604,.595,52.5,59.1,3.1,3.2,.538,11.3,21.4,.340,.517,7.3,19.4,.136
23,2025-02-04,"",Indiana,REG (Conf),W,76,64,"",114.1,96.1,66.6,.283,.483,.558,47.8,50.0,12.0,10.0,.533,8.1,20.6,.200,.465,14.6,25.7,.193
24,2025-02-08,@,Iowa,REG (Conf),W,74,63,"",110.2,93.8,67.2,.279,.574,.536,51.4,62.5,7.4,5.3,.492,11.5,28.6,.230,.444,11.8,27.0,.111
25,2025-02-15,@,Purdue,REG (Conf),W,94,84,"",143.1,127.9,65.7,.462,.577,.741,48.9,56.3,3.0,11.8,.731,4.5,8.7,.346,.607,5.7,12.5,.286
26,2025-02-18,"",Illinois,REG (Conf),W,95,74,"",130.9,102.0,72.6,.338,.369,.630,56.1,50.0,16.5,3.3,.600,11.7,37.5,.262,.517,17.4,26.5,.200
27,2025-02-22,"",Oregon,REG (Conf),L,73,77,OT,92.1,97.1,70.5,.092,.431,.538,54.4,30.0,7.6,2.0,.515,20.0,17.2,.092,.472,9.3,17.9,.125
28,2025-02-25,"",Washington,REG (Conf),W,88,62,"",135.0,95.1,65.2,.250,.469,.615,60.3,45.5,10.7,2.8,.594,6.5,38.7,.188,.509,13.9,18.8,.052
29,2025-03-02,@,Michigan State,REG (Conf),L,62,71,"",82.2,94.2,75.4,.246,.492,.427,43.7,40.9,4.0,9.1,.377,11.0,13.6,.200,.458,10.4,25.6,.085
30,2025-03-05,@,Minnesota,REG (Conf),W,74,67,"",108.4,98.2,68.3,.436,.400,.557,51.7,75.0,5.9,7.0,.482,14.2,25.0,.382,.468,7.9,30.6,.127
31,2025-03-08,"",Penn State,REG (Conf),L,75,86,"",100.6,115.4,74.6,.246,.449,.487,49.2,44.0,9.4,5.6,.435,9.4,25.0,.217,.664,16.9,12.0,.236
32,2025-03-13,N,Northwestern,CTOURN,W,70,63,"",106.6,95.9,65.7,.434,.472,.548,47.7,54.5,12.2,2.9,.491,13.5,25.8,.340,.417,15.7,32.4,.333
33,2025-03-14,N,UCLA,CTOURN,W,86,70,"",129.8,105.6,66.3,.224,.552,.670,48.6,73.3,3.0,10.5,.681,12.3,26.9,.121,.390,5.9,39.6,.250
34,2025-03-15,N,Michigan State,CTOURN,W,77,74,"",111.0,106.7,69.4,.519,.537,.572,47.1,65.2,4.3,10.0,.509,9.4,15.2,.407,.466,9.0,22.9,.322
35,2025-03-16,N,Michigan,CTOURN,L,53,59,"",76.4,85.1,69.4,.265,.574,.346,52.6,53.3,4.3,7.7,.272,7.3,27.3,.235,.398,10.9,14.7,.203
