Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2024-11-04,"",Quinnipiac,REG (Non-Conf),W,88,62,"",117.8,83.0,74.7,.415,.308,.565,64.6,63.3,9.4,14.3,.515,16.2,52.9,.323,.375,15.9,22.6,.283
2,2024-11-08,@,IllinoisâChicago,REG (Non-Conf),L,79,91,"",99.5,114.6,79.4,.446,.429,.582,48.5,52.0,5.0,19.4,.545,19.1,15.6,.321,.544,9.2,20.6,.250
3,2024-11-11,@,Purdue,REG (Non-Conf),L,84,92,"",115.7,126.7,72.6,.292,.400,.567,50.0,63.6,2.8,3.4,.569,11.9,30.6,.154,.644,13.0,20.8,.481
4,2024-11-13,"","",REG (Non-Conf),W,100,46,"",138.6,63.7,72.2,.191,.353,.674,64.5,78.0,12.5,18.8,.684,13.9,42.3,.103,.370,21.0,19.4,.111
5,2024-11-16,@,Minnesota,REG (Non-Conf),L,56,59,"",100.0,105.3,56.0,.267,.311,.552,52.5,75.0,1.8,10.5,.522,19.1,32.0,.200,.391,2.9,33.3,.291
6,2024-11-20,@,Stony Brook,REG (Non-Conf),W,86,64,"",119.3,88.8,72.1,.232,.290,.561,58.8,62.9,13.9,5.7,.572,7.3,31.4,.101,.500,20.9,12.1,.208
7,2024-11-23,N,Fairfield,REG (Non-Conf),W,91,66,"",146.3,106.1,62.2,.364,.291,.705,60.8,69.7,6.4,10.7,.664,7.2,33.3,.327,.470,10.2,24.2,.380
8,2024-11-24,N,Delaware,REG (Non-Conf),L,94,100,"",120.9,128.6,77.8,.448,.269,.578,47.5,50.0,3.9,4.8,.515,6.9,19.4,.373,.673,13.7,21.4,.473
9,2024-12-02,@,Rhode Island,REG (Non-Conf),L,78,84,"",102.2,110.1,76.3,.400,.277,.504,46.6,44.4,9.2,15.4,.446,9.4,20.0,.308,.483,14.1,28.9,.458
10,2024-12-07,"",Vermont,REG (Non-Conf),W,65,50,"",103.6,79.7,62.7,.250,.385,.559,58.7,69.6,9.6,7.1,.519,17.1,26.9,.212,.409,14.4,18.9,.091
11,2024-12-20,N,Akron,REG (Non-Conf),W,74,58,"",102.7,80.5,72.0,.375,.268,.561,65.3,33.3,9.7,12.9,.518,21.4,40.6,.286,.388,16.4,15.0,.224
12,2024-12-21,@,UTEP,REG (Non-Conf),L,74,75,"",103.5,104.9,71.5,.274,.355,.528,59.7,59.3,11.2,8.6,.516,17.6,36.1,.161,.587,17.3,12.9,.269
13,2025-01-01,"",Howard,REG (Non-Conf),W,93,65,"",137.4,96.0,67.7,.279,.459,.673,58.5,72.7,10.3,8.6,.656,10.4,40.0,.213,.509,18.6,25.0,.123
14,2025-01-11,"",Brown,REG (Conf),W,79,58,"",118.5,87.0,66.7,.239,.299,.529,55.6,40.0,15.0,6.5,.485,5.1,35.3,.209,.481,19.3,20.7,.132
15,2025-01-18,@,Columbia,REG (Conf),W,92,88,"",116.7,111.6,78.9,.500,.371,.600,61.8,62.1,3.8,14.3,.548,16.4,36.7,.387,.514,6.0,18.4,.246
16,2025-01-20,"",Dartmouth,REG (Conf),W,83,67,"",105.4,85.1,78.7,.233,.247,.512,52.9,53.1,7.6,15.6,.473,11.9,26.5,.192,.445,17.2,20.6,.327
17,2025-01-25,"",Harvard,REG (Conf),W,84,55,"",121.6,79.6,69.1,.460,.317,.547,66.7,63.0,10.1,16.1,.492,9.4,48.6,.349,.433,16.1,12.9,.050
18,2025-01-31,@,Princeton,REG (Conf),W,77,70,"",119.3,108.5,64.5,.148,.296,.666,51.7,38.7,9.3,22.2,.657,20.6,42.9,.111,.449,10.9,43.6,.116
19,2025-02-01,@,Pennsylvania,REG (Conf),W,90,61,"",125.3,84.9,71.8,.393,.268,.677,58.1,40.6,7.0,14.3,.643,14.2,21.7,.321,.424,10.1,20.5,.076
20,2025-02-08,@,Cornell,REG (Conf),W,103,88,"",135.8,116.0,75.9,.297,.328,.705,54.5,55.0,11.9,12.9,.703,12.0,30.4,.203,.581,13.0,28.1,.132
21,2025-02-14,"",Pennsylvania,REG (Conf),W,72,71,"",112.5,110.9,64.0,.222,.254,.517,46.9,40.0,10.9,12.9,.500,4.1,25.0,.143,.549,13.6,31.3,.066
22,2025-02-15,"",Princeton,REG (Conf),W,84,57,"",127.7,86.7,65.8,.268,.357,.665,58.8,46.9,9.1,23.8,.652,11.2,25.0,.196,.339,11.8,22.7,.339
23,2025-02-21,"",Cornell,REG (Conf),W,92,88,"",123.3,117.9,74.6,.492,.475,.611,47.1,70.0,6.7,17.2,.582,10.7,25.8,.344,.522,10.3,35.9,.250
24,2025-02-22,"",Columbia,REG (Conf),W,90,64,"",122.6,87.2,73.4,.183,.268,.583,61.8,55.3,5.5,2.5,.570,9.4,36.4,.127,.448,16.5,14.3,.207
25,2025-02-28,@,Dartmouth,REG (Conf),W,72,67,"",103.7,96.5,69.4,.262,.246,.493,53.3,33.3,2.9,11.8,.454,7.6,25.7,.200,.442,5.1,22.5,.087
26,2025-03-01,@,Harvard,REG (Conf),L,69,74,"",103.4,110.9,66.7,.164,.239,.478,51.5,48.3,9.0,5.6,.463,10.0,32.4,.104,.543,13.7,25.8,.190
27,2025-03-08,@,Brown,REG (Conf),W,70,61,"",106.8,93.1,65.5,.415,.340,.552,43.5,47.8,12.2,24.1,.509,8.6,19.2,.302,.415,17.4,38.9,.203
28,2025-03-15,N,Princeton,CTOURN,W,59,57,"",99.2,95.8,59.5,.367,.306,.513,56.9,31.8,5.0,13.6,.480,12.2,25.9,.245,.474,10.7,16.1,.053
29,2025-03-16,N,Cornell,CTOURN,W,90,84,"",131.8,123.0,68.3,.339,.371,.625,46.3,48.4,7.3,0.0,.605,4.0,16.1,.242,.663,14.4,13.0,.288
