Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2025-11-03,"",New Hampshire,REG (Non-Conf),W,88,38,"",130.6,56.4,67.4,.804,.373,.624,60.9,50.0,3.0,12.1,.569,7.8,25.9,.588,.283,11.1,16.7,.067
2,2025-11-07,"",Gardner-Webb,REG (Non-Conf),W,97,59,"",137.7,83.8,70.4,.260,.468,.561,62.5,67.6,12.8,11.1,.545,3.4,45.0,.169,.447,20.2,15.6,.362
3,2025-11-11,"",Morehead State,REG (Non-Conf),W,83,56,"",134.1,90.5,61.9,.290,.484,.588,50.0,65.5,9.7,5.4,.556,6.6,40.0,.226,.387,14.1,41.0,.129
4,2025-11-15,@,Georgetown,REG (Non-Conf),L,74,79,"",104.4,111.5,70.9,.328,.475,.525,53.2,56.0,5.6,8.3,.492,12.4,29.4,.230,.509,10.5,17.9,.472
5,2025-11-17,"",North Alabama,REG (Non-Conf),W,81,61,"",129.0,97.1,62.8,.328,.574,.574,60.6,66.7,8.0,18.8,.533,13.5,53.1,.262,.425,9.4,33.3,.167
6,2025-11-21,N,West Virginia,REG (Non-Conf),W,70,67,"",106.8,102.3,65.5,.365,.423,.574,52.5,50.0,7.6,11.8,.529,15.3,22.2,.288,.482,9.6,23.5,.211
7,2025-11-23,N,Georgia,REG (Non-Conf),W,97,94,OT,117.5,113.9,73.4,.420,.362,.586,56.0,37.5,9.7,0.0,.543,10.8,33.3,.319,.553,15.2,19.4,.318
8,2025-11-28,"",Alabama A&M,REG (Non-Conf),W,92,56,"",130.2,79.3,70.6,.582,.418,.655,65.6,60.0,7.1,3.1,.618,13.5,32.1,.436,.407,13.9,8.3,.222
9,2025-12-03,@,Alabama,REG (Non-Conf),L,84,90,"",115.8,124.1,72.5,.394,.268,.498,52.0,41.4,8.3,11.5,.437,6.6,40.0,.310,.567,9.7,34.3,.367
10,2025-12-09,N,Brigham Young,REG (Non-Conf),L,64,67,"",100.2,104.9,63.9,.259,.500,.491,51.7,71.4,11.0,12.8,.440,14.4,45.2,.224,.444,11.6,41.4,.194
