Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2025-11-03,"",Green Bay,REG (Non-Conf),W,94,51,"",145.8,79.1,64.5,.414,.466,.677,66.7,60.6,9.3,32.0,.655,4.1,34.6,.310,.357,8.5,12.5,.196
2,2025-11-07,@,North Carolina,REG (Non-Conf),L,74,87,"",101.2,119.0,73.1,.259,.431,.568,41.1,53.8,8.2,7.7,.552,15.6,20.7,.172,.576,12.9,37.0,.167
3,2025-11-11,"",Texas A&MâCorpus Christi,REG (Non-Conf),W,77,46,"",105.8,63.2,72.8,.440,.460,.637,62.9,66.7,9.6,26.7,.620,21.9,20.0,.300,.331,14.4,8.1,.119
4,2025-11-15,"",Princeton,REG (Non-Conf),W,76,57,"",104.9,78.7,72.5,.528,.396,.573,60.0,48.0,9.7,21.7,.519,17.4,28.1,.396,.397,16.5,13.2,.190
5,2025-11-18,N,Duke,REG (Non-Conf),L,66,78,"",98.5,116.4,67.0,.233,.350,.495,43.3,57.7,7.5,12.5,.467,9.5,22.2,.167,.526,10.2,32.3,.293
6,2025-11-24,N,Notre Dame,REG (Non-Conf),W,71,61,"",105.0,90.2,67.7,.217,.333,.536,52.2,57.1,3.0,20.0,.517,12.0,23.3,.150,.375,6.6,24.3,.203
7,2025-11-25,N,Syracuse,REG (Non-Conf),W,71,60,"",107.2,90.6,66.2,.370,.296,.559,61.1,58.3,3.0,12.1,.491,18.1,37.9,.333,.373,2.6,23.3,.206
8,2025-11-26,N,Tennessee,REG (Non-Conf),W,81,76,"",111.2,104.3,72.9,.526,.298,.568,51.6,50.0,4.1,21.1,.482,11.2,23.3,.456,.468,7.6,21.9,.270
9,2025-12-02,"",Connecticut,REG (Non-Conf),L,56,61,"",90.5,98.6,61.9,.412,.353,.459,46.0,44.4,6.5,16.1,.402,14.1,26.5,.294,.482,14.1,31.0,.105
10,2025-12-07,"",Missouri,REG (Non-Conf),W,80,60,"",117.4,88.0,68.2,.456,.368,.577,54.3,65.4,7.3,20.6,.535,11.5,34.5,.333,.402,12.3,31.7,.180
11,2025-12-13,@,NC State,REG (Non-Conf),W,77,76,OT,101.4,100.1,67.5,.143,.429,.515,50.6,56.7,5.3,7.5,.507,9.7,21.6,.086,.439,7.9,25.0,.149
12,2025-12-16,"",Towson,REG (Non-Conf),W,73,49,"",111.2,74.6,65.7,.233,.400,.548,51.9,53.6,9.1,20.0,.533,11.9,35.5,.150,.297,11.8,37.5,.116
13,2025-12-22,"",Davidson,REG (Non-Conf),W,90,61,"",122.3,82.9,73.6,.078,.328,.678,57.7,73.0,17.7,13.5,.664,18.4,30.8,.078,.440,18.6,26.7,.030
14,2026-01-03,@,UCF,REG (Conf),L,75,81,"",104.7,113.1,71.6,.397,.397,.544,50.0,44.0,4.2,17.1,.500,13.8,27.3,.293,.492,7.3,28.6,.281
15,2026-01-06,"",TCU,REG (Conf),W,104,100,OT,121.4,116.7,76.2,.635,.317,.634,47.4,39.4,9.3,12.5,.587,13.7,24.2,.476,.567,13.1,34.9,.200
16,2026-01-10,@,West Virginia,REG (Conf),L,75,86,"",110.0,126.2,68.2,.295,.443,.539,47.7,42.3,10.3,16.7,.492,7.9,25.7,.246,.580,10.3,26.7,.375
17,2026-01-13,"",Iowa State,REG (Conf),W,84,63,"",125.4,94.1,67.0,.197,.393,.630,53.7,54.8,11.9,21.1,.607,10.7,35.7,.164,.438,14.6,33.3,.092
18,2026-01-16,"",Baylor,REG (Conf),W,80,62,"",118.6,91.9,67.5,.206,.270,.578,52.2,46.9,11.9,25.0,.548,5.5,19.4,.175,.451,12.0,19.4,.115
19,2026-01-20,@,Colorado,REG (Conf),W,75,69,"",111.9,103.0,67.0,.462,.365,.591,57.9,58.3,4.5,12.8,.538,14.8,31.0,.365,.421,3.7,25.5,.143
20,2026-01-24,@,Kansas State,REG (Conf),W,86,62,"",135.4,97.6,63.5,.414,.276,.620,55.6,61.3,3.1,12.5,.569,11.5,42.3,.345,.426,6.9,35.1,.164
21,2026-01-31,"",Brigham Young,REG (Conf),W,90,82,"",127.2,115.9,70.7,.429,.393,.668,50.0,53.1,7.1,8.8,.670,8.2,14.8,.268,.538,8.6,24.3,.167
22,2026-02-02,@,Texas Tech,REG (Conf),W,64,61,"",91.1,86.8,70.3,.245,.377,.541,50.7,41.7,5.7,15.6,.509,20.2,17.9,.189,.403,10.8,27.9,.042
23,2026-02-07,"",Utah,REG (Conf),W,71,59,"",105.8,87.9,67.1,.286,.321,.558,53.8,64.3,6.0,27.0,.527,13.6,20.0,.214,.445,13.8,17.1,.182
24,2026-02-09,"",Arizona,REG (Conf),W,82,78,"",107.5,102.3,76.3,.362,.217,.507,46.8,39.3,11.8,14.0,.442,12.0,36.6,.304,.486,13.2,41.7,.111
25,2026-02-14,@,Iowa State,REG (Conf),L,56,74,"",85.4,112.8,65.6,.294,.353,.482,50.8,36.8,6.1,12.5,.431,18.3,26.7,.235,.524,7.9,25.8,.145
26,2026-02-18,@,Oklahoma State,REG (Conf),W,81,69,"",112.8,96.1,71.8,.262,.393,.590,50.7,71.4,7.0,18.4,.549,14.9,29.0,.230,.402,10.6,32.5,.242
27,2026-02-21,"",Cincinnati,REG (Conf),L,68,84,"",100.5,124.2,67.7,.213,.295,.506,43.1,40.7,7.4,6.1,.475,11.8,25.7,.164,.578,10.1,36.7,.156
28,2026-02-23,"",Houston,REG (Conf),W,69,56,"",106.3,86.3,64.9,.400,.340,.580,55.6,50.0,4.6,14.3,.510,15.6,28.0,.360,.356,7.9,26.3,.136
29,2026-02-28,@,Arizona,REG (Conf),L,61,84,"",85.7,118.0,71.2,.169,.308,.434,32.4,36.4,7.0,12.8,.392,11.4,15.4,.154,.491,13.4,44.8,.545
30,2026-03-03,@,Arizona State,REG (Conf),L,60,70,"",82.3,96.0,72.9,.222,.375,.377,54.8,66.7,16.5,8.8,.340,16.7,45.1,.153,.390,16.0,33.3,.407
31,2026-03-07,"",Kansas State,REG (Conf),W,104,85,"",132.4,108.2,78.6,.211,.366,.666,62.3,54.8,6.4,13.3,.669,13.3,37.5,.127,.507,9.4,16.2,.254
