Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2025-11-03,"",Paine,REG (Non-Conf),W,105,29,"",131.0,36.2,80.2,.290,.522,.669,69.0,59.5,10.0,12.0,.659,12.3,35.5,.203,.178,14.6,12.5,.041
2,2025-11-08,@,Florida A&M,REG (Non-Conf),W,92,72,"",113.6,88.9,81.0,.491,.351,.654,50.7,37.5,8.6,6.3,.632,16.6,19.2,.351,.358,12.7,29.3,.358
3,2025-11-12,"",Point,REG (Non-Conf),W,111,60,"",137.1,74.1,81.0,.456,.392,.578,67.4,56.1,14.8,10.0,.601,8.6,51.1,.203,.353,19.6,14.3,.328
4,2025-11-16,"",South Florida,REG (Non-Conf),L,89,108,"",103.3,125.3,86.2,.549,.465,.497,49.3,53.6,8.1,14.3,.451,13.5,36.6,.352,.565,9.7,32.1,.613
5,2025-11-24,N,Rice,REG (Non-Conf),W,89,84,OT,105.8,99.8,74.8,.429,.414,.528,52.1,60.7,10.7,17.9,.471,13.4,35.1,.329,.484,14.9,29.4,.387
6,2025-11-25,N,Oral Roberts,REG (Non-Conf),L,83,91,"",108.5,119.0,77.2,.593,.339,.549,55.4,25.9,14.4,14.8,.508,16.6,38.2,.390,.698,22.7,18.2,.500
7,2025-11-26,@,Florida Gulf Coast,REG (Non-Conf),W,102,100,OT,114.2,112.0,79.4,.571,.397,.637,56.5,37.5,5.6,6.8,.579,19.2,33.3,.460,.522,11.2,22.2,.406
8,2025-12-02,"",Jackson State,REG (Non-Conf),W,88,73,"",117.1,97.1,75.2,.574,.544,.509,60.8,51.9,8.0,27.3,.463,9.4,48.9,.368,.405,15.3,21.9,.448
9,2025-12-06,"",Georgia State,REG (Non-Conf),W,92,69,"",107.3,80.5,85.7,.475,.361,.615,60.5,50.0,5.8,10.0,.607,20.3,26.7,.295,.314,10.5,19.6,.357
10,2025-12-08,"",S Wesleyan,REG (Non-Conf),W,121,66,"",157.4,85.9,76.9,.185,.519,.687,64.1,45.7,16.9,9.4,.679,7.4,52.9,.136,.491,22.7,23.3,.175
11,2025-12-17,@,Middle Tennessee,REG (Conf),L,67,68,"",91.4,92.7,73.3,.349,.317,.456,54.3,34.8,9.5,20.6,.389,15.0,38.2,.286,.393,15.4,30.6,.429
12,2025-12-21,N,Alabama,REG (Non-Conf),L,81,92,"",101.6,115.4,79.7,.261,.333,.522,55.7,43.3,6.3,9.5,.486,17.1,37.5,.203,.507,7.7,25.6,.247
13,2026-01-02,@,Liberty,REG (Conf),L,73,81,"",97.0,107.6,75.3,.163,.450,.424,60.6,55.6,10.6,6.3,.400,13.1,45.7,.113,.585,14.6,12.0,.358
14,2026-01-04,@,Delaware,REG (Conf),L,52,67,"",80.8,104.1,64.4,.200,.583,.396,57.4,64.7,9.3,16.2,.342,16.5,38.5,.183,.548,14.3,17.2,.192
15,2026-01-07,"",Missouri State,REG (Conf),W,90,80,"",115.4,102.6,78.0,.615,.519,.670,51.6,70.4,10.3,23.8,.625,20.2,30.8,.481,.477,14.0,34.2,.277
16,2026-01-10,"",Jacksonville State,REG (Conf),W,88,82,"",116.6,108.6,75.5,.596,.421,.602,51.7,59.3,6.6,17.1,.553,12.0,29.0,.439,.560,14.5,22.2,.293
17,2026-01-14,"",Florida International,REG (Conf),W,89,86,"",118.2,114.2,75.3,.446,.538,.565,47.4,64.3,6.6,20.4,.554,12.3,39.0,.262,.479,10.8,43.2,.254
18,2026-01-17,@,Western Kentucky,REG (Conf),W,81,65,"",108.2,86.8,74.9,.492,.508,.557,55.1,62.5,5.3,25.7,.500,11.0,25.7,.373,.368,8.1,20.9,.221
19,2026-01-21,@,Sam Houston State,REG (Conf),L,87,93,"",114.4,122.3,76.0,.264,.472,.537,54.9,63.3,9.2,4.9,.507,9.0,33.3,.194,.643,11.1,13.8,.190
20,2026-01-23,@,Louisiana Tech,REG (Conf),L,76,82,"",113.4,122.3,67.0,.623,.377,.553,46.4,52.2,10.4,20.5,.500,9.3,32.4,.434,.600,13.1,31.8,.291
21,2026-01-28,"",Western Kentucky,REG (Conf),W,72,69,"",99.2,95.1,72.6,.566,.302,.535,52.1,39.1,8.3,22.5,.500,16.2,31.3,.358,.341,6.9,30.8,.319
22,2026-01-31,"",New Mexico State,REG (Conf),W,76,53,"",112.0,78.1,67.9,.692,.462,.550,54.0,59.1,10.3,15.6,.490,10.4,29.6,.481,.271,15.7,27.8,.563
