Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2025-11-03,"",Old Dominion,REG (Non-Conf),W,87,72,"",115.7,95.7,75.2,.466,.414,.614,56.4,37.9,12.0,12.5,.560,14.5,28.6,.379,.557,23.9,14.8,.245
2,2025-11-07,"",Trinity Christian,REG (Non-Conf),W,129,49,"",155.4,59.0,83.0,.460,.476,.840,72.1,60.5,15.7,16.7,.849,15.4,57.9,.349,.284,18.5,22.4,.095
3,2025-11-15,@,Air Force,REG (Non-Conf),W,76,61,"",111.1,89.2,68.4,.078,.484,.573,54.5,46.7,7.3,12.1,.570,14.2,25.0,.047,.461,16.3,17.6,.275
4,2025-11-20,"",Mercyhurst,REG (Non-Conf),W,76,71,"",116.1,108.5,65.5,.633,.449,.596,50.0,45.5,6.1,6.1,.510,14.7,26.9,.531,.554,15.0,31.3,.161
5,2025-11-23,"",ArkansasâPine Bluff,REG (Non-Conf),W,111,84,"",134.5,101.8,82.5,.500,.359,.701,55.2,69.4,8.5,8.5,.648,10.2,21.4,.438,.457,11.0,20.5,.304
6,2025-11-26,N,UNC Greensboro,REG (Non-Conf),W,82,71,"",114.4,99.0,71.7,.339,.576,.599,43.8,50.0,12.6,9.4,.568,10.5,18.8,.254,.481,20.5,31.3,.352
7,2025-12-02,"",IU East,REG (Non-Conf),W,109,65,"",132.9,79.2,82.0,.342,.434,.617,62.2,40.5,14.6,12.8,.605,10.2,41.7,.224,.400,16.5,21.7,.129
8,2025-12-06,"",Maine,REG (Non-Conf),W,93,61,"",126.2,82.8,73.7,.194,.478,.635,60.7,64.7,16.3,5.9,.612,17.0,41.4,.164,.510,25.6,21.9,.154
9,2025-12-10,@,UNC Asheville,REG (Non-Conf),W,90,87,OT,117.0,113.1,68.4,.387,.419,.613,49.2,54.8,5.2,0.0,.581,3.9,12.5,.290,.565,13.2,7.4,.274
10,2025-12-13,@,Eastern Kentucky,REG (Non-Conf),W,79,69,"",115.6,100.9,68.4,.148,.410,.605,42.9,60.6,16.1,13.3,.623,12.1,21.4,.049,.419,16.2,42.9,.274
11,2025-12-16,@,Wright State,REG (Non-Conf),W,83,76,"",112.4,102.9,73.9,.549,.373,.645,44.3,46.4,8.1,4.8,.647,14.6,4.2,.333,.452,11.8,29.7,.302
12,2025-12-20,@,Ball State,REG (Conf),W,86,77,"",123.7,110.8,69.5,.423,.462,.689,58.8,61.5,1.4,5.6,.625,16.1,14.3,.404,.553,7.1,10.0,.246
13,2025-12-22,"",Milligan,REG (Non-Conf),W,135,81,"",170.5,102.3,79.2,.239,.448,.905,60.4,62.7,10.1,8.6,.910,7.4,13.3,.194,.521,13.7,21.1,.083
14,2025-12-30,@,Bowling Green,REG (Conf),W,93,83,"",122.1,109.0,76.2,.436,.418,.700,59.3,53.3,7.9,7.3,.645,18.4,33.3,.400,.532,14.0,24.2,.254
15,2026-01-03,"",Akron,REG (Conf),W,76,73,"",104.8,100.7,72.5,.566,.660,.565,47.8,60.0,8.3,15.6,.481,16.2,26.5,.472,.500,17.9,30.3,.141
16,2026-01-06,"",Western Michigan,REG (Conf),W,87,76,"",114.0,99.6,76.3,.630,.481,.620,56.1,44.4,7.9,14.0,.556,16.6,30.8,.500,.455,12.6,27.5,.242
17,2026-01-09,@,Toledo,REG (Conf),W,87,73,"",123.1,103.3,70.7,.127,.492,.651,53.1,47.1,9.9,11.4,.635,10.7,25.0,.111,.452,13.3,25.0,.274
18,2026-01-13,"",Central Michigan,REG (Conf),W,100,61,"",142.9,87.1,70.0,.528,.434,.754,55.2,59.4,17.1,10.0,.708,12.0,23.8,.472,.449,18.8,27.0,.136
19,2026-01-17,"",Buffalo,REG (Conf),W,105,102,OT,124.1,120.5,75.2,.394,.439,.670,47.5,50.0,11.8,17.9,.674,12.3,13.3,.242,.638,15.6,19.4,.292
20,2026-01-20,@,Kent State,REG (Conf),W,107,101,OT,126.7,119.6,75.1,.486,.443,.621,43.9,47.4,8.3,5.3,.607,6.5,25.8,.314,.559,16.2,40.0,.368
21,2026-01-27,"",Massachusetts,REG (Conf),W,86,84,"",128.2,125.3,67.1,.745,.569,.623,46.8,70.8,7.5,5.0,.569,10.4,32.3,.549,.582,12.6,38.7,.213
22,2026-01-31,"",Northern Illinois,REG (Conf),W,85,61,"",114.4,82.1,74.3,.313,.438,.578,57.8,41.9,14.8,12.9,.539,10.9,28.1,.250,.473,20.2,12.5,.164
23,2026-02-03,@,Buffalo,REG (Conf),W,73,71,"",103.3,100.4,70.7,.103,.379,.600,45.6,50.0,17.0,10.3,.603,17.6,15.4,.052,.500,18.6,29.0,.246
24,2026-02-07,@,Marshall,REG (Non-Conf),W,90,74,"",124.1,102.0,72.5,.356,.305,.652,52.2,45.5,9.7,4.9,.627,15.9,38.5,.271,.457,12.3,39.0,.143
