Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2025-11-03,"",College of Biblical Studies,REG (Non-Conf),W,95,48,"",115.6,58.4,82.2,.476,.381,.615,64.6,53.1,23.1,15.4,.579,19.7,37.5,.349,.387,28.9,9.1,.132
2,2025-11-05,"",Dallas,REG (Non-Conf),W,94,53,"",132.9,75.0,70.7,.484,.177,.616,58.2,32.4,19.8,9.7,.573,9.5,40.7,.371,.440,25.3,25.0,.180
3,2025-11-08,@,Wichita State,REG (Non-Conf),L,62,105,"",78.6,133.1,78.9,.475,.271,.429,42.0,26.3,5.1,5.3,.339,18.1,23.7,.373,.607,10.1,35.5,.508
4,2025-11-12,@,Oklahoma State,REG (Non-Conf),L,67,94,"",81.5,114.3,82.2,.219,.375,.474,34.7,52.0,4.9,14.6,.461,14.5,8.6,.125,.514,14.0,40.5,.260
5,2025-11-17,@,Missouri,REG (Non-Conf),L,73,91,"",94.5,117.8,77.2,.242,.348,.496,32.8,48.0,12.9,5.1,.447,10.9,10.5,.212,.597,15.0,37.9,.274
6,2025-11-22,N,UT Martin,REG (Non-Conf),L,68,69,"",95.8,97.2,71.0,.554,.286,.481,47.0,30.0,11.3,13.8,.393,13.5,23.5,.429,.511,20.7,28.1,.447
7,2025-11-23,N,North Florida,REG (Non-Conf),W,85,82,"",114.0,110.0,74.6,.471,.329,.496,50.8,35.7,18.8,21.7,.443,10.5,42.9,.329,.673,25.2,34.8,.327
8,2025-11-30,@,North Texas,REG (Non-Conf),L,69,72,"",96.0,100.1,71.9,.407,.222,.535,37.5,29.2,12.5,11.8,.472,14.6,10.3,.333,.540,22.4,33.3,.360
9,2025-12-06,"",Champion Christian,REG (Non-Conf),W,124,62,"",138.0,69.0,89.9,.308,.282,.694,64.0,51.0,18.9,7.1,.673,12.7,46.2,.244,.393,24.4,26.5,.040
10,2025-12-13,@,South Dakota,REG (Non-Conf),L,85,97,"",106.6,121.7,79.7,.273,.197,.570,43.3,29.4,10.0,14.0,.545,15.8,29.4,.197,.516,13.7,42.4,.557
11,2025-12-20,"",Paul Quinn,REG (Non-Conf),W,100,64,"",121.9,78.0,82.0,.556,.349,.628,52.2,56.3,14.6,9.7,.579,13.1,25.7,.429,.471,29.4,20.6,.288
12,2025-12-22,@,Louisiana State,REG (Non-Conf),L,90,104,"",121.2,140.0,74.3,.519,.370,.669,33.3,42.3,8.1,13.5,.593,12.9,16.0,.481,.535,11.1,51.7,.754
13,2025-12-29,@,Texas A&M,REG (Non-Conf),L,82,111,"",93.5,126.6,87.7,.477,.338,.514,39.5,53.8,8.0,7.5,.446,15.8,15.8,.369,.621,13.9,36.8,.343
14,2026-01-03,@,Grambling State,REG (Conf),L,72,76,"",97.7,103.1,73.7,.474,.333,.516,47.6,31.8,14.9,2.9,.447,18.6,33.3,.368,.541,21.5,36.7,.469
15,2026-01-05,@,Southern,REG (Conf),W,89,85,"",114.1,109.0,78.0,.407,.254,.632,43.5,30.3,5.1,20.0,.610,15.6,17.9,.288,.475,14.5,35.3,.467
16,2026-01-10,"",Mississippi Valley State,REG (Conf),W,70,69,"",98.5,97.1,71.1,.706,.353,.514,37.3,81.0,8.4,21.1,.471,12.8,16.2,.431,.509,19.7,36.7,.214
17,2026-01-12,"",ArkansasâPine Bluff,REG (Conf),W,73,61,"",104.5,87.4,69.8,.554,.268,.516,56.2,62.5,10.0,11.8,.482,6.6,33.3,.339,.392,16.5,25.0,.233
18,2026-01-17,@,Jackson State,REG (Conf),L,78,82,"",105.3,110.7,74.1,.603,.397,.523,45.1,54.5,13.5,5.6,.440,12.8,30.6,.466,.531,16.0,40.0,.219
19,2026-01-19,@,Alcorn State,REG (Conf),L,75,76,"",105.2,106.6,71.3,.352,.352,.595,38.8,57.7,7.0,12.5,.546,13.7,13.8,.296,.450,13.4,42.1,.186
20,2026-01-24,"",Alabama State,REG (Conf),L,80,95,"",100.0,118.7,80.0,.630,.278,.570,52.5,39.1,8.7,7.1,.463,18.6,25.9,.556,.606,13.5,25.0,.227
21,2026-01-27,"",Alabama A&M,REG (Conf),L,60,80,"",87.0,116.0,68.9,.182,.242,.418,46.2,62.5,11.6,4.9,.386,11.2,26.3,.136,.586,13.5,25.9,.207
22,2026-01-31,"",Texas Southern,REG (Conf),W,85,78,"",119.1,109.3,71.4,.385,.415,.553,39.7,42.9,9.8,12.2,.500,8.3,22.5,.308,.517,11.1,39.4,.288
23,2026-02-07,@,Bethune-Cookman,REG (Conf),L,76,82,"",99.0,106.8,76.8,.371,.300,.461,41.9,11.1,10.4,2.0,.407,7.8,25.0,.271,.453,13.0,40.5,.375
24,2026-02-09,@,Florida A&M,REG (Conf),L,96,100,"",107.4,111.9,89.4,.678,.271,.615,37.7,32.3,13.4,4.3,.585,18.8,15.2,.458,.664,23.5,35.7,.311
25,2026-02-14,"",Southern,REG (Conf),L,82,87,"",105.2,111.6,77.9,.561,.368,.568,40.4,44.0,3.8,9.3,.500,14.3,14.3,.439,.525,12.8,34.5,.424
26,2026-02-16,"",Grambling State,REG (Conf),W,68,63,"",93.8,86.9,72.5,.527,.200,.494,47.5,36.4,6.9,29.5,.409,12.7,26.7,.418,.434,20.4,31.0,.164
27,2026-02-19,@,Mississippi Valley State,REG (Conf),W,72,62,"",105.2,90.6,68.4,.491,.273,.531,58.8,36.0,10.2,7.9,.491,16.1,40.0,.327,.395,14.3,21.2,.298
28,2026-02-21,@,ArkansasâPine Bluff,REG (Conf),L,82,84,"",119.0,121.9,68.9,.538,.346,.628,53.2,46.2,7.3,3.1,.548,17.7,33.3,.481,.651,13.8,26.1,.283
29,2026-02-26,"",Jackson State,REG (Conf),W,85,76,OT,114.2,102.1,66.2,.333,.319,.510,53.7,61.5,16.1,24.3,.438,11.7,45.5,.306,.468,17.0,36.8,.270
30,2026-02-28,"",Alcorn State,REG (Conf),W,72,51,"",102.3,72.5,70.4,.238,.286,.513,60.0,55.2,11.4,34.1,.500,10.2,25.8,.143,.355,18.5,12.8,.218
31,2026-03-05,@,Texas Southern,REG (Conf),W,70,59,"",100.0,84.3,70.0,.281,.421,.542,46.2,66.7,5.7,13.2,.526,13.4,21.2,.175,.319,10.2,35.6,.217
32,2026-03-10,N,Alcorn State,CTOURN,W,65,56,"",95.5,82.3,68.0,.458,.288,.452,54.5,52.4,4.4,12.1,.381,8.9,25.8,.339,.383,15.2,20.0,.426
33,2026-03-11,N,Bethune-Cookman,CTOURN,W,71,67,"",104.0,98.2,68.3,.377,.264,.568,47.3,38.5,4.4,10.6,.566,15.0,24.0,.208,.466,15.2,33.3,.224
34,2026-03-13,N,Alabama A&M,CTOURN,W,74,55,"",114.5,85.1,64.6,.500,.300,.598,50.0,50.0,7.7,10.5,.550,8.8,17.4,.380,.398,13.3,28.6,.222
35,2026-03-14,N,Southern,CTOURN,W,72,66,"",106.9,98.0,67.4,.200,.300,.548,44.8,44.4,8.9,14.0,.525,12.0,25.8,.150,.411,13.4,38.9,.242
