Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2025-11-03,"",Quinnipiac,REG (Non-Conf),W,108,74,"",122.6,84.0,88.1,.493,.275,.634,60.6,64.1,13.6,6.1,.623,14.1,41.9,.319,.455,22.4,22.9,.194
2,2025-11-08,"",Alabama,REG (Non-Conf),L,96,103,"",111.3,119.5,86.2,.635,.270,.585,48.7,58.1,4.6,8.7,.540,12.8,20.6,.444,.549,7.1,29.5,.173
3,2025-11-15,"",William & Mary,REG (Non-Conf),W,93,60,"",114.7,74.0,81.1,.293,.373,.544,56.2,47.2,16.0,21.9,.520,11.4,39.5,.200,.451,25.6,25.7,.082
4,2025-11-20,"",Bucknell,REG (Non-Conf),W,97,49,"",129.5,65.4,74.9,.431,.400,.619,67.2,63.6,20.0,23.3,.585,13.3,50.0,.323,.333,24.6,17.1,.294
5,2025-11-24,N,Iowa State,REG (Non-Conf),L,82,83,"",113.8,115.2,72.1,.500,.333,.552,52.5,57.7,5.6,7.5,.492,10.8,41.4,.383,.508,11.9,36.7,.323
6,2025-11-25,N,Baylor,REG (Non-Conf),W,96,81,"",132.8,112.1,72.3,.361,.361,.672,43.4,54.3,5.5,9.4,.664,11.2,31.0,.246,.423,10.4,48.9,.192
7,2025-11-26,N,Auburn,REG (Non-Conf),L,74,85,"",104.8,120.4,70.6,.467,.417,.505,45.6,56.5,7.1,5.1,.442,16.0,39.5,.350,.604,15.6,42.1,.396
8,2025-12-06,"",Ole Miss,REG (Non-Conf),W,63,58,"",86.8,79.9,72.6,.700,.440,.473,52.2,47.1,17.9,25.6,.380,22.2,37.8,.500,.382,21.8,30.0,.291
9,2025-12-13,"",Iona,REG (Non-Conf),W,91,64,"",116.5,81.9,78.1,.431,.448,.651,61.2,40.0,10.2,19.2,.603,19.6,35.7,.362,.415,14.9,20.5,.070
10,2025-12-16,"",DePaul,REG (Conf),W,79,66,"",111.0,92.7,71.2,.362,.379,.581,54.4,53.8,11.2,13.6,.534,12.8,26.7,.293,.442,12.3,23.7,.072
11,2025-12-20,N,Kentucky,REG (Non-Conf),L,66,78,"",91.9,108.6,71.8,.627,.373,.498,40.0,82.4,13.9,11.1,.382,14.2,23.3,.529,.492,17.4,43.3,.295
12,2025-12-23,"",Harvard,REG (Non-Conf),W,85,59,"",123.4,85.6,68.9,.290,.371,.602,62.7,61.3,11.6,15.2,.573,13.5,40.0,.226,.472,17.1,15.4,.170
13,2025-12-31,@,Georgetown,REG (Conf),W,95,83,"",134.5,117.5,70.6,.433,.450,.657,54.1,66.7,9.9,15.0,.625,13.2,45.2,.333,.533,13.3,36.7,.295
14,2026-01-03,"",Providence,REG (Conf),L,71,77,"",90.5,98.2,78.4,.521,.437,.401,51.2,45.0,7.6,19.6,.331,11.9,39.6,.338,.438,12.5,34.2,.328
15,2026-01-06,@,Butler,REG (Conf),W,84,70,"",116.1,96.8,72.3,.227,.288,.574,48.0,48.5,16.6,12.9,.553,6.4,21.4,.167,.573,26.1,18.2,.313
16,2026-01-10,@,Creighton,REG (Conf),W,90,73,"",131.3,106.5,68.5,.277,.354,.612,61.0,57.6,10.2,12.5,.600,7.5,31.3,.185,.560,13.1,3.7,.340
17,2026-01-13,"",Marquette,REG (Conf),W,92,68,"",120.9,89.3,76.1,.369,.292,.602,62.1,60.6,11.8,5.9,.546,12.6,39.3,.323,.520,23.5,16.7,.347
18,2026-01-17,@,Villanova,REG (Conf),W,86,79,"",121.9,112.0,70.6,.534,.259,.591,50.9,43.3,11.3,10.7,.560,9.9,33.3,.362,.565,15.5,28.0,.333
19,2026-01-20,"",Seton Hall,REG (Conf),W,65,60,"",97.2,89.7,66.9,.508,.203,.444,48.6,66.7,12.0,6.7,.373,14.1,42.1,.356,.422,15.1,44.1,.190
20,2026-01-24,@,Xavier,REG (Conf),W,88,83,"",112.9,106.4,78.0,.338,.265,.557,54.5,51.5,10.3,7.5,.537,10.2,28.9,.221,.549,14.6,10.7,.262
21,2026-01-28,"",Butler,REG (Conf),W,92,70,"",141.6,107.8,65.0,.219,.313,.651,59.1,47.2,3.1,20.5,.633,6.6,40.0,.172,.500,8.0,25.0,.273
22,2026-02-03,@,DePaul,REG (Conf),W,68,56,"",102.8,84.7,66.1,.483,.333,.461,47.6,57.1,10.6,6.3,.400,7.5,31.4,.333,.394,15.2,32.1,.288
23,2026-02-06,"",Connecticut,REG (Conf),W,81,72,"",116.2,103.3,69.7,.574,.352,.589,53.7,59.3,12.9,8.8,.546,12.7,26.9,.407,.632,20.4,21.4,.094
24,2026-02-09,"",Xavier,REG (Conf),W,87,82,OT,103.8,97.9,74.5,.621,.197,.509,53.1,60.7,7.2,5.1,.447,9.5,28.6,.424,.480,9.7,20.5,.118
25,2026-02-14,@,Providence,REG (Conf),W,79,69,"",102.2,89.2,77.3,.441,.309,.480,47.4,50.0,14.2,9.3,.426,4.6,25.7,.309,.371,15.3,34.1,.303
26,2026-02-18,@,Marquette,REG (Conf),W,76,70,"",108.6,100.0,70.0,.414,.431,.548,53.6,65.4,8.6,10.0,.517,14.7,32.4,.276,.475,12.7,25.7,.197
27,2026-02-21,"",Creighton,REG (Conf),W,81,52,"",108.4,69.6,74.7,.365,.222,.548,59.7,69.0,13.4,19.4,.484,11.9,25.8,.317,.377,20.6,11.1,.226
28,2026-02-25,@,Connecticut,REG (Conf),L,40,72,"",66.5,119.7,60.2,.304,.357,.312,43.1,72.7,0.0,11.8,.241,9.8,26.8,.232,.534,4.5,29.2,.153
29,2026-02-28,"",Villanova,REG (Conf),W,89,57,"",122.8,78.6,72.5,.393,.246,.615,61.3,81.3,15.2,16.1,.590,10.0,29.6,.279,.435,20.6,14.3,.185
30,2026-03-03,"",Georgetown,REG (Conf),W,72,69,"",100.6,96.4,71.6,.288,.424,.480,53.8,84.6,11.2,10.0,.439,10.7,32.4,.212,.527,17.1,17.9,.179
31,2026-03-06,@,Seton Hall,REG (Conf),W,72,65,"",108.9,98.3,66.1,.423,.385,.576,46.6,61.5,7.6,13.3,.567,12.6,25.0,.250,.420,11.6,33.3,.321
32,2026-03-12,N,Providence,CTOURN,W,85,72,"",112.6,95.4,75.5,.221,.351,.500,61.8,54.5,7.9,11.9,.474,9.6,39.5,.156,.491,11.7,9.1,.304
33,2026-03-13,N,Seton Hall,CTOURN,W,78,68,"",113.9,99.3,68.5,.625,.250,.627,53.6,60.0,13.1,8.9,.563,17.3,36.4,.500,.454,13.5,35.3,.138
34,2026-03-14,N,Connecticut,CTOURN,W,72,52,"",111.9,80.8,64.4,.304,.357,.562,44.1,48.1,15.5,21.6,.527,11.1,25.0,.232,.366,19.3,42.9,.196
