Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2025-11-03,"",New Orleans,REG (Non-Conf),L,74,78,"",97.8,103.1,75.7,.388,.403,.466,41.5,50.0,13.2,10.3,.410,11.2,28.9,.284,.553,21.4,40.7,.263
2,2025-11-06,"",Saint Francis (PA),REG (Non-Conf),W,104,63,"",132.4,80.2,78.6,.431,.508,.664,71.0,61.8,8.9,19.0,.615,16.1,48.3,.369,.460,18.6,9.1,.079
3,2025-11-10,"",Lamar,REG (Non-Conf),W,78,65,"",117.2,97.7,66.6,.453,.358,.606,57.1,55.6,10.5,7.3,.585,15.7,38.5,.302,.475,12.0,26.7,.133
4,2025-11-14,"",Michigan,REG (Non-Conf),L,63,67,"",89.0,94.6,70.8,.242,.387,.456,32.3,47.8,15.5,21.6,.427,12.6,20.0,.161,.481,25.1,51.9,.302
5,2025-11-19,"",Kansas City,REG (Non-Conf),W,81,45,"",108.6,60.3,74.6,.221,.471,.539,61.1,77.8,16.1,20.8,.500,14.8,41.2,.191,.295,21.7,21.1,.214
6,2025-11-27,N,Florida,REG (Non-Conf),W,84,80,"",108.7,103.6,77.3,.559,.288,.562,43.4,57.1,15.5,15.4,.508,9.7,22.2,.407,.527,21.9,34.6,.400
7,2025-11-28,N,Wisconsin,REG (Non-Conf),W,74,63,"",99.9,85.0,74.1,.267,.233,.547,52.2,53.6,8.1,23.3,.533,15.1,21.9,.167,.405,19.4,20.0,.276
8,2025-12-05,"",Notre Dame,REG (Non-Conf),L,85,87,OT,113.8,116.4,66.4,.383,.483,.599,41.7,69.0,8.0,2.9,.583,10.1,12.9,.250,.650,15.8,27.6,.150
9,2025-12-07,@,North Texas,REG (Non-Conf),W,65,55,"",98.1,83.0,66.3,.407,.315,.504,61.4,33.3,15.1,11.8,.472,18.9,40.0,.259,.457,20.3,14.8,.255
10,2025-12-15,"",Incarnate Word,REG (Non-Conf),W,69,65,"",106.0,99.9,65.1,.490,.314,.549,56.4,45.8,4.6,26.5,.500,11.3,29.6,.353,.526,15.2,17.9,.088
11,2025-12-18,"",Oral Roberts,REG (Non-Conf),W,72,53,"",118.3,87.0,60.9,.375,.286,.546,62.5,44.4,13.1,12.9,.518,10.8,50.0,.250,.462,18.9,25.0,.096
12,2025-12-21,"",Florida A&M,REG (Non-Conf),W,80,56,"",122.5,85.8,65.3,.367,.517,.568,64.6,72.0,7.7,17.6,.508,13.5,42.4,.317,.480,13.4,12.5,.137
13,2025-12-29,"",Jackson State,REG (Non-Conf),W,115,64,"",152.5,84.9,75.4,.174,.391,.770,58.5,82.2,15.9,15.8,.746,9.7,33.3,.174,.458,20.5,25.0,.169
14,2026-01-03,"",Baylor,REG (Conf),W,69,63,"",104.2,95.1,66.2,.383,.333,.486,58.2,69.6,9.1,26.3,.450,12.4,48.5,.250,.415,14.0,32.4,.237
15,2026-01-06,@,Kansas,REG (Conf),L,100,104,OT,116.7,121.4,76.2,.320,.467,.579,52.6,51.4,8.2,16.3,.567,13.1,34.9,.200,.587,13.7,24.2,.476
16,2026-01-10,"",Arizona,REG (Conf),L,73,86,"",97.0,114.3,75.3,.407,.356,.518,43.8,52.0,6.6,11.8,.475,14.6,20.6,.288,.560,11.9,30.0,.164
17,2026-01-14,@,Brigham Young,REG (Conf),L,70,76,"",97.7,106.1,71.7,.295,.443,.503,38.2,64.0,4.2,9.1,.475,10.3,15.2,.197,.390,8.9,44.2,.338
18,2026-01-17,@,Utah,REG (Conf),L,79,82,"",111.3,115.6,71.0,.367,.250,.561,45.0,53.3,9.9,5.7,.533,10.2,22.6,.250,.585,12.6,31.0,.220
19,2026-01-20,"",Oklahoma State,REG (Conf),W,68,65,"",93.5,89.4,72.7,.197,.328,.510,54.2,67.9,11.0,14.9,.508,17.3,28.6,.098,.484,16.3,22.6,.081
20,2026-01-24,@,Baylor,REG (Conf),W,97,90,"",121.6,112.8,79.8,.796,.241,.652,38.9,39.3,10.0,6.7,.574,11.8,18.5,.648,.571,19.8,40.7,.464
21,2026-01-28,"",Houston,REG (Conf),L,70,79,"",99.8,112.6,70.1,.472,.283,.539,49.1,60.0,8.6,3.2,.509,15.6,21.4,.302,.528,13.3,22.2,.407
22,2026-02-01,@,Colorado,REG (Conf),L,61,87,"",90.2,128.7,67.6,.270,.365,.429,49.3,38.1,3.0,7.5,.373,12.3,34.1,.222,.643,10.4,30.0,.095
23,2026-02-07,"",Kansas State,REG (Conf),W,84,82,"",112.8,110.1,74.5,.610,.441,.552,64.8,66.7,9.4,0.0,.525,14.6,50.0,.373,.611,15.2,23.3,.079
24,2026-02-10,"",Iowa State,REG (Conf),W,62,55,"",92.7,82.3,66.9,.442,.346,.493,53.8,61.9,17.9,16.7,.452,17.1,31.0,.288,.457,19.5,27.8,.034
25,2026-02-14,@,Oklahoma State,REG (Conf),W,95,92,OT,122.0,118.1,69.2,.391,.362,.581,54.5,51.6,9.0,17.5,.536,7.9,32.4,.304,.585,10.6,21.9,.246
26,2026-02-17,@,UCF,REG (Conf),L,71,82,"",97.7,112.9,72.7,.450,.350,.487,49.2,36.0,12.4,8.1,.450,14.1,28.6,.283,.561,14.2,25.0,.316
27,2026-02-21,"",West Virginia,REG (Conf),W,60,54,"",97.1,87.4,61.8,.509,.302,.456,54.5,72.2,17.8,7.1,.396,13.2,45.2,.340,.459,21.5,33.3,.184
28,2026-02-24,"",Arizona State,REG (Conf),W,90,78,"",117.7,102.0,76.5,.625,.359,.542,54.5,81.5,13.1,9.8,.484,7.8,38.5,.438,.500,14.3,22.2,.279
29,2026-02-28,@,Kansas State,REG (Conf),W,77,68,"",106.8,94.3,72.1,.365,.429,.521,51.6,63.0,16.6,12.1,.484,8.6,28.6,.254,.571,23.0,18.5,.071
