Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2010-11-12,@,Villanova,REG (Non-Conf),L,52,68,"",19,56,.339,8,22,.364,11,34,.324,.411,6,8,.750,5,19,24,15,2,2,12,16,24,57,.421,10,27,.370,14,30,.467,.509,10,14,.714,10,28,38,14,4,4,12,10
2,2010-11-14,@,Marquette,REG (Non-Conf),L,61,72,"",23,51,.451,9,19,.474,14,32,.438,.539,6,11,.545,5,25,30,17,2,1,18,25,22,48,.458,5,13,.385,17,35,.486,.510,23,34,.676,7,27,34,12,11,1,14,15
3,2010-11-17,"",Binghamton,REG (Non-Conf),W,66,38,"",26,55,.473,5,17,.294,21,38,.553,.518,9,13,.692,8,27,35,16,7,0,10,11,14,57,.246,6,23,.261,8,34,.235,.298,4,8,.500,13,18,31,10,4,2,15,12
4,2010-11-20,@,Saint Francis (PA),REG (Non-Conf),L,67,68,"",26,51,.510,5,13,.385,21,38,.553,.559,10,14,.714,6,18,24,14,6,5,12,13,29,55,.527,6,21,.286,23,34,.676,.582,4,7,.571,8,21,29,22,7,1,12,17
5,2010-11-22,N,Presbyterian,REG (Non-Conf),W,71,47,"",28,55,.509,9,18,.500,19,37,.514,.591,6,9,.667,6,34,40,17,6,2,13,17,17,52,.327,6,23,.261,11,29,.379,.385,7,13,.538,6,18,24,11,6,4,14,13
6,2010-11-23,N,Princeton,REG (Non-Conf),L,55,66,"",22,57,.386,2,14,.143,20,43,.465,.404,9,11,.818,3,19,22,12,3,3,11,20,21,49,.429,8,18,.444,13,31,.419,.510,16,21,.762,7,31,38,11,4,2,14,17
7,2010-11-24,@,James Madison,REG (Non-Conf),L,75,85,"",26,49,.531,7,17,.412,19,32,.594,.602,16,19,.842,4,17,21,14,4,2,14,24,26,52,.500,10,19,.526,16,33,.485,.596,23,30,.767,8,16,24,16,3,1,9,14
8,2010-11-29,"",Wagner,REG (Non-Conf),L,73,77,"",22,51,.431,6,15,.400,16,36,.444,.490,23,31,.742,5,15,20,16,6,2,11,17,26,47,.553,7,12,.583,19,35,.543,.628,18,20,.900,4,23,27,18,7,4,13,23
9,2010-12-01,"",Columbia,REG (Non-Conf),W,73,68,"",22,62,.355,6,12,.500,16,50,.320,.403,23,27,.852,10,20,30,14,6,2,4,15,23,54,.426,8,25,.320,15,29,.517,.500,14,18,.778,7,25,32,13,1,3,14,23
10,2010-12-04,"",Boston University,REG (Non-Conf),W,52,49,"",18,58,.310,6,23,.261,12,35,.343,.362,10,12,.833,8,26,34,11,3,3,10,13,20,60,.333,5,20,.250,15,40,.375,.375,4,9,.444,9,25,34,11,3,3,10,13
11,2010-12-17,@,La Salle,REG (Non-Conf),W,89,77,"",34,62,.548,9,18,.500,25,44,.568,.621,12,16,.750,8,18,26,23,7,4,10,19,29,57,.509,6,15,.400,23,42,.548,.561,13,22,.591,11,19,30,16,3,2,13,15
12,2010-12-20,@,Cornell,REG (Non-Conf),W,75,64,"",25,50,.500,6,9,.667,19,41,.463,.560,19,25,.760,7,28,35,15,3,1,10,17,22,53,.415,9,21,.429,13,32,.406,.500,11,18,.611,7,19,26,12,4,2,9,23
13,2010-12-22,@,Boston College,REG (Non-Conf),L,80,84,"",30,61,.492,15,29,.517,15,32,.469,.615,5,6,.833,9,19,28,17,1,4,6,14,30,63,.476,12,30,.400,18,33,.545,.571,12,15,.800,14,16,30,19,1,2,5,6
14,2010-12-28,@,Loyola (MD),REG (Non-Conf),W,70,59,"",22,49,.449,7,15,.467,15,34,.441,.520,19,21,.905,4,31,35,11,3,3,14,20,20,61,.328,6,21,.286,14,40,.350,.377,13,20,.650,11,20,31,11,8,5,11,21
