Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2010-11-12,N,Denver,REG (Non-Conf),W,65,49,"",18,38,.474,7,15,.467,11,23,.478,.566,22,27,.815,3,20,23,11,17,4,18,19,15,41,.366,7,19,.368,8,22,.364,.451,12,15,.800,6,16,22,10,5,2,22,20
2,2010-11-13,N,North Dakota State,REG (Non-Conf),L,60,68,"",24,72,.333,5,22,.227,19,50,.380,.368,7,8,.875,12,21,33,6,9,3,12,25,22,40,.550,8,12,.667,14,28,.500,.650,16,29,.552,3,32,35,15,2,0,20,13
3,2010-11-14,@,Oregon,REG (Non-Conf),L,70,72,"",22,51,.431,6,16,.375,16,35,.457,.490,20,24,.833,5,22,27,9,6,5,13,19,26,59,.441,6,23,.261,20,36,.556,.492,14,23,.609,6,21,27,12,5,4,10,19
4,2010-11-20,"",Fresno State,REG (Non-Conf),W,69,54,"",27,53,.509,5,13,.385,22,40,.550,.557,10,18,.556,12,18,30,17,13,2,11,19,20,50,.400,4,18,.222,16,32,.500,.440,10,16,.625,11,18,29,12,4,4,18,18
5,2010-11-27,@,Portland,REG (Non-Conf),L,63,75,"",22,50,.440,7,24,.292,15,26,.577,.510,12,12,1.000,5,23,28,14,9,8,18,21,21,49,.429,12,24,.500,9,25,.360,.551,21,27,.778,10,16,26,16,8,2,12,14
6,2010-12-01,"",Loyola Marymount,REG (Non-Conf),W,77,67,"",29,47,.617,7,15,.467,22,32,.688,.691,12,15,.800,5,18,23,15,10,4,16,14,24,55,.436,7,18,.389,17,37,.459,.500,12,18,.667,10,12,22,9,9,3,16,15
7,2010-12-04,@,Santa Clara,REG (Non-Conf),W,80,69,"",24,54,.444,7,15,.467,17,39,.436,.509,25,32,.781,7,25,32,11,6,8,16,27,21,59,.356,8,22,.364,13,37,.351,.424,19,32,.594,14,25,39,12,6,1,15,21
8,2010-12-15,@,UNLV,REG (Non-Conf),W,68,62,"",22,44,.500,9,19,.474,13,25,.520,.602,15,17,.882,5,30,35,18,8,4,25,25,18,62,.290,6,29,.207,12,33,.364,.339,20,34,.588,23,17,40,15,17,1,17,18
9,2010-12-18,@,San Diego State,REG (Non-Conf),L,64,90,"",25,64,.391,5,17,.294,20,47,.426,.430,9,10,.900,17,15,32,16,2,0,13,17,32,57,.561,12,24,.500,20,33,.606,.667,14,17,.824,11,21,32,19,1,4,9,15
10,2010-12-21,"","",REG (Non-Conf),W,76,52,"",29,50,.580,13,21,.619,16,29,.552,.710,5,10,.500,4,20,24,22,8,4,8,11,20,50,.400,7,18,.389,13,32,.406,.470,5,7,.714,8,15,23,10,6,1,18,11
11,2010-12-28,"",Long Beach State,REG (Conf),L,55,71,"",18,54,.333,5,22,.227,13,32,.406,.380,14,19,.737,12,16,28,9,7,3,13,18,24,49,.490,5,13,.385,19,36,.528,.541,18,25,.720,8,24,32,15,7,5,15,15
12,2010-12-31,"","",REG (Non-Conf),W,75,67,OT,25,51,.490,7,25,.280,18,26,.692,.559,18,28,.643,9,24,33,21,9,5,15,12,24,63,.381,12,38,.316,12,25,.480,.476,7,9,.778,12,15,27,18,6,0,13,22
13,2011-01-06,@,UC Davis,REG (Conf),W,77,65,"",26,54,.481,8,18,.444,18,36,.500,.556,17,21,.810,6,25,31,16,12,1,14,14,23,49,.469,9,27,.333,14,22,.636,.561,10,16,.625,4,19,23,11,9,1,17,17
14,2011-01-08,@,Pacific,REG (Conf),L,54,57,"",22,44,.500,4,19,.211,18,25,.720,.545,6,6,1.000,4,20,24,14,4,3,13,21,18,49,.367,6,19,.316,12,30,.400,.429,15,19,.789,9,18,27,12,5,0,8,11
15,2011-01-13,"",UC Irvine,REG (Conf),W,71,58,"",25,56,.446,9,23,.391,16,33,.485,.527,12,16,.750,14,25,39,21,9,4,15,15,20,54,.370,4,16,.250,16,38,.421,.407,14,22,.636,12,16,28,8,5,4,15,20
16,2011-01-15,"",UC Riverside,REG (Conf),W,64,57,"",23,42,.548,5,16,.313,18,26,.692,.607,13,18,.722,6,26,32,17,3,5,13,19,21,57,.368,7,21,.333,14,36,.389,.430,8,15,.533,8,16,24,16,2,3,8,18
17,2011-01-22,@,Cal State Fullerton,REG (Conf),L,58,63,"",20,51,.392,8,23,.348,12,28,.429,.471,10,13,.769,6,19,25,15,2,7,21,21,18,44,.409,3,12,.250,15,32,.469,.443,24,31,.774,10,19,29,11,8,3,17,11
18,2011-01-27,@,Cal Poly,REG (Conf),W,71,70,"",24,48,.500,7,15,.467,17,33,.515,.573,16,24,.667,11,15,26,11,8,2,8,15,21,50,.420,13,26,.500,8,24,.333,.550,15,19,.789,10,18,28,17,4,3,12,19
19,2011-01-29,"",Cal State Northridge,REG (Conf),L,69,70,"",19,47,.404,6,20,.300,13,27,.481,.468,25,31,.806,8,18,26,12,6,1,11,19,23,51,.451,9,20,.450,14,31,.452,.539,15,20,.750,9,21,30,14,6,3,11,20
20,2011-02-03,"",Pacific,REG (Conf),L,68,74,"",28,56,.500,7,22,.318,21,34,.618,.563,5,7,.714,4,19,23,16,7,1,8,15,25,45,.556,12,19,.632,13,26,.500,.689,12,17,.706,3,24,27,19,3,0,12,11
21,2011-02-05,"",UC Davis,REG (Conf),W,93,86,OT,34,61,.557,6,16,.375,28,45,.622,.607,19,27,.704,11,20,31,17,6,6,10,18,31,56,.554,11,18,.611,20,38,.526,.652,13,17,.765,8,19,27,20,4,4,17,22
22,2011-02-10,@,UC Riverside,REG (Conf),W,59,47,"",16,37,.432,8,19,.421,8,18,.444,.541,19,22,.864,5,26,31,9,4,5,17,24,17,53,.321,1,9,.111,16,44,.364,.330,12,18,.667,12,15,27,8,6,3,7,21
23,2011-02-12,@,UC Irvine,REG (Conf),L,63,66,"",21,56,.375,12,32,.375,9,24,.375,.482,9,14,.643,9,24,33,15,6,3,13,17,23,49,.469,8,16,.500,15,33,.455,.551,12,15,.800,5,23,28,17,6,1,14,14
24,2011-02-16,"",Cal State Fullerton,REG (Conf),W,86,71,"",28,50,.560,10,20,.500,18,30,.600,.660,20,25,.800,6,24,30,26,9,5,16,19,25,58,.431,4,9,.444,21,49,.429,.466,17,23,.739,4,18,22,16,6,0,13,21
25,2011-02-19,"",Boise State,REG (Non-Conf),L,76,78,OT,22,50,.440,6,16,.375,16,34,.471,.500,26,33,.788,9,27,36,14,7,9,20,27,21,63,.333,5,19,.263,16,44,.364,.373,31,39,.795,13,21,34,12,10,4,11,24
26,2011-02-24,@,Cal State Northridge,REG (Conf),L,60,68,"",20,55,.364,9,27,.333,11,28,.393,.445,11,14,.786,12,18,30,17,6,3,11,25,17,40,.425,6,13,.462,11,27,.407,.500,28,37,.757,8,22,30,12,7,1,12,17
27,2011-02-26,@,Long Beach State,REG (Conf),L,53,71,"",22,61,.361,4,16,.250,18,45,.400,.393,5,8,.625,6,20,26,9,12,1,13,22,22,55,.400,6,19,.316,16,36,.444,.455,21,28,.750,15,32,47,11,6,2,16,14
28,2011-03-05,"",Cal Poly,REG (Conf),W,49,43,"",17,46,.370,5,18,.278,12,28,.429,.424,10,17,.588,8,33,41,11,5,14,13,17,16,63,.254,4,20,.200,12,43,.279,.286,7,14,.500,15,23,38,5,7,0,7,17
29,2011-03-10,N,Pacific,CTOURN,W,79,67,"",28,49,.571,11,18,.611,17,31,.548,.684,12,14,.857,3,22,25,15,6,2,15,19,20,53,.377,6,20,.300,14,33,.424,.434,21,25,.840,8,17,25,8,6,1,12,14
30,2011-03-11,N,Cal State Northridge,CTOURN,W,83,63,"",19,46,.413,8,18,.444,11,28,.393,.500,37,48,.771,6,35,41,11,9,6,13,20,20,70,.286,7,24,.292,13,46,.283,.336,16,24,.667,15,24,39,5,5,4,12,32
31,2011-03-12,N,Long Beach State,CTOURN,W,64,56,"",26,52,.500,6,12,.500,20,40,.500,.558,6,14,.429,6,30,36,14,1,2,10,20,19,66,.288,4,17,.235,15,49,.306,.318,14,25,.560,18,24,42,6,3,1,7,17
