Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2010-11-12,"",Mississippi Valley State,REG (Non-Conf),W,72,70,"",25,51,.490,3,8,.375,22,43,.512,.520,19,29,.655,8,20,28,16,4,9,15,18,22,58,.379,10,17,.588,12,41,.293,.466,16,18,.889,12,25,37,5,5,0,18,25
2,2010-11-16,"",Colorado,REG (Non-Conf),W,83,74,"",25,53,.472,6,15,.400,19,38,.500,.528,27,43,.628,15,21,36,14,7,3,18,26,22,53,.415,3,14,.214,19,39,.487,.443,27,36,.750,11,21,32,8,8,2,14,30
3,2010-11-20,@,Saint Louis,REG (Non-Conf),W,61,59,"",23,44,.523,3,6,.500,20,38,.526,.557,12,18,.667,7,19,26,12,10,5,17,16,20,44,.455,9,17,.529,11,27,.407,.557,10,16,.625,6,15,21,13,9,5,17,18
4,2010-11-25,N,Notre Dame,REG (Non-Conf),L,83,89,2OT,32,73,.438,9,34,.265,23,39,.590,.500,10,20,.500,11,23,34,19,9,4,12,27,26,57,.456,7,17,.412,19,40,.475,.518,30,43,.698,11,27,38,10,2,1,16,16
5,2010-11-26,N,Temple,REG (Non-Conf),L,58,65,"",21,54,.389,2,9,.222,19,45,.422,.407,14,20,.700,9,20,29,9,7,2,13,19,25,51,.490,5,14,.357,20,37,.541,.539,10,20,.500,7,23,30,13,8,3,13,17
6,2010-11-28,N,Manhattan,REG (Non-Conf),W,61,58,"",27,69,.391,1,12,.083,26,57,.456,.399,6,11,.545,19,27,46,15,6,10,17,12,21,58,.362,4,11,.364,17,47,.362,.397,12,15,.800,9,23,32,10,10,5,15,13
7,2010-12-03,"",UAB,REG (Non-Conf),W,66,64,"",28,56,.500,3,10,.300,25,46,.543,.527,7,9,.778,13,19,32,15,4,5,12,9,25,57,.439,7,17,.412,18,40,.450,.500,7,11,.636,12,11,23,6,7,4,11,11
8,2010-12-07,@,Georgia Tech,REG (Non-Conf),W,73,72,"",27,61,.443,12,22,.545,15,39,.385,.541,7,15,.467,9,19,28,23,8,3,7,16,27,61,.443,8,20,.400,19,41,.463,.508,10,12,.833,11,26,37,13,5,7,14,15
9,2010-12-18,"",Arkansas State,REG (Non-Conf),W,68,59,"",27,52,.519,3,12,.250,24,40,.600,.548,11,17,.647,9,21,30,20,7,7,12,14,21,54,.389,7,21,.333,14,33,.424,.454,10,19,.526,9,12,21,8,4,3,13,15
10,2010-12-21,"",High Point,REG (Non-Conf),W,85,38,"",31,58,.534,7,18,.389,24,40,.600,.595,16,29,.552,12,24,36,16,9,11,6,15,12,58,.207,5,17,.294,7,41,.171,.250,9,14,.643,15,20,35,4,3,0,18,23
