Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2010-11-08,"",UC Irvine,REG (Non-Conf),W,79,65,"",29,58,.500,8,24,.333,21,34,.618,.569,13,23,.565,8,30,38,17,9,8,14,22,22,63,.349,7,20,.350,15,43,.349,.405,14,22,.636,11,26,37,12,7,1,14,21
2,2010-11-10,"",Toledo,REG (Non-Conf),W,84,45,"",37,64,.578,5,18,.278,32,46,.696,.617,5,6,.833,10,28,38,21,10,7,14,18,16,45,.356,3,12,.250,13,33,.394,.389,10,19,.526,3,16,19,9,6,0,23,14
3,2010-11-13,"",Southern Illinois,REG (Non-Conf),W,85,63,"",32,58,.552,6,13,.462,26,45,.578,.603,15,19,.789,7,24,31,22,6,6,16,17,24,64,.375,5,21,.238,19,43,.442,.414,10,14,.714,11,18,29,9,9,3,18,18
4,2010-11-18,N,Texas,REG (Non-Conf),L,84,90,OT,28,73,.384,10,29,.345,18,44,.409,.452,18,28,.643,13,24,37,10,4,7,12,29,31,69,.449,3,12,.250,28,57,.491,.471,25,44,.568,15,22,37,15,6,10,10,18
5,2010-11-19,N,Maryland,REG (Non-Conf),W,80,76,"",28,60,.467,10,19,.526,18,41,.439,.550,14,23,.609,7,19,26,22,8,3,11,19,29,67,.433,5,18,.278,24,49,.490,.470,13,18,.722,15,24,39,15,5,4,16,22
6,2010-11-23,"",Yale,REG (Non-Conf),W,73,47,"",31,63,.492,4,11,.364,27,52,.519,.524,7,14,.500,11,26,37,17,10,4,16,16,14,49,.286,4,20,.200,10,29,.345,.327,15,18,.833,7,21,28,8,7,1,21,16
7,2010-11-27,@,Western Michigan,REG (Non-Conf),W,78,63,"",33,64,.516,4,13,.308,29,51,.569,.547,8,10,.800,15,21,36,19,5,6,10,14,24,55,.436,7,23,.304,17,32,.531,.500,8,11,.727,9,13,22,13,6,3,14,11
8,2010-11-30,"",North Carolina,REG (Non-Conf),W,79,67,"",32,63,.508,8,12,.667,24,51,.471,.571,7,9,.778,7,24,31,19,10,2,14,17,27,58,.466,5,15,.333,22,43,.512,.509,8,17,.471,9,24,33,15,6,1,18,15
9,2010-12-04,N,Gonzaga,REG (Non-Conf),W,73,61,"",24,54,.444,12,23,.522,12,31,.387,.556,13,16,.813,7,17,24,14,4,6,6,17,24,59,.407,3,16,.188,21,43,.488,.432,10,16,.625,13,22,35,12,0,1,11,19
10,2010-12-08,"",Oakland,REG (Non-Conf),W,74,63,"",25,58,.431,8,18,.444,17,40,.425,.500,16,23,.696,12,21,33,12,6,6,11,18,23,65,.354,5,26,.192,18,39,.462,.392,12,16,.750,19,21,40,7,3,5,15,19
11,2010-12-12,"",Northern Colorado,REG (Non-Conf),W,86,76,"",30,62,.484,10,22,.455,20,40,.500,.565,16,20,.800,12,17,29,20,7,4,15,13,25,52,.481,12,24,.500,13,28,.464,.596,14,16,.875,9,18,27,13,6,2,24,20
12,2010-12-18,N,IllinoisâChicago,REG (Non-Conf),L,54,57,"",18,55,.327,4,17,.235,14,38,.368,.364,14,19,.737,13,18,31,15,8,7,15,19,20,44,.455,7,15,.467,13,29,.448,.534,10,19,.526,10,24,34,14,6,5,19,18
13,2010-12-22,N,Missouri,REG (Non-Conf),L,64,75,"",27,70,.386,5,18,.278,22,52,.423,.421,5,12,.417,18,26,44,16,2,6,12,21,26,59,.441,4,12,.333,22,47,.468,.475,19,26,.731,7,25,32,18,7,4,10,16
14,2010-12-29,@,Iowa,REG (Conf),W,87,77,"",32,48,.667,13,18,.722,19,30,.633,.802,10,13,.769,6,21,27,20,4,3,17,17,30,64,.469,9,24,.375,21,40,.525,.539,8,15,.533,13,12,25,13,7,0,13,16
15,2011-01-02,"",Wisconsin,REG (Conf),W,69,61,"",23,41,.561,6,12,.500,17,29,.586,.634,17,22,.773,5,26,31,14,2,3,12,15,21,60,.350,10,35,.286,11,25,.440,.433,9,12,.750,11,13,24,13,3,2,3,20
16,2011-01-06,"",Northwestern,REG (Conf),W,88,63,"",31,44,.705,9,14,.643,22,30,.733,.807,17,25,.680,2,31,33,25,4,3,22,13,23,67,.343,9,38,.237,14,29,.483,.410,8,10,.800,6,10,16,12,13,2,9,18
17,2011-01-11,@,Penn State,REG (Conf),L,55,57,"",19,46,.413,7,16,.438,12,30,.400,.489,10,11,.909,4,23,27,12,4,6,15,13,18,52,.346,7,24,.292,11,28,.393,.413,14,14,1.000,10,23,33,12,9,3,9,12
18,2011-01-15,@,Wisconsin,REG (Conf),L,66,76,"",16,53,.302,4,16,.250,12,37,.324,.340,30,36,.833,14,18,32,9,3,1,7,30,18,46,.391,6,20,.300,12,26,.462,.457,34,41,.829,11,21,32,7,1,4,7,24
19,2011-01-18,"",Michigan State,REG (Conf),W,71,62,"",25,47,.532,8,17,.471,17,30,.567,.617,13,19,.684,7,21,28,17,4,1,9,12,24,64,.375,7,26,.269,17,38,.447,.430,7,9,.778,17,17,34,12,4,2,9,22
20,2011-01-22,"",Ohio State,REG (Conf),L,68,73,"",28,65,.431,4,17,.235,24,48,.500,.462,8,10,.800,9,23,32,17,3,4,9,21,21,53,.396,7,15,.467,14,38,.368,.462,24,27,.889,8,21,29,12,3,4,7,14
21,2011-01-27,@,Indiana,REG (Conf),L,49,52,"",19,59,.322,5,20,.250,14,39,.359,.364,6,8,.750,13,21,34,11,6,7,12,14,18,48,.375,5,15,.333,13,33,.394,.427,11,11,1.000,8,20,28,6,5,4,13,13
22,2011-02-01,"",Penn State,REG (Conf),W,68,51,"",24,52,.462,6,19,.316,18,33,.545,.519,14,18,.778,9,25,34,21,2,6,7,18,17,51,.333,2,17,.118,15,34,.441,.353,15,21,.714,7,20,27,9,3,0,6,14
23,2011-02-05,@,Northwestern,REG (Conf),L,70,71,"",25,51,.490,8,14,.571,17,37,.459,.569,12,16,.750,5,22,27,17,7,5,13,20,23,48,.479,9,21,.429,14,27,.519,.573,16,22,.727,5,18,23,16,7,4,10,17
24,2011-02-10,@,Minnesota,REG (Conf),W,71,62,"",22,56,.393,4,16,.250,18,40,.450,.429,23,27,.852,7,26,33,14,11,4,12,16,24,66,.364,4,15,.267,20,51,.392,.394,10,17,.588,15,25,40,14,7,7,16,18
25,2011-02-13,"",Purdue,REG (Conf),L,70,81,"",24,55,.436,5,16,.313,19,39,.487,.482,17,22,.773,4,21,25,11,8,2,14,25,25,60,.417,7,20,.350,18,40,.450,.475,24,31,.774,11,26,37,14,5,3,11,21
26,2011-02-16,"",Michigan,REG (Conf),W,54,52,"",23,52,.442,4,18,.222,19,34,.559,.481,4,9,.444,7,28,35,17,1,2,12,12,22,59,.373,2,18,.111,20,41,.488,.390,6,10,.600,7,24,31,15,5,0,4,11
27,2011-02-19,@,Michigan State,REG (Conf),L,57,61,"",22,59,.373,5,19,.263,17,40,.425,.415,8,10,.800,9,16,25,13,9,6,9,19,21,50,.420,3,15,.200,18,35,.514,.450,16,23,.696,11,26,37,12,3,6,11,12
28,2011-02-22,@,Ohio State,REG (Conf),L,70,89,"",28,54,.519,11,21,.524,17,33,.515,.620,3,3,1.000,9,19,28,18,1,8,16,14,35,66,.530,7,15,.467,28,51,.549,.583,12,15,.800,12,17,29,11,9,1,3,9
29,2011-02-26,"",Iowa,REG (Conf),W,81,68,"",31,56,.554,6,18,.333,25,38,.658,.607,13,18,.722,9,21,30,21,7,2,13,16,24,59,.407,5,17,.294,19,42,.452,.449,15,18,.833,11,15,26,15,5,3,14,13
30,2011-03-01,@,Purdue,REG (Conf),L,67,75,"",27,54,.500,5,15,.333,22,39,.564,.546,8,11,.727,5,26,31,18,1,3,13,20,25,58,.431,11,26,.423,14,32,.438,.526,14,19,.737,8,22,30,16,5,4,7,15
31,2011-03-05,"",Indiana,REG (Conf),W,72,48,"",28,57,.491,6,17,.353,22,40,.550,.544,10,13,.769,7,33,40,16,5,5,10,13,18,57,.316,3,17,.176,15,40,.375,.342,9,11,.818,7,18,25,6,3,2,10,13
32,2011-03-11,N,Michigan,CTOURN,L,55,60,"",22,52,.423,9,26,.346,13,26,.500,.510,2,3,.667,6,20,26,16,7,5,11,14,20,48,.417,11,24,.458,9,24,.375,.531,9,11,.818,6,19,25,13,7,2,10,15
