Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2010-11-12,"",Centenary (LA),REG (Non-Conf),W,104,40,"",33,60,.550,14,27,.519,19,33,.576,.667,24,33,.727,9,31,40,25,18,6,13,22,12,46,.261,2,15,.133,10,31,.323,.283,14,22,.636,6,20,26,8,5,2,28,24
2,2010-11-15,"",Miami (FL),REG (Non-Conf),W,72,68,"",19,56,.339,4,22,.182,15,34,.441,.375,30,39,.769,11,16,27,10,10,6,12,29,20,61,.328,3,19,.158,17,42,.405,.352,25,36,.694,20,26,46,5,5,5,18,29
3,2010-11-17,"",Northwestern State,REG (Non-Conf),W,94,79,"",29,59,.492,7,19,.368,22,40,.550,.551,29,35,.829,16,22,38,16,10,2,19,18,30,70,.429,8,21,.381,22,49,.449,.486,11,13,.846,15,10,25,12,11,8,16,25
4,2010-11-21,N,Louisiana State,REG (Non-Conf),W,70,61,"",23,49,.469,7,19,.368,16,30,.533,.541,17,28,.607,5,25,30,9,7,5,16,27,18,52,.346,5,15,.333,13,37,.351,.394,20,29,.690,7,23,30,13,7,4,13,27
5,2010-11-23,"",UT Martin,REG (Non-Conf),W,102,80,"",38,74,.514,8,31,.258,30,43,.698,.568,18,27,.667,12,27,39,29,11,5,14,22,29,59,.492,8,17,.471,21,42,.500,.559,14,21,.667,8,22,30,11,8,3,19,24
6,2010-12-01,"",Arkansas State,REG (Non-Conf),W,78,71,OT,25,58,.431,8,25,.320,17,33,.515,.500,20,25,.800,9,26,35,15,10,5,17,18,26,67,.388,5,18,.278,21,49,.429,.425,14,18,.778,12,22,34,14,10,2,15,23
7,2010-12-04,"",Western Kentucky,REG (Non-Conf),W,77,61,"",28,58,.483,4,13,.308,24,45,.533,.517,17,26,.654,14,25,39,17,11,12,21,26,22,70,.314,4,18,.222,18,52,.346,.343,13,22,.591,21,18,39,7,9,2,19,20
8,2010-12-07,N,Kansas,REG (Non-Conf),L,68,81,"",27,73,.370,6,19,.316,21,54,.389,.411,8,11,.727,11,15,26,10,14,3,12,18,32,56,.571,6,11,.545,26,45,.578,.625,11,19,.579,9,30,39,19,8,6,20,14
9,2010-12-16,"",Austin Peay,REG (Non-Conf),W,70,68,OT,23,56,.411,9,20,.450,14,36,.389,.491,15,30,.500,6,30,36,18,12,9,24,20,23,74,.311,8,24,.333,15,50,.300,.365,14,19,.737,19,27,46,10,15,8,20,20
10,2010-12-20,"",Texas A&MâCorpus Christi,REG (Non-Conf),W,68,63,"",21,53,.396,5,16,.313,16,37,.432,.443,21,27,.778,11,27,38,12,9,6,13,15,25,60,.417,7,21,.333,18,39,.462,.475,6,11,.545,9,21,30,19,9,4,13,23
11,2010-12-23,"",Georgetown,REG (Non-Conf),L,69,86,"",26,66,.394,6,19,.316,20,47,.426,.439,11,14,.786,13,18,31,15,8,5,14,18,33,58,.569,5,11,.455,28,47,.596,.612,15,23,.652,7,24,31,18,8,9,11,18
12,2010-12-30,"",Lipscomb,REG (Non-Conf),W,88,70,"",34,63,.540,11,22,.500,23,41,.561,.627,9,14,.643,19,21,40,21,7,5,18,14,29,63,.460,4,21,.190,25,42,.595,.492,8,11,.727,12,10,22,19,9,4,14,16
13,2011-01-02,"",Tennessee State,REG (Non-Conf),W,91,86,"",33,62,.532,7,19,.368,26,43,.605,.589,18,26,.692,15,16,31,25,4,4,11,16,27,54,.500,12,24,.500,15,30,.500,.611,20,23,.870,10,15,25,15,8,4,12,22
14,2011-01-05,@,Tennessee,REG (Non-Conf),L,84,104,"",30,65,.462,10,22,.455,20,43,.465,.538,14,26,.538,8,22,30,16,8,7,16,23,36,67,.537,12,21,.571,24,46,.522,.627,20,30,.667,13,28,41,25,5,8,12,19
15,2011-01-08,"",East Carolina,REG (Conf),W,61,58,"",20,49,.408,2,13,.154,18,36,.500,.429,19,32,.594,14,17,31,9,9,4,20,22,18,48,.375,8,21,.381,10,27,.370,.458,14,22,.636,12,17,29,11,5,2,20,26
16,2011-01-12,@,SMU,REG (Conf),L,58,64,"",25,53,.472,5,13,.385,20,40,.500,.519,3,13,.231,14,19,33,8,7,1,18,23,20,42,.476,9,16,.563,11,26,.423,.583,15,22,.682,5,17,22,10,7,1,15,16
17,2011-01-15,"",Marshall,REG (Conf),W,77,61,"",29,57,.509,3,9,.333,26,48,.542,.535,16,22,.727,12,25,37,20,11,4,14,23,20,54,.370,4,18,.222,16,36,.444,.407,17,26,.654,10,17,27,9,9,4,16,20
