Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2010-11-12,@,West Virginia,REG (Non-Conf),L,71,95,"",25,65,.385,4,15,.267,21,50,.420,.415,17,22,.773,18,17,35,14,6,2,18,25,32,63,.508,12,29,.414,20,34,.588,.603,19,24,.792,16,20,36,20,10,8,13,20
2,2010-11-15,@,Ohio,REG (Non-Conf),W,78,66,"",23,50,.460,5,18,.278,18,32,.563,.510,27,35,.771,9,32,41,13,5,6,17,23,23,68,.338,10,28,.357,13,40,.325,.412,10,22,.455,17,15,32,15,8,0,14,32
3,2010-11-21,@,Purdue,REG (Non-Conf),L,67,82,"",25,57,.439,7,17,.412,18,40,.450,.500,10,14,.714,13,18,31,15,4,3,21,15,33,65,.508,11,25,.440,22,40,.550,.592,5,9,.556,11,15,26,22,14,4,13,16
4,2010-11-23,@,Wright State,REG (Non-Conf),L,79,82,"",27,54,.500,7,18,.389,20,36,.556,.565,18,23,.783,4,22,26,14,4,7,15,23,25,58,.431,11,23,.478,14,35,.400,.526,21,21,1.000,9,24,33,13,4,1,15,23
5,2010-11-26,N,Southern,REG (Non-Conf),W,105,53,"",35,76,.461,10,28,.357,25,48,.521,.526,25,29,.862,24,28,52,23,11,4,8,15,18,55,.327,4,16,.250,14,39,.359,.364,13,13,1.000,5,14,19,10,6,6,19,22
6,2010-11-27,N,Austin Peay,REG (Non-Conf),W,78,70,OT,28,62,.452,5,20,.250,23,42,.548,.492,17,25,.680,13,30,43,20,5,7,20,20,25,67,.373,5,18,.278,20,49,.408,.410,15,22,.682,11,21,32,15,14,4,15,22
7,2010-12-02,"",Southern Utah,REG (Conf),W,81,65,"",32,61,.525,7,21,.333,25,40,.625,.582,10,14,.714,11,22,33,22,10,7,14,17,24,55,.436,5,7,.714,19,48,.396,.482,12,19,.632,8,17,25,16,7,2,16,14
8,2010-12-04,"",Kansas City,REG (Conf),W,99,62,"",34,59,.576,5,16,.313,29,43,.674,.619,26,38,.684,12,33,45,15,6,6,13,20,22,63,.349,6,25,.240,16,38,.421,.397,12,20,.600,9,18,27,7,4,2,13,29
9,2010-12-08,@,Illinois,REG (Non-Conf),L,63,74,"",23,65,.354,5,26,.192,18,39,.462,.392,12,16,.750,19,21,40,7,3,5,15,19,25,58,.431,8,18,.444,17,40,.425,.500,16,23,.696,12,21,33,12,6,6,11,18
10,2010-12-11,N,Michigan State,REG (Non-Conf),L,76,77,"",28,59,.475,9,19,.474,19,40,.475,.551,11,20,.550,9,21,30,10,0,7,13,19,25,62,.403,6,15,.400,19,47,.404,.452,21,28,.750,11,25,36,16,13,2,8,16
