Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2010-11-13,"",UC Irvine,REG (Non-Conf),W,62,49,"",19,55,.345,7,22,.318,12,33,.364,.409,17,21,.810,15,29,44,9,4,4,14,12,18,52,.346,5,20,.250,13,32,.406,.394,8,11,.727,4,22,26,6,5,1,11,19
2,2010-11-15,"",Santa Clara,REG (Non-Conf),W,86,73,"",31,54,.574,6,11,.545,25,43,.581,.630,18,26,.692,8,22,30,7,2,2,8,13,27,62,.435,9,25,.360,18,37,.486,.508,10,14,.714,10,18,28,12,4,2,11,23
3,2010-11-17,"",Rider,REG (Non-Conf),L,57,77,"",23,61,.377,1,15,.067,22,46,.478,.385,10,20,.500,15,13,28,6,7,1,13,15,27,45,.600,12,19,.632,15,26,.577,.733,11,15,.733,5,21,26,14,3,1,14,15
4,2010-11-20,N,Bradley,REG (Non-Conf),L,63,64,"",24,57,.421,8,21,.381,16,36,.444,.491,7,13,.538,11,23,34,17,6,2,21,18,22,53,.415,8,19,.421,14,34,.412,.491,12,19,.632,4,19,23,12,6,2,18,17
5,2010-11-21,N,New Mexico State,REG (Non-Conf),W,80,61,"",29,58,.500,7,17,.412,22,41,.537,.560,15,22,.682,7,21,28,16,11,2,12,18,20,56,.357,4,14,.286,16,42,.381,.393,17,22,.773,9,24,33,12,5,4,18,20
6,2010-11-24,"",Cal State Fullerton,REG (Non-Conf),W,81,54,"",29,55,.527,6,12,.500,23,43,.535,.582,17,24,.708,9,31,40,14,8,3,16,12,20,57,.351,5,23,.217,15,34,.441,.395,9,14,.643,5,21,26,9,9,1,16,21
7,2010-11-27,@,Nebraska,REG (Non-Conf),L,58,60,"",25,59,.424,6,19,.316,19,40,.475,.475,2,2,1.000,10,21,31,8,7,4,14,17,24,48,.500,6,15,.400,18,33,.545,.563,6,11,.545,6,20,26,12,7,5,13,12
8,2010-11-29,@,TCU,REG (Non-Conf),L,69,81,"",27,60,.450,4,17,.235,23,43,.535,.483,11,23,.478,9,20,29,15,7,1,10,19,30,59,.508,5,19,.263,25,40,.625,.551,16,20,.800,11,28,39,15,6,3,13,23
9,2010-12-05,"",Texas,REG (Non-Conf),W,73,56,"",23,47,.489,4,10,.400,19,37,.514,.532,23,29,.793,6,27,33,10,2,4,10,16,18,56,.321,4,15,.267,14,41,.341,.357,16,20,.800,7,20,27,10,3,2,7,19
10,2010-12-11,"",Northern Arizona,REG (Non-Conf),W,60,52,"",21,53,.396,7,19,.368,14,34,.412,.462,11,15,.733,11,24,35,11,4,8,8,6,20,55,.364,8,19,.421,12,36,.333,.436,4,7,.571,5,19,24,10,2,3,6,16
11,2010-12-18,@,Kansas,REG (Non-Conf),L,68,70,"",23,51,.451,7,15,.467,16,36,.444,.520,15,21,.714,6,23,29,12,8,3,16,22,21,54,.389,7,18,.389,14,36,.389,.454,21,31,.677,13,25,38,12,9,3,13,18
12,2010-12-21,@,Tennessee,REG (Non-Conf),W,65,64,"",25,53,.472,9,21,.429,16,32,.500,.557,6,9,.667,6,14,20,18,11,1,13,23,18,47,.383,4,15,.267,14,32,.438,.426,24,29,.828,13,24,37,11,7,3,18,12
13,2010-12-23,"",Lehigh,REG (Non-Conf),W,76,49,"",28,58,.483,9,16,.563,19,42,.452,.560,11,18,.611,8,27,35,15,7,8,9,13,17,54,.315,4,18,.222,13,36,.361,.352,11,19,.579,6,24,30,5,3,6,12,11
14,2010-12-29,"",Washington,REG (Conf),L,67,73,OT,19,55,.345,5,21,.238,14,34,.412,.391,24,32,.750,7,19,26,10,9,2,10,22,22,55,.400,7,19,.368,15,36,.417,.464,22,31,.710,12,28,40,7,3,3,17,27
15,2010-12-31,"",Washington State,REG (Conf),W,60,56,"",21,51,.412,7,19,.368,14,32,.438,.480,11,17,.647,7,27,34,10,4,1,8,11,22,60,.367,6,17,.353,16,43,.372,.417,6,7,.857,6,21,27,5,4,3,8,11
16,2011-01-09,"",UCLA,REG (Conf),W,63,52,"",25,54,.463,5,16,.313,20,38,.526,.509,8,16,.500,9,23,32,11,9,1,10,16,19,48,.396,2,9,.222,17,39,.436,.417,12,16,.750,5,23,28,8,4,2,16,18
17,2011-01-13,@,Oregon,REG (Conf),L,62,68,"",22,53,.415,6,18,.333,16,35,.457,.472,12,14,.857,11,19,30,9,5,3,14,18,23,55,.418,7,21,.333,16,34,.471,.482,13,19,.684,11,18,29,10,8,1,12,18
18,2011-01-15,@,Oregon State,REG (Conf),L,76,80,"",31,68,.456,7,21,.333,24,47,.511,.507,7,13,.538,13,14,27,9,6,3,8,25,24,43,.558,5,15,.333,19,28,.679,.616,27,39,.692,7,22,29,11,6,5,13,15
19,2011-01-20,"",Stanford,REG (Conf),W,65,42,"",25,45,.556,7,14,.500,18,31,.581,.633,8,15,.533,7,31,38,12,5,8,16,18,14,63,.222,3,18,.167,11,45,.244,.246,11,15,.733,14,18,32,4,6,1,10,14
20,2011-01-22,"",California,REG (Conf),L,66,68,"",23,57,.404,11,26,.423,12,31,.387,.500,9,15,.600,9,21,30,14,3,3,11,22,23,51,.451,5,9,.556,18,42,.429,.500,17,28,.607,7,22,29,10,7,1,8,15
21,2011-01-27,@,Arizona State,REG (Conf),W,63,61,"",24,50,.480,6,15,.400,18,35,.514,.540,9,16,.563,8,24,32,20,8,0,14,19,20,44,.455,9,19,.474,11,25,.440,.557,12,25,.480,4,19,23,15,6,8,12,16
22,2011-01-29,@,Arizona,REG (Conf),L,73,82,"",27,58,.466,6,19,.316,21,39,.538,.517,13,25,.520,10,17,27,14,7,0,8,15,30,49,.612,10,19,.526,20,30,.667,.714,12,19,.632,5,26,31,15,3,1,12,19
23,2011-02-02,@,UCLA,REG (Conf),L,50,64,"",20,51,.392,1,9,.111,19,42,.452,.402,9,17,.529,8,16,24,11,6,2,5,14,24,50,.480,4,12,.333,20,38,.526,.520,12,18,.667,11,27,38,17,2,6,8,15
24,2011-02-10,"",Oregon State,REG (Conf),W,67,56,"",21,54,.389,8,23,.348,13,31,.419,.463,17,21,.810,11,21,32,13,5,6,14,18,19,47,.404,1,11,.091,18,36,.500,.415,17,25,.680,5,23,28,9,9,4,19,19
25,2011-02-12,"",Oregon,REG (Conf),L,51,61,"",21,57,.368,3,19,.158,18,38,.474,.395,6,12,.500,11,17,28,15,5,2,12,14,23,55,.418,9,21,.429,14,34,.412,.500,6,8,.750,9,25,34,9,7,1,12,16
26,2011-02-17,@,California,REG (Conf),W,78,75,"",27,57,.474,8,13,.615,19,44,.432,.544,16,26,.615,8,23,31,15,3,2,5,20,25,58,.431,5,15,.333,20,43,.465,.474,20,24,.833,9,28,37,13,2,1,7,21
27,2011-02-19,@,Stanford,REG (Conf),W,69,53,"",25,47,.532,8,14,.571,17,33,.515,.617,11,22,.500,3,25,28,12,5,5,8,18,19,57,.333,3,17,.176,16,40,.400,.360,12,19,.632,12,24,36,10,3,2,11,20
28,2011-02-24,"",Arizona,REG (Conf),W,65,57,"",21,50,.420,1,10,.100,20,40,.500,.430,22,27,.815,6,27,33,4,6,3,8,16,19,53,.358,6,19,.316,13,34,.382,.415,13,18,.722,6,26,32,2,1,3,10,23
29,2011-02-26,"",Arizona State,REG (Conf),W,62,46,"",20,47,.426,7,23,.304,13,24,.542,.500,15,24,.625,9,24,33,14,4,4,6,17,15,49,.306,3,14,.214,12,35,.343,.337,13,18,.722,11,21,32,4,2,3,8,20
30,2011-03-03,@,Washington State,REG (Conf),L,77,85,"",28,62,.452,10,23,.435,18,39,.462,.532,11,16,.688,12,15,27,12,3,2,11,24,29,53,.547,4,10,.400,25,43,.581,.585,23,30,.767,6,23,29,12,7,3,9,15
31,2011-03-05,@,Washington,REG (Conf),W,62,60,"",20,48,.417,3,15,.200,17,33,.515,.448,19,25,.760,10,26,36,6,6,0,11,21,21,53,.396,2,16,.125,19,37,.514,.415,16,22,.727,6,19,25,8,6,6,7,16
32,2011-03-10,N,California,CTOURN,W,70,56,"",25,56,.446,8,17,.471,17,39,.436,.518,12,18,.667,8,25,33,14,8,4,15,18,23,54,.426,2,7,.286,21,47,.447,.444,8,9,.889,5,24,29,9,6,5,16,18
33,2011-03-11,N,Arizona,CTOURN,L,62,67,"",26,53,.491,5,18,.278,21,35,.600,.538,5,9,.556,9,19,28,15,6,4,8,17,24,55,.436,8,19,.421,16,36,.444,.509,11,16,.688,9,18,27,13,2,1,7,12
