Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2010-11-12,@,Minnesota,REG (Non-Conf),L,55,69,"",18,49,.367,3,16,.188,15,33,.455,.398,16,26,.615,6,23,29,10,9,2,15,22,25,56,.446,3,15,.200,22,41,.537,.473,16,25,.640,13,28,41,17,10,6,13,18
2,2010-11-15,@,Clemson,REG (Non-Conf),L,70,78,"",22,46,.478,6,14,.429,16,32,.500,.543,20,26,.769,6,16,22,13,4,2,17,26,26,50,.520,4,11,.364,22,39,.564,.560,22,30,.733,9,19,28,12,9,3,12,25
3,2010-11-18,N,USC Upstate,REG (Non-Conf),W,79,61,"",32,56,.571,8,16,.500,24,40,.600,.643,7,12,.583,7,27,34,25,6,3,12,22,19,61,.311,8,23,.348,11,38,.289,.377,15,27,.556,16,20,36,8,4,2,12,21
4,2010-11-19,N,Georgetown,REG (Non-Conf),L,59,74,"",17,50,.340,8,21,.381,9,29,.310,.420,17,22,.773,5,11,16,10,6,4,11,22,24,42,.571,5,8,.625,19,34,.559,.631,21,27,.778,7,25,32,11,7,5,14,20
5,2010-11-21,N,George Mason,REG (Non-Conf),W,82,79,OT,29,63,.460,5,16,.313,24,47,.511,.500,19,29,.655,8,13,21,14,11,2,4,21,29,63,.460,5,15,.333,24,48,.500,.500,16,24,.667,20,26,46,13,2,5,17,23
6,2010-11-24,"",Air Force,REG (Non-Conf),L,66,72,OT,23,68,.338,8,25,.320,15,43,.349,.397,12,21,.571,21,24,45,13,8,3,18,21,24,47,.511,6,12,.500,18,35,.514,.574,18,29,.621,2,21,23,13,13,1,15,18
7,2010-11-27,@,Xavier,REG (Non-Conf),L,90,94,3OT,34,73,.466,6,18,.333,28,55,.509,.507,16,20,.800,9,19,28,25,7,3,11,30,30,61,.492,4,12,.333,26,49,.531,.525,30,40,.750,16,31,47,16,2,11,16,22
8,2010-12-02,"",UNC Greensboro,REG (Conf),W,92,70,"",32,59,.542,13,22,.591,19,37,.514,.653,15,18,.833,13,22,35,25,7,3,14,20,25,55,.455,4,11,.364,21,44,.477,.491,16,29,.552,9,15,24,8,9,2,13,19
9,2010-12-04,@,Elon,REG (Conf),W,75,69,"",25,56,.446,1,7,.143,24,49,.490,.455,24,32,.750,11,19,30,12,7,1,11,24,22,48,.458,5,22,.227,17,26,.654,.510,20,25,.800,5,21,26,11,2,6,14,25
10,2010-12-11,@,South Carolina,REG (Non-Conf),L,53,64,"",17,52,.327,5,15,.333,12,37,.324,.375,14,20,.700,10,18,28,13,8,1,17,17,24,49,.490,5,15,.333,19,34,.559,.541,11,17,.647,7,28,35,11,7,5,19,21
11,2010-12-18,"",High Point,REG (Non-Conf),W,79,65,"",27,41,.659,7,10,.700,20,31,.645,.744,18,28,.643,4,17,21,19,7,1,21,20,23,49,.469,3,8,.375,20,41,.488,.500,16,20,.800,7,13,20,7,7,2,19,24
12,2010-12-29,@,VCU,REG (Non-Conf),L,66,75,"",23,49,.469,7,13,.538,16,36,.444,.541,13,20,.650,8,21,29,15,5,0,14,17,25,52,.481,11,23,.478,14,29,.483,.587,14,20,.700,9,17,26,17,10,3,10,18
13,2010-12-30,N,Cornell,REG (Non-Conf),L,80,86,"",30,54,.556,7,15,.467,23,39,.590,.620,13,15,.867,8,13,21,18,6,2,10,19,30,47,.638,15,21,.714,15,26,.577,.798,11,21,.524,6,16,22,20,5,1,11,15
14,2011-01-06,"",The Citadel,REG (Conf),W,78,60,"",27,55,.491,4,17,.235,23,38,.605,.527,20,27,.741,9,19,28,9,9,1,7,17,22,58,.379,1,14,.071,21,44,.477,.388,15,19,.789,17,18,35,7,3,1,16,19
15,2011-01-08,"",College of Charleston,REG (Conf),L,73,77,"",24,54,.444,3,13,.231,21,41,.512,.472,22,29,.759,8,16,24,13,2,0,8,16,27,53,.509,7,16,.438,20,37,.541,.575,16,21,.762,8,21,29,9,2,3,10,18
16,2011-01-12,@,Georgia Southern,REG (Conf),W,74,65,"",24,41,.585,5,11,.455,19,30,.633,.646,21,27,.778,8,16,24,12,10,4,13,15,24,49,.490,7,12,.583,17,37,.459,.561,10,12,.833,8,8,16,11,11,0,14,18
