Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2011-11-11,"","",REG (Non-Conf),W,111,64,"",37,76,.487,11,36,.306,26,40,.650,.559,26,36,.722,20,29,49,23,12,3,9,16,24,54,.444,6,14,.429,18,40,.450,.500,10,18,.556,5,21,26,9,4,1,21,29
2,2011-11-14,"",Richmond,REG (Non-Conf),W,74,61,"",21,52,.404,6,16,.375,15,36,.417,.462,26,30,.867,10,23,33,10,6,4,15,25,16,46,.348,2,10,.200,14,36,.389,.370,27,33,.818,4,18,22,7,10,3,13,26
3,2011-11-18,@,Duke,REG (Non-Conf),L,69,82,"",24,62,.387,7,20,.350,17,42,.405,.444,14,14,1.000,11,21,32,11,6,1,17,22,29,54,.537,5,13,.385,24,41,.585,.583,19,30,.633,8,25,33,10,9,4,12,17
4,2011-11-21,"",Presbyterian,REG (Non-Conf),W,68,54,"",25,52,.481,4,17,.235,21,35,.600,.519,14,19,.737,9,23,32,7,5,3,13,17,20,51,.392,3,14,.214,17,37,.459,.422,11,15,.733,8,17,25,11,5,2,13,18
5,2011-11-26,@,UNC Wilmington,REG (Non-Conf),W,70,67,"",25,61,.410,7,24,.292,18,37,.486,.467,13,20,.650,12,20,32,11,6,3,11,22,24,48,.500,0,3,.000,24,45,.533,.500,19,29,.655,8,28,36,7,5,9,15,19
6,2011-12-01,@,Wofford,REG (Conf),W,72,69,"",24,51,.471,5,18,.278,19,33,.576,.520,19,24,.792,10,16,26,9,6,4,12,16,29,55,.527,4,12,.333,25,43,.581,.564,7,12,.583,5,15,20,15,7,4,10,19
7,2011-12-03,"",Furman,REG (Conf),W,86,65,"",27,51,.529,7,19,.368,20,32,.625,.598,25,29,.862,8,23,31,10,6,3,14,18,22,59,.373,5,18,.278,17,41,.415,.415,16,22,.727,12,16,28,7,1,1,14,25
8,2011-12-07,"",Vanderbilt,REG (Non-Conf),L,83,87,"",27,61,.443,5,22,.227,22,39,.564,.484,24,30,.800,10,20,30,15,8,3,10,22,30,62,.484,7,15,.467,23,47,.489,.540,20,26,.769,12,19,31,8,4,6,15,27
9,2011-12-10,@,Charlotte,REG (Non-Conf),L,61,84,"",21,59,.356,8,24,.333,13,35,.371,.424,11,12,.917,11,24,35,12,4,1,19,21,29,56,.518,9,23,.391,20,33,.606,.598,17,25,.680,6,24,30,16,13,5,12,14
10,2011-12-19,N,Kansas,REG (Non-Conf),W,80,74,"",25,61,.410,11,33,.333,14,28,.500,.500,19,25,.760,9,25,34,14,7,2,12,24,25,62,.403,6,23,.261,19,39,.487,.452,18,31,.581,13,28,41,15,9,3,14,20
