Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2011-11-12,"",Idaho,REG (Non-Conf),W,69,61,"",26,60,.433,6,20,.300,20,40,.500,.483,11,17,.647,12,19,31,17,6,2,9,18,23,48,.479,5,9,.556,18,39,.462,.531,10,16,.625,9,18,27,12,3,1,14,18
2,2011-11-16,@,Pittsburgh,REG (Non-Conf),W,86,76,"",32,54,.593,7,18,.389,25,36,.694,.657,15,23,.652,8,18,26,24,6,2,10,16,27,58,.466,9,20,.450,18,38,.474,.543,13,14,.929,11,14,25,17,5,2,12,20
3,2011-11-19,@,San Diego State,REG (Non-Conf),L,73,77,OT,22,53,.415,4,14,.286,18,39,.462,.453,25,32,.781,9,30,39,12,4,6,23,26,28,68,.412,4,17,.235,24,51,.471,.441,17,27,.630,15,19,34,12,9,6,15,21
4,2011-11-22,"",Boise State,REG (Non-Conf),W,72,62,"",27,55,.491,6,16,.375,21,39,.538,.545,12,17,.706,9,28,37,17,6,3,15,22,17,54,.315,8,27,.296,9,27,.333,.389,20,27,.741,11,19,30,13,7,0,14,20
5,2011-11-26,@,Montana,REG (Non-Conf),L,71,73,"",19,47,.404,5,16,.313,14,31,.452,.457,28,36,.778,7,20,27,9,8,3,12,21,26,51,.510,5,15,.333,21,36,.583,.559,16,23,.696,9,22,31,14,4,4,15,25
6,2011-11-28,@,Louisville,REG (Non-Conf),L,66,79,"",25,55,.455,3,11,.273,22,44,.500,.482,13,18,.722,12,24,36,17,4,3,21,22,26,57,.456,7,17,.412,19,40,.475,.518,20,26,.769,11,20,31,16,14,2,11,20
7,2011-12-02,"","",REG (Non-Conf),W,79,43,"",29,54,.537,6,15,.400,23,39,.590,.593,15,20,.750,12,22,34,12,15,0,11,10,17,48,.354,3,16,.188,14,32,.438,.385,6,9,.667,8,16,24,7,5,2,23,15
8,2011-12-06,@,Kansas,REG (Non-Conf),L,80,88,"",22,53,.415,8,19,.421,14,34,.412,.491,28,37,.757,5,19,24,12,15,4,14,22,32,59,.542,6,13,.462,26,46,.565,.593,18,24,.750,9,27,36,16,3,12,22,25
9,2011-12-10,@,North Carolina,REG (Non-Conf),L,78,84,"",33,70,.471,7,21,.333,26,49,.531,.521,5,8,.625,11,22,33,16,7,1,15,14,35,68,.515,6,16,.375,29,52,.558,.559,8,10,.800,7,26,33,28,9,6,12,13
10,2011-12-19,"","",REG (Non-Conf),W,76,54,"",30,58,.517,6,15,.400,24,43,.558,.569,10,18,.556,12,23,35,13,10,5,15,10,23,52,.442,6,20,.300,17,32,.531,.500,2,5,.400,6,18,24,7,8,3,19,17
11,2011-12-22,N,Xavier,REG (Non-Conf),W,68,58,"",23,49,.469,7,19,.368,16,30,.533,.541,15,28,.536,8,20,28,13,6,2,11,17,23,51,.451,3,12,.250,20,39,.513,.480,9,13,.692,8,16,24,9,6,3,15,18
12,2011-12-23,N,Auburn,REG (Non-Conf),W,64,43,"",20,47,.426,5,15,.333,15,32,.469,.479,19,25,.760,10,31,41,8,8,3,16,10,15,57,.263,7,21,.333,8,36,.222,.325,6,6,1.000,5,19,24,6,9,2,13,19
13,2011-12-25,N,Kansas State,REG (Non-Conf),L,60,77,"",21,57,.368,6,19,.316,15,38,.395,.421,12,21,.571,17,14,31,10,4,3,14,21,26,52,.500,5,13,.385,21,39,.538,.548,20,26,.769,12,22,34,14,4,5,13,20
14,2012-01-02,@,UC Irvine,REG (Conf),W,74,60,"",31,60,.517,4,16,.250,27,44,.614,.550,8,18,.444,7,23,30,8,7,3,9,15,22,55,.400,9,21,.429,13,34,.382,.482,7,11,.636,9,26,35,12,3,3,18,18
15,2012-01-05,"",Cal Poly,REG (Conf),W,55,50,"",18,41,.439,3,9,.333,15,32,.469,.476,16,26,.615,6,20,26,11,8,2,9,10,21,48,.438,1,14,.071,20,34,.588,.448,7,12,.583,8,19,27,7,3,0,11,20
16,2012-01-07,@,Cal State Northridge,REG (Conf),W,81,68,"",27,61,.443,10,25,.400,17,36,.472,.525,17,27,.630,15,28,43,19,6,5,16,16,23,61,.377,7,17,.412,16,44,.364,.434,15,21,.714,9,20,29,13,10,1,11,21
17,2012-01-12,"",UC Davis,REG (Conf),W,86,58,"",34,58,.586,7,17,.412,27,41,.659,.647,11,21,.524,10,24,34,16,4,3,7,12,22,53,.415,5,15,.333,17,38,.447,.462,9,16,.563,12,21,33,10,2,1,15,17
18,2012-01-14,"",Pacific,REG (Conf),W,76,66,"",17,46,.370,7,26,.269,10,20,.500,.446,35,39,.897,12,29,41,9,3,2,17,19,24,63,.381,6,22,.273,18,41,.439,.429,12,16,.750,9,15,24,8,7,3,6,30
19,2012-01-19,@,Cal Poly,REG (Conf),W,78,69,"",23,39,.590,8,11,.727,15,28,.536,.692,24,35,.686,4,17,21,11,8,2,10,11,26,52,.500,9,19,.474,17,33,.515,.587,8,12,.667,9,16,25,16,7,0,15,26
20,2012-01-21,@,UC Santa Barbara,REG (Conf),W,71,48,"",27,46,.587,9,20,.450,18,26,.692,.685,8,15,.533,6,23,29,19,1,2,11,14,20,57,.351,4,15,.267,16,42,.381,.386,4,5,.800,13,12,25,14,3,1,11,17
21,2012-01-26,@,UC Riverside,REG (Conf),W,77,70,OT,23,59,.390,5,14,.357,18,45,.400,.432,26,36,.722,12,24,36,9,14,1,13,14,28,64,.438,6,18,.333,22,46,.478,.484,8,11,.727,8,26,34,11,7,7,20,23
22,2012-01-28,"",Cal State Fullerton,REG (Conf),W,75,61,"",27,53,.509,7,18,.389,20,35,.571,.575,14,25,.560,10,18,28,15,11,3,18,11,26,57,.456,5,13,.385,21,44,.477,.500,4,4,1.000,8,18,26,7,9,2,21,19
23,2012-02-04,"",Cal State Northridge,REG (Conf),W,75,67,"",23,56,.411,7,22,.318,16,34,.471,.473,22,39,.564,13,23,36,16,7,7,9,15,24,58,.414,7,20,.350,17,38,.447,.474,12,17,.706,11,26,37,13,4,1,16,27
24,2012-02-09,@,Pacific,REG (Conf),W,74,66,"",25,51,.490,10,23,.435,15,28,.536,.588,14,20,.700,10,32,42,12,3,2,15,14,26,63,.413,7,25,.280,19,38,.500,.468,7,11,.636,6,21,27,16,9,1,5,18
25,2012-02-11,@,UC Davis,REG (Conf),W,89,69,"",35,68,.515,7,24,.292,28,44,.636,.566,12,19,.632,15,25,40,24,5,3,8,14,23,53,.434,12,26,.462,11,27,.407,.547,11,15,.733,4,18,22,14,5,3,12,14
26,2012-02-18,@,Creighton,REG (Non-Conf),L,79,81,"",30,51,.588,7,15,.467,23,36,.639,.657,12,20,.600,4,20,24,18,7,1,14,19,30,60,.500,5,23,.217,25,37,.676,.542,16,22,.727,10,20,30,14,6,2,12,16
27,2012-02-22,"",UC Santa Barbara,REG (Conf),W,70,58,"",27,61,.443,5,16,.313,22,45,.489,.484,11,20,.550,8,25,33,13,11,1,9,15,20,56,.357,4,16,.250,16,40,.400,.393,14,25,.560,15,28,43,11,7,5,19,19
28,2012-02-25,"",UC Riverside,REG (Conf),W,64,40,"",25,58,.431,4,17,.235,21,41,.512,.466,10,15,.667,10,30,40,13,10,0,17,12,17,59,.288,3,15,.200,14,44,.318,.314,3,7,.429,6,23,29,10,7,2,19,16
29,2012-02-29,"",UC Irvine,REG (Conf),W,77,50,"",30,63,.476,6,20,.300,24,43,.558,.524,11,19,.579,11,30,41,13,15,4,9,15,20,63,.317,6,20,.300,14,43,.326,.365,4,15,.267,16,22,38,11,7,4,17,13
30,2012-03-03,@,Cal State Fullerton,REG (Conf),L,74,77,"",24,58,.414,6,19,.316,18,39,.462,.466,20,27,.741,10,24,34,12,2,4,12,19,24,61,.393,9,21,.429,15,40,.375,.467,20,25,.800,13,25,38,12,2,2,13,21
31,2012-03-08,N,UC Davis,CTOURN,W,80,46,"",30,63,.476,7,18,.389,23,45,.511,.532,13,20,.650,16,22,38,15,3,5,6,13,17,49,.347,5,18,.278,12,31,.387,.398,7,8,.875,7,19,26,9,2,4,20,15
32,2012-03-09,N,UC Irvine,CTOURN,W,68,57,"",22,54,.407,8,21,.381,14,33,.424,.481,16,19,.842,15,21,36,14,7,1,13,9,21,47,.447,10,24,.417,11,23,.478,.553,5,8,.625,5,15,20,9,2,0,16,18
33,2012-03-10,N,UC Santa Barbara,CTOURN,W,77,64,"",25,57,.439,14,33,.424,11,24,.458,.561,13,16,.813,14,19,33,16,5,2,11,12,27,57,.474,6,17,.353,21,40,.525,.526,4,8,.500,11,20,31,15,3,3,15,16
