Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2011-11-11,"",Mount St. Mary's,REG (Non-Conf),W,91,37,"",36,64,.563,4,19,.211,32,45,.711,.594,15,20,.750,11,22,33,26,19,5,10,13,16,55,.291,2,18,.111,14,37,.378,.309,3,6,.500,15,15,30,11,4,1,27,18
2,2011-11-14,"",Norfolk State,REG (Non-Conf),W,99,68,"",33,62,.532,9,21,.429,24,41,.585,.605,24,30,.800,7,29,36,26,11,3,13,23,23,55,.418,11,24,.458,12,31,.387,.518,11,24,.458,5,21,26,15,8,2,25,25
3,2011-11-18,N,Winthrop,REG (Non-Conf),W,95,73,"",31,54,.574,9,19,.474,22,35,.629,.657,24,35,.686,7,20,27,18,6,4,13,19,24,57,.421,10,25,.400,14,32,.438,.509,15,20,.750,8,19,27,11,6,3,13,24
4,2011-11-20,N,Ole Miss,REG (Non-Conf),W,96,66,"",29,52,.558,5,11,.455,24,41,.585,.606,33,43,.767,8,27,35,16,8,5,17,24,25,78,.321,3,23,.130,22,55,.400,.340,13,21,.619,23,15,38,9,6,4,19,33
5,2011-11-21,N,Norfolk State,REG (Non-Conf),W,59,57,"",22,58,.379,5,20,.250,17,38,.447,.422,10,15,.667,14,24,38,15,8,7,14,16,20,59,.339,7,22,.318,13,37,.351,.398,10,13,.769,10,23,33,9,9,7,12,15
6,2011-11-28,"",Jacksonville,REG (Non-Conf),W,88,56,"",31,53,.585,9,16,.563,22,37,.595,.670,17,29,.586,7,24,31,22,7,2,9,15,21,61,.344,9,26,.346,12,35,.343,.418,5,9,.556,13,18,31,18,2,1,16,21
7,2011-12-03,@,Wisconsin,REG (Non-Conf),W,61,54,"",23,60,.383,2,11,.182,21,49,.429,.400,13,19,.684,16,25,41,7,3,3,13,21,16,50,.320,5,19,.263,11,31,.355,.370,17,21,.810,8,20,28,8,5,3,12,18
8,2011-12-06,N,Washington,REG (Non-Conf),W,79,77,"",27,62,.435,6,17,.353,21,45,.467,.484,19,27,.704,8,20,28,20,7,3,10,14,33,68,.485,6,20,.300,27,48,.563,.529,5,10,.500,17,24,41,13,3,7,16,24
9,2011-12-10,"",Green Bay,REG (Non-Conf),W,79,61,"",32,64,.500,4,12,.333,28,52,.538,.531,11,17,.647,11,22,33,22,15,3,16,15,24,58,.414,7,18,.389,17,40,.425,.474,6,9,.667,11,25,36,17,6,5,23,16
10,2011-12-17,"",Northern Colorado,REG (Non-Conf),W,93,72,"",28,59,.475,7,23,.304,21,36,.583,.534,30,36,.833,10,25,35,23,8,6,12,23,21,56,.375,8,16,.500,13,40,.325,.446,22,29,.759,7,17,24,17,8,2,12,25
11,2011-12-19,@,Louisiana State,REG (Non-Conf),L,59,67,"",21,58,.362,8,23,.348,13,35,.371,.431,9,14,.643,13,17,30,7,11,3,14,22,23,43,.535,7,11,.636,16,32,.500,.616,14,27,.519,8,24,32,11,11,4,18,15
12,2011-12-22,"",Milwaukee,REG (Non-Conf),W,64,50,"",22,56,.393,2,11,.182,20,45,.444,.411,18,20,.900,13,25,38,12,5,4,12,22,16,60,.267,4,28,.143,12,32,.375,.300,14,19,.737,17,20,37,8,6,6,16,19
13,2011-12-29,"",Vanderbilt,REG (Non-Conf),L,57,74,"",19,59,.322,3,15,.200,16,44,.364,.347,16,30,.533,14,18,32,12,7,1,14,19,23,49,.469,10,22,.455,13,27,.481,.571,18,24,.750,9,29,38,17,9,4,17,23
14,2012-01-01,"",Villanova,REG (Conf),W,81,77,"",26,60,.433,6,15,.400,20,45,.444,.483,23,37,.622,16,19,35,17,10,6,13,21,28,64,.438,3,17,.176,25,47,.532,.461,18,24,.750,16,21,37,11,8,5,16,27
15,2012-01-04,@,Georgetown,REG (Conf),L,70,73,"",23,52,.442,8,18,.444,15,34,.441,.519,16,20,.800,9,13,22,15,9,1,16,21,27,43,.628,6,18,.333,21,25,.840,.698,13,23,.565,3,18,21,18,9,4,17,18
16,2012-01-07,@,Syracuse,REG (Conf),L,66,73,"",23,57,.404,6,26,.231,17,31,.548,.456,14,23,.609,9,25,34,14,11,1,16,21,24,61,.393,8,20,.400,16,41,.390,.459,17,23,.739,13,27,40,19,9,4,15,18
17,2012-01-11,"",St. John's (NY),REG (Conf),W,83,64,"",33,59,.559,4,12,.333,29,47,.617,.593,13,18,.722,12,25,37,23,8,5,15,22,22,54,.407,4,13,.308,18,41,.439,.444,16,25,.640,9,18,27,16,6,5,15,18
18,2012-01-14,"",Pittsburgh,REG (Conf),W,62,57,"",22,49,.449,7,20,.350,15,29,.517,.520,11,15,.733,12,16,28,17,9,3,15,15,20,46,.435,6,20,.300,14,26,.538,.500,11,14,.786,11,17,28,11,10,1,17,18
19,2012-01-16,"",Louisville,REG (Conf),W,74,63,"",25,61,.410,8,22,.364,17,39,.436,.475,16,18,.889,9,20,29,19,11,4,14,12,26,63,.413,7,23,.304,19,40,.475,.468,4,10,.400,12,25,37,17,11,3,17,20
20,2012-01-21,@,Providence,REG (Conf),W,79,72,"",29,54,.537,9,11,.818,20,43,.465,.620,12,20,.600,9,21,30,21,3,5,12,20,23,63,.365,6,14,.429,17,49,.347,.413,20,26,.769,16,19,35,12,4,4,11,19
21,2012-01-24,"",South Florida,REG (Conf),W,67,47,"",23,58,.397,7,19,.368,16,39,.410,.457,14,21,.667,9,21,30,15,13,3,5,14,16,45,.356,4,14,.286,12,31,.387,.400,11,15,.733,4,25,29,10,4,5,20,19
22,2012-01-28,@,Villanova,REG (Conf),W,82,78,"",25,65,.385,7,17,.412,18,48,.375,.438,25,32,.781,11,22,33,17,8,5,16,18,25,60,.417,8,22,.364,17,38,.447,.483,20,25,.800,11,26,37,16,8,5,20,27
23,2012-01-31,"",Seton Hall,REG (Conf),W,66,59,"",21,48,.438,4,16,.250,17,32,.531,.479,20,28,.714,8,27,35,17,7,3,17,13,25,63,.397,5,15,.333,20,48,.417,.437,4,6,.667,11,21,32,18,9,1,16,19
24,2012-02-04,@,Notre Dame,REG (Conf),L,59,76,"",25,64,.391,2,13,.154,23,51,.451,.406,7,9,.778,8,18,26,16,7,1,8,14,28,56,.500,11,23,.478,17,33,.515,.598,9,11,.818,7,25,32,22,7,7,12,11
25,2012-02-06,@,DePaul,REG (Conf),W,89,76,"",32,61,.525,3,10,.300,29,51,.569,.549,22,23,.957,7,23,30,17,7,3,8,16,30,63,.476,6,16,.375,24,47,.511,.524,10,16,.625,11,19,30,15,4,6,11,18
