Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2011-11-11,"","",REG (Non-Conf),W,76,49,"",30,62,.484,5,16,.313,25,46,.543,.524,11,15,.733,17,23,40,19,9,3,16,18,18,52,.346,2,15,.133,16,37,.432,.365,11,18,.611,10,12,22,11,7,1,17,14
2,2011-11-14,@,Morgan State,REG (Non-Conf),W,80,69,"",21,47,.447,6,18,.333,15,29,.517,.511,32,37,.865,8,18,26,8,13,3,18,24,25,45,.556,4,10,.400,21,35,.600,.600,15,28,.536,8,17,25,9,8,4,27,26
3,2011-11-17,"","",REG (Non-Conf),W,83,41,"",28,57,.491,10,23,.435,18,34,.529,.579,17,23,.739,10,18,28,19,17,5,9,16,15,40,.375,3,13,.231,12,27,.444,.413,8,15,.533,8,20,28,7,2,3,26,20
4,2011-11-20,@,UAB,REG (Non-Conf),W,62,55,"",18,55,.327,6,20,.300,12,35,.343,.382,20,24,.833,12,24,36,11,10,3,12,21,19,47,.404,2,14,.143,17,33,.515,.426,15,23,.652,7,24,31,7,3,7,14,16
5,2011-11-23,@,"",REG (Non-Conf),W,64,62,"",23,47,.489,7,16,.438,16,31,.516,.564,11,14,.786,6,17,23,13,10,2,17,21,24,42,.571,7,13,.538,17,29,.586,.655,7,13,.538,5,13,18,16,4,1,20,16
6,2011-11-25,N,San Francisco,REG (Non-Conf),W,70,67,"",20,42,.476,11,19,.579,9,23,.391,.607,19,23,.826,5,15,20,12,6,3,14,17,23,45,.511,4,16,.250,19,29,.655,.556,17,22,.773,6,16,22,15,8,0,15,22
7,2011-11-26,N,Southern Mississippi,REG (Non-Conf),W,90,81,2OT,31,62,.500,10,21,.476,21,41,.512,.581,18,25,.720,13,26,39,15,8,7,18,21,25,67,.373,7,22,.318,18,45,.400,.425,24,27,.889,13,18,31,6,9,2,15,21
8,2011-12-01,@,Western Kentucky,REG (Non-Conf),W,70,59,"",22,51,.431,5,12,.417,17,39,.436,.480,21,27,.778,11,18,29,9,6,0,13,20,24,56,.429,2,12,.167,22,44,.500,.446,9,14,.643,15,19,34,13,2,8,15,25
9,2011-12-04,"",Dayton,REG (Non-Conf),W,75,58,"",28,51,.549,9,15,.600,19,36,.528,.637,10,12,.833,6,14,20,19,7,1,13,10,25,51,.490,3,21,.143,22,30,.733,.520,5,8,.625,8,15,23,10,7,4,17,14
10,2011-12-11,@,Memphis,REG (Non-Conf),W,76,72,"",23,53,.434,9,20,.450,14,33,.424,.519,21,29,.724,9,20,29,15,10,7,13,20,25,61,.410,6,19,.316,19,42,.452,.459,16,20,.800,11,21,32,15,9,5,15,22
11,2011-12-15,"",Lipscomb,REG (Non-Conf),W,89,65,"",37,65,.569,9,24,.375,28,41,.683,.638,6,11,.545,15,17,32,25,15,6,14,22,20,45,.444,6,12,.500,14,33,.424,.511,19,27,.704,12,14,26,10,6,0,23,11
12,2011-12-17,"",Arkansas State,REG (Non-Conf),W,66,53,"",23,51,.451,8,19,.421,15,32,.469,.529,12,18,.667,9,24,33,13,8,2,13,12,20,49,.408,5,16,.313,15,33,.455,.459,8,11,.727,5,18,23,8,6,1,15,16
13,2011-12-21,"",UT Martin,REG (Conf),W,78,54,"",28,41,.683,4,9,.444,24,32,.750,.732,18,27,.667,5,29,34,15,6,8,24,17,19,56,.339,4,16,.250,15,40,.375,.375,12,19,.632,7,12,19,13,12,1,17,23
14,2011-12-30,@,Eastern Illinois,REG (Conf),W,73,40,"",28,53,.528,12,22,.545,16,31,.516,.642,5,6,.833,8,24,32,13,6,10,7,18,13,48,.271,2,14,.143,11,34,.324,.292,12,15,.800,8,16,24,4,0,0,11,9
15,2012-01-04,"",Eastern Kentucky,REG (Conf),W,76,67,"",24,50,.480,8,17,.471,16,33,.485,.560,20,27,.741,7,19,26,11,8,3,11,15,24,54,.444,4,17,.235,20,37,.541,.481,15,20,.750,10,21,31,6,8,1,12,26
