Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2011-11-11,"",Wright State,REG (Non-Conf),W,73,42,"",21,47,.447,5,14,.357,16,33,.485,.500,26,38,.684,6,27,33,14,10,3,14,18,13,41,.317,6,18,.333,7,23,.304,.390,10,15,.667,2,22,24,7,1,0,23,27
2,2011-11-15,"",Florida,REG (Non-Conf),W,81,74,"",25,53,.472,4,15,.267,21,38,.553,.509,27,34,.794,5,20,25,16,8,2,7,18,25,56,.446,11,22,.500,14,34,.412,.545,13,21,.619,10,24,34,11,3,4,16,22
3,2011-11-18,"",Jackson State,REG (Non-Conf),W,85,41,"",34,71,.479,3,15,.200,31,56,.554,.500,14,22,.636,22,19,41,22,15,3,12,8,17,49,.347,2,9,.222,15,40,.375,.367,5,5,1.000,10,15,25,6,9,6,24,21
4,2011-11-21,"",North Florida,REG (Non-Conf),W,85,50,"",28,60,.467,4,17,.235,24,43,.558,.500,25,40,.625,12,31,43,17,10,1,11,19,18,46,.391,4,20,.200,14,26,.538,.435,10,20,.500,4,27,31,6,3,2,23,28
5,2011-11-23,"",VMI,REG (Non-Conf),W,107,74,"",46,68,.676,5,10,.500,41,58,.707,.713,10,17,.588,9,35,44,30,9,4,19,19,25,65,.385,9,30,.300,16,35,.457,.454,15,24,.625,5,18,23,11,9,1,16,18
6,2011-11-25,"",Valparaiso,REG (Non-Conf),W,80,47,"",31,60,.517,6,16,.375,25,44,.568,.567,12,21,.571,9,26,35,23,12,1,6,11,19,56,.339,8,23,.348,11,33,.333,.411,1,2,.500,9,20,29,11,1,3,18,17
7,2011-11-29,"",Duke,REG (Non-Conf),W,85,63,"",35,59,.593,8,14,.571,27,45,.600,.661,7,10,.700,7,25,32,18,4,2,10,15,26,55,.473,3,15,.200,23,40,.575,.500,8,14,.571,5,18,23,10,4,2,12,14
8,2011-12-03,"",TexasâPan American,REG (Non-Conf),W,64,35,"",25,63,.397,3,13,.231,22,50,.440,.421,11,15,.733,20,21,41,14,4,3,8,9,13,40,.325,6,18,.333,7,22,.318,.400,3,4,.750,4,17,21,10,2,1,18,12
9,2011-12-10,@,Kansas,REG (Non-Conf),L,67,78,"",24,62,.387,5,17,.294,19,45,.422,.427,14,18,.778,12,15,27,12,8,0,15,22,28,48,.583,9,17,.529,19,31,.613,.677,13,20,.650,5,25,30,18,6,2,18,16
10,2011-12-14,"",USC Upstate,REG (Non-Conf),W,82,58,"",29,51,.569,4,12,.333,25,39,.641,.608,20,24,.833,4,15,19,19,13,3,13,17,20,44,.455,5,13,.385,15,31,.484,.511,13,20,.650,8,19,27,7,3,1,25,23
11,2011-12-17,@,South Carolina,REG (Non-Conf),W,74,66,"",27,53,.509,5,15,.333,22,38,.579,.557,15,20,.750,14,19,33,16,7,3,13,19,23,49,.469,6,16,.375,17,33,.515,.531,14,18,.778,8,12,20,9,3,4,14,18
12,2011-12-20,"",Lamar,REG (Non-Conf),W,70,50,"",28,62,.452,6,17,.353,22,45,.489,.500,8,19,.421,11,28,39,19,4,4,9,14,20,57,.351,0,12,.000,20,45,.444,.351,10,14,.714,9,26,35,6,3,2,14,17
