Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2011-11-12,"",Western Michigan,REG (Non-Conf),W,82,76,"",29,63,.460,9,28,.321,20,35,.571,.532,15,20,.750,9,19,28,14,7,4,12,23,29,61,.475,2,15,.133,27,46,.587,.492,16,28,.571,11,25,36,10,5,3,11,19
2,2011-11-14,@,Minnesota,REG (Non-Conf),L,55,71,"",19,52,.365,6,20,.300,13,32,.406,.423,11,21,.524,8,23,31,8,8,2,17,19,27,47,.574,6,14,.429,21,33,.636,.638,11,21,.524,5,25,30,19,14,9,15,21
3,2011-11-16,@,Georgia,REG (Non-Conf),L,61,72,"",22,56,.393,5,20,.250,17,36,.472,.438,12,23,.522,16,23,39,11,4,0,13,15,27,67,.403,6,29,.207,21,38,.553,.448,12,15,.800,17,20,37,12,6,6,7,15
4,2011-11-21,N,Niagara,REG (Non-Conf),W,79,71,"",23,57,.404,4,20,.200,19,37,.514,.439,29,47,.617,12,23,35,9,8,3,10,16,26,57,.456,3,12,.250,23,45,.511,.482,16,23,.696,9,24,33,10,5,2,19,33
5,2011-11-22,N,Sam Houston State,REG (Non-Conf),W,77,60,"",22,51,.431,10,24,.417,12,27,.444,.529,23,32,.719,10,18,28,16,8,1,15,15,23,58,.397,6,24,.250,17,34,.500,.448,8,12,.667,9,21,30,4,8,1,15,25
6,2011-11-23,@,Mercer,REG (Non-Conf),W,74,61,"",24,53,.453,8,26,.308,16,27,.593,.528,18,26,.692,7,17,24,10,8,1,12,21,19,48,.396,8,20,.400,11,28,.393,.479,15,20,.750,6,22,28,13,7,3,23,25
7,2011-11-26,@,Nebraska,REG (Non-Conf),L,64,76,"",21,62,.339,8,26,.308,13,36,.361,.403,14,18,.778,10,20,30,10,5,1,10,16,28,57,.491,5,14,.357,23,43,.535,.535,15,18,.833,7,29,36,13,8,3,12,20
8,2011-12-01,@,IUPUI,REG (Conf),W,97,93,OT,35,77,.455,14,32,.438,21,45,.467,.545,13,17,.765,11,31,42,20,5,0,14,17,34,78,.436,11,25,.440,23,53,.434,.506,14,17,.824,15,27,42,19,6,2,12,15
9,2011-12-03,@,Western Illinois,REG (Conf),W,67,66,"",20,53,.377,9,22,.409,11,31,.355,.462,18,23,.783,10,20,30,14,7,0,7,14,26,54,.481,5,16,.313,21,38,.553,.528,9,13,.692,9,25,34,12,5,4,13,23
10,2011-12-06,"","",REG (Non-Conf),W,92,69,"",32,61,.525,4,15,.267,28,46,.609,.557,24,35,.686,13,23,36,19,12,2,12,17,28,57,.491,5,18,.278,23,39,.590,.535,8,13,.615,6,22,28,12,8,3,18,23
11,2011-12-10,"",North Dakota,REG (Non-Conf),W,92,54,"",33,58,.569,9,15,.600,24,43,.558,.647,17,27,.630,13,29,42,19,7,3,13,17,18,50,.360,3,13,.231,15,37,.405,.390,15,23,.652,7,13,20,6,6,3,15,22
12,2011-12-12,"","",REG (Non-Conf),W,93,60,"",34,64,.531,9,19,.474,25,45,.556,.602,16,20,.800,16,23,39,20,10,3,12,14,25,59,.424,5,14,.357,20,45,.444,.466,5,7,.714,7,12,19,11,4,0,14,17
13,2011-12-15,@,North Dakota,REG (Non-Conf),L,70,89,"",23,54,.426,9,24,.375,14,30,.467,.509,15,19,.789,8,19,27,10,6,2,18,14,34,58,.586,9,19,.474,25,39,.641,.664,12,16,.750,4,21,25,18,12,0,12,15
14,2011-12-18,@,Washington,REG (Non-Conf),W,92,73,"",28,51,.549,10,16,.625,18,35,.514,.647,26,32,.813,6,20,26,12,6,1,5,17,26,63,.413,5,18,.278,21,45,.467,.452,16,22,.727,17,16,33,14,2,3,9,20
15,2011-12-28,"",IPFW,REG (Conf),W,94,58,"",35,65,.538,13,29,.448,22,36,.611,.638,11,19,.579,14,29,43,21,3,5,7,19,21,57,.368,4,21,.190,17,36,.472,.404,12,21,.571,7,21,28,8,4,2,9,20
16,2011-12-30,"",Oakland,REG (Conf),W,76,64,"",26,51,.510,9,19,.474,17,32,.531,.598,15,18,.833,6,19,25,15,8,4,9,15,25,51,.490,5,19,.263,20,32,.625,.539,9,14,.643,5,20,25,13,3,0,11,18
17,2012-01-05,@,Southern Utah,REG (Conf),W,75,68,"",25,56,.446,4,17,.235,21,39,.538,.482,21,30,.700,7,22,29,12,7,2,7,15,28,58,.483,2,7,.286,26,51,.510,.500,10,11,.909,5,23,28,12,1,5,11,23
18,2012-01-07,@,Oral Roberts,REG (Conf),L,75,97,"",30,54,.556,9,18,.500,21,36,.583,.639,6,9,.667,5,14,19,15,2,0,10,17,37,61,.607,10,21,.476,27,40,.675,.689,13,14,.929,9,19,28,20,7,1,6,14
19,2012-01-12,"",South Dakota,REG (Conf),W,86,56,"",31,65,.477,9,25,.360,22,40,.550,.546,15,16,.938,5,36,41,18,8,4,6,16,19,59,.322,6,18,.333,13,41,.317,.373,12,19,.632,7,23,30,11,2,3,15,15
20,2012-01-14,"",Kansas City,REG (Conf),W,85,58,"",29,53,.547,8,15,.533,21,38,.553,.623,19,23,.826,9,29,38,17,6,5,14,21,20,54,.370,5,17,.294,15,37,.405,.417,13,23,.565,4,15,19,7,6,0,10,20
21,2012-01-21,@,North Dakota State,REG (Conf),W,91,88,OT,27,58,.466,11,24,.458,16,34,.471,.560,26,34,.765,4,21,25,16,6,3,9,18,33,66,.500,7,19,.368,26,47,.553,.553,15,17,.882,9,24,33,18,6,4,14,23
22,2012-01-26,@,Oakland,REG (Conf),L,87,92,"",30,66,.455,14,33,.424,16,33,.485,.561,13,19,.684,13,24,37,16,4,1,11,22,27,58,.466,14,28,.500,13,30,.433,.586,24,32,.750,7,25,32,22,6,2,7,17
23,2012-01-28,@,IPFW,REG (Conf),W,74,43,"",24,52,.462,9,20,.450,15,32,.469,.548,17,23,.739,6,31,37,12,9,1,17,19,16,49,.327,2,17,.118,14,32,.438,.347,9,17,.529,3,23,26,10,10,2,18,21
24,2012-02-02,"",Oral Roberts,REG (Conf),W,75,60,"",26,54,.481,6,21,.286,20,33,.606,.537,17,20,.850,10,13,23,16,9,0,7,16,23,46,.500,3,13,.231,20,33,.606,.533,11,14,.786,7,17,24,10,5,3,14,21
25,2012-02-04,"",Southern Utah,REG (Conf),W,66,56,"",20,43,.465,5,16,.313,15,27,.556,.523,21,30,.700,6,13,19,9,8,2,10,15,22,47,.468,3,5,.600,19,42,.452,.500,9,12,.750,12,19,31,9,4,0,18,27
26,2012-02-09,@,South Dakota,REG (Conf),L,68,72,"",24,67,.358,10,32,.313,14,35,.400,.433,10,14,.714,15,19,34,14,7,1,9,15,29,52,.558,7,20,.350,22,32,.688,.625,7,13,.538,6,27,33,21,5,3,13,16
27,2012-02-11,@,Kansas City,REG (Conf),W,75,62,"",24,54,.444,7,17,.412,17,37,.459,.509,20,25,.800,9,24,33,10,6,1,9,16,20,53,.377,9,24,.375,11,29,.379,.462,13,19,.684,7,18,25,12,4,3,9,22
28,2012-02-15,"",North Dakota State,REG (Conf),W,80,57,"",29,52,.558,6,11,.545,23,41,.561,.615,16,21,.762,5,17,22,14,8,3,3,10,23,56,.411,5,17,.294,18,39,.462,.455,6,8,.750,13,19,32,9,3,3,16,17
29,2012-02-18,"",Buffalo,REG (Non-Conf),W,86,65,"",27,55,.491,7,17,.412,20,38,.526,.555,25,31,.806,9,25,34,14,7,3,9,18,26,58,.448,6,20,.300,20,38,.526,.500,7,11,.636,8,23,31,13,4,2,15,23
