Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2011-11-12,@,South Florida,REG (Non-Conf),L,59,61,"",23,49,.469,8,16,.500,15,33,.455,.551,5,10,.500,9,23,32,18,2,4,6,20,20,50,.400,8,13,.615,12,37,.324,.480,13,24,.542,12,20,32,12,3,1,5,14
2,2011-11-16,@,Dartmouth,REG (Non-Conf),W,65,53,"",23,50,.460,7,16,.438,16,34,.471,.530,12,16,.750,16,24,40,10,7,5,19,17,18,51,.353,4,14,.286,14,37,.378,.392,13,18,.722,10,12,22,5,10,3,14,16
3,2011-11-19,N,Marist,REG (Non-Conf),W,84,75,"",24,46,.522,6,14,.429,18,32,.563,.587,30,39,.769,4,20,24,16,10,4,12,25,25,56,.446,7,19,.368,18,37,.486,.509,18,25,.720,10,21,31,9,5,0,18,25
4,2011-11-20,N,LIU Brooklyn,REG (Non-Conf),L,75,80,"",31,60,.517,4,16,.250,27,44,.614,.550,9,12,.750,10,16,26,15,9,5,15,26,24,50,.480,6,14,.429,18,36,.500,.540,26,37,.703,7,16,23,9,7,2,12,17
5,2011-11-23,@,Old Dominion,REG (Non-Conf),W,65,63,OT,23,58,.397,3,13,.231,20,45,.444,.422,16,23,.696,15,30,45,16,4,1,16,22,22,65,.338,3,18,.167,19,47,.404,.362,16,25,.640,14,22,36,11,7,5,7,22
6,2011-11-26,"",Siena,REG (Non-Conf),W,64,62,"",25,54,.463,3,9,.333,22,45,.489,.491,11,14,.786,13,19,32,14,3,2,10,18,22,44,.500,3,11,.273,19,33,.576,.534,15,23,.652,5,18,23,8,5,4,8,15
7,2011-12-01,"",Harvard,REG (Non-Conf),L,48,55,"",18,51,.353,3,10,.300,15,41,.366,.382,9,15,.600,8,16,24,6,3,2,9,19,20,40,.500,5,13,.385,15,27,.556,.563,10,15,.667,2,24,26,10,4,7,13,17
8,2011-12-03,@,Yale,REG (Non-Conf),L,52,68,"",21,60,.350,3,13,.231,18,47,.383,.375,7,13,.538,9,17,26,5,5,1,7,13,23,48,.479,7,16,.438,16,32,.500,.552,15,17,.882,7,30,37,15,4,6,16,18
9,2011-12-07,@,Saint Louis,REG (Non-Conf),L,43,62,"",16,44,.364,2,10,.200,14,34,.412,.386,9,15,.600,8,16,24,8,8,2,19,18,23,47,.489,8,18,.444,15,29,.517,.574,8,13,.615,9,22,31,13,8,2,17,15
10,2011-12-11,"",Quinnipiac,REG (Non-Conf),L,58,62,"",23,50,.460,1,13,.077,22,37,.595,.470,11,22,.500,8,23,31,9,2,5,10,14,25,63,.397,2,8,.250,23,55,.418,.413,10,15,.667,15,23,38,7,7,2,9,18
11,2011-12-17,"",Iona,REG (Non-Conf),L,72,73,"",28,58,.483,9,20,.450,19,38,.500,.560,7,10,.700,6,18,24,15,4,1,9,14,27,61,.443,4,13,.308,23,48,.479,.475,15,16,.938,10,21,31,13,6,2,9,12
12,2011-12-21,@,Fairleigh Dickinson,REG (Non-Conf),W,71,53,"",25,56,.446,7,22,.318,18,34,.529,.509,14,18,.778,11,19,30,15,10,0,16,17,19,47,.404,2,11,.182,17,36,.472,.426,13,18,.722,10,14,24,10,8,4,23,18
13,2011-12-23,@,Towson,REG (Non-Conf),W,65,49,"",27,53,.509,6,15,.400,21,38,.553,.566,5,10,.500,7,23,30,17,6,0,7,13,17,45,.378,3,9,.333,14,36,.389,.411,12,22,.545,9,18,27,7,6,4,10,10
14,2011-12-30,"",Northeastern,REG (Non-Conf),L,51,53,"",18,46,.391,3,12,.250,15,34,.441,.424,12,18,.667,9,20,29,14,6,1,9,13,20,48,.417,5,13,.385,15,35,.429,.469,8,13,.615,9,20,29,11,4,3,14,20
15,2012-01-02,@,Stony Brook,REG (Conf),L,59,65,"",18,53,.340,9,22,.409,9,31,.290,.425,14,17,.824,9,16,25,9,6,6,12,22,22,50,.440,3,10,.300,19,40,.475,.470,18,24,.750,7,24,31,9,10,4,12,16
16,2012-01-05,"",Boston University,REG (Conf),W,83,69,"",26,57,.456,6,17,.353,20,40,.500,.509,25,31,.806,7,28,35,17,4,0,7,19,23,57,.404,6,20,.300,17,37,.459,.456,17,23,.739,11,20,31,11,4,6,10,25
17,2012-01-08,@,Hartford,REG (Conf),W,72,59,"",18,46,.391,6,13,.462,12,33,.364,.457,30,36,.833,12,28,40,15,4,1,10,18,21,55,.382,9,29,.310,12,26,.462,.464,8,14,.571,5,17,22,13,3,4,6,26
18,2012-01-12,"",Binghamton,REG (Conf),W,73,53,"",28,53,.528,5,14,.357,23,39,.590,.575,12,19,.632,8,25,33,16,6,1,12,17,19,49,.388,2,13,.154,17,36,.472,.408,13,21,.619,8,18,26,11,6,2,14,19
19,2012-01-14,@,New Hampshire,REG (Conf),L,64,72,"",21,58,.362,1,8,.125,20,50,.400,.371,21,27,.778,9,24,33,5,5,0,14,20,23,50,.460,10,22,.455,13,28,.464,.560,16,23,.696,7,23,30,10,6,1,15,22
20,2012-01-16,"",Maine,REG (Conf),W,79,65,"",27,55,.491,5,11,.455,22,44,.500,.536,20,23,.870,10,21,31,14,2,4,9,17,25,62,.403,5,14,.357,20,48,.417,.444,10,13,.769,13,15,28,14,1,8,8,22
21,2012-01-19,"",Albany (NY),REG (Conf),W,73,69,"",27,56,.482,9,18,.500,18,38,.474,.563,10,13,.769,8,19,27,14,7,3,15,15,28,56,.500,6,20,.300,22,36,.611,.554,7,10,.700,8,20,28,11,3,2,18,14
22,2012-01-22,@,UMBC,REG (Conf),W,90,62,"",33,58,.569,8,17,.471,25,41,.610,.638,16,19,.842,13,25,38,25,9,4,19,14,23,59,.390,6,17,.353,17,42,.405,.441,10,11,.909,7,12,19,11,6,3,16,16
23,2012-01-29,"",New Hampshire,REG (Conf),W,77,60,"",22,52,.423,4,13,.308,18,39,.462,.462,29,34,.853,11,21,32,7,8,2,8,16,20,46,.435,8,23,.348,12,23,.522,.522,12,15,.800,5,23,28,10,3,3,15,24
24,2012-02-01,@,Boston University,REG (Conf),W,68,67,"",22,50,.440,3,14,.214,19,36,.528,.470,21,27,.778,6,29,35,12,9,1,15,18,27,68,.397,5,18,.278,22,50,.440,.434,8,15,.533,12,24,36,8,7,1,12,25
25,2012-02-04,"",Hartford,REG (Conf),W,82,56,"",27,63,.429,7,19,.368,20,44,.455,.484,21,34,.618,19,23,42,15,12,4,11,21,17,48,.354,9,25,.360,8,23,.348,.448,13,21,.619,8,21,29,11,3,3,18,28
26,2012-02-06,@,Maine,REG (Conf),W,73,63,"",25,60,.417,5,11,.455,20,49,.408,.458,18,23,.783,8,26,34,17,12,5,11,17,23,58,.397,7,18,.389,16,40,.400,.457,10,18,.556,7,26,33,14,10,8,16,21
27,2012-02-12,"",Stony Brook,REG (Conf),W,68,49,"",22,46,.478,9,19,.474,13,27,.481,.576,15,18,.833,5,21,26,14,5,3,9,22,17,51,.333,0,15,.000,17,36,.472,.333,15,26,.577,16,17,33,2,3,1,12,20
28,2012-02-15,@,Albany (NY),REG (Conf),W,50,47,"",20,46,.435,4,16,.250,16,30,.533,.478,6,7,.857,9,19,28,14,6,1,11,14,17,47,.362,7,19,.368,10,28,.357,.436,6,10,.600,12,16,28,9,2,1,11,12
29,2012-02-18,"",Niagara,REG (Non-Conf),W,92,70,"",32,58,.552,8,23,.348,24,35,.686,.621,20,22,.909,18,24,42,17,8,2,14,17,25,57,.439,7,21,.333,18,36,.500,.500,13,18,.722,11,9,20,9,10,2,10,18
30,2012-02-21,@,Binghamton,REG (Conf),L,53,57,"",18,46,.391,4,20,.200,14,26,.538,.435,13,19,.684,6,22,28,9,6,2,16,18,21,47,.447,5,14,.357,16,33,.485,.500,10,18,.556,9,20,29,11,7,5,13,17
31,2012-02-25,"",UMBC,REG (Conf),W,80,49,"",26,59,.441,6,18,.333,20,41,.488,.492,22,30,.733,15,31,46,18,7,4,11,13,20,59,.339,6,21,.286,14,38,.368,.390,3,6,.500,6,15,21,8,6,4,14,20
32,2012-03-03,N,Maine,CTOURN,W,50,40,"",16,50,.320,4,19,.211,12,31,.387,.360,14,17,.824,7,31,38,11,7,2,13,12,17,53,.321,0,17,.000,17,36,.472,.321,6,7,.857,4,25,29,7,5,4,14,19
33,2012-03-04,N,Hartford,CTOURN,W,77,73,2OT,27,57,.474,9,26,.346,18,31,.581,.553,14,18,.778,7,25,32,11,4,3,15,18,26,60,.433,10,26,.385,16,34,.471,.517,11,18,.611,8,19,27,13,8,2,12,22
34,2012-03-10,@,Stony Brook,CTOURN,W,51,43,"",18,43,.419,7,15,.467,11,28,.393,.500,8,13,.615,4,27,31,13,6,0,11,11,17,58,.293,4,19,.211,13,39,.333,.328,5,6,.833,9,23,32,6,5,1,8,14
