Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2011-11-11,"",Morgan State,REG (Non-Conf),W,74,63,"",28,57,.491,6,14,.429,22,43,.512,.544,12,24,.500,9,27,36,18,8,7,15,24,19,58,.328,2,15,.133,17,43,.395,.345,23,36,.639,9,24,33,10,9,5,12,20
2,2011-11-15,"",IPFW,REG (Non-Conf),W,86,63,"",32,57,.561,11,21,.524,21,36,.583,.658,11,22,.500,7,29,36,19,6,9,16,19,21,67,.313,6,24,.250,15,43,.349,.358,15,19,.789,13,22,35,14,5,2,14,18
3,2011-11-18,"",Miami (OH),REG (Non-Conf),W,66,60,"",26,60,.433,2,9,.222,24,51,.471,.450,12,21,.571,11,22,33,14,11,4,9,13,21,49,.429,8,19,.421,13,30,.433,.510,10,12,.833,4,24,28,15,5,5,18,21
4,2011-11-25,"",Georgia,REG (Non-Conf),W,70,56,"",24,49,.490,3,8,.375,21,41,.512,.520,19,30,.633,10,29,39,16,5,3,14,17,18,56,.321,7,26,.269,11,30,.367,.384,13,16,.813,10,18,28,9,6,2,14,20
5,2011-11-28,@,Vanderbilt,REG (Non-Conf),W,82,70,OT,28,74,.378,6,15,.400,22,59,.373,.419,20,27,.741,20,28,48,8,8,4,13,17,27,64,.422,7,22,.318,20,42,.476,.477,9,12,.750,8,22,30,16,7,10,18,20
6,2011-12-03,"",Purdue,REG (Non-Conf),W,66,63,"",22,41,.537,6,12,.500,16,29,.552,.610,16,27,.593,9,21,30,9,6,3,22,17,23,56,.411,5,18,.278,18,38,.474,.455,12,21,.571,10,13,23,9,13,1,13,25
7,2011-12-07,@,Butler,REG (Non-Conf),W,73,61,"",21,53,.396,2,12,.167,19,41,.463,.415,29,37,.784,10,26,36,9,8,1,13,22,19,62,.306,2,21,.095,17,41,.415,.323,21,28,.750,16,23,39,9,5,1,16,26
8,2011-12-10,"",Cincinnati,REG (Non-Conf),W,76,53,"",29,56,.518,5,14,.357,24,42,.571,.563,13,18,.722,11,24,35,16,6,8,12,19,17,61,.279,1,16,.063,16,45,.356,.287,18,23,.783,10,20,30,8,5,2,10,19
9,2011-12-18,"",Oral Roberts,REG (Non-Conf),L,42,64,"",17,52,.327,1,11,.091,16,41,.390,.337,7,11,.636,10,23,33,11,2,5,17,10,25,56,.446,7,20,.350,18,36,.500,.509,7,11,.636,6,22,28,17,13,4,9,13
10,2011-12-22,N,Long Beach State,REG (Non-Conf),L,58,68,"",23,51,.451,3,12,.250,20,39,.513,.480,9,13,.692,8,16,24,9,6,3,15,18,23,49,.469,7,19,.368,16,30,.533,.541,15,28,.536,8,20,28,13,6,2,11,17
11,2011-12-24,N,Hawaii,REG (Non-Conf),L,82,84,OT,30,67,.448,9,24,.375,21,43,.488,.515,13,25,.520,13,25,38,12,10,1,14,27,31,65,.477,4,13,.308,27,52,.519,.508,18,30,.600,10,25,35,16,6,0,16,22
12,2011-12-25,N,Southern Illinois,REG (Non-Conf),W,87,77,"",24,51,.471,3,8,.375,21,43,.488,.500,36,48,.750,10,21,31,13,6,5,10,16,28,70,.400,5,20,.250,23,50,.460,.436,16,22,.727,13,20,33,15,3,5,11,28
13,2011-12-31,"",Gonzaga,REG (Non-Conf),L,65,72,"",25,59,.424,3,18,.167,22,41,.537,.449,12,19,.632,6,21,27,9,12,4,11,20,26,59,.441,8,19,.421,18,40,.450,.508,12,17,.706,12,29,41,15,7,2,17,15
14,2012-01-04,@,La Salle,REG (Conf),L,70,80,"",25,62,.403,4,14,.286,21,48,.438,.435,16,20,.800,7,32,39,12,4,4,14,18,26,65,.400,9,26,.346,17,39,.436,.469,19,24,.792,8,24,32,20,5,4,7,16
15,2012-01-07,@,Fordham,REG (Conf),W,67,59,"",23,56,.411,6,15,.400,17,41,.415,.464,15,22,.682,12,29,41,18,4,4,13,22,20,53,.377,6,13,.462,14,40,.350,.434,13,22,.591,8,20,28,11,11,10,9,19
16,2012-01-11,"",Duquesne,REG (Conf),W,78,50,"",32,56,.571,5,16,.313,27,40,.675,.616,9,14,.643,15,22,37,20,6,6,11,16,19,54,.352,2,16,.125,17,38,.447,.370,10,17,.588,13,13,26,14,9,5,9,14
17,2012-01-14,"",St. Bonaventure,REG (Conf),W,77,64,"",27,54,.500,8,16,.500,19,38,.500,.574,15,19,.789,6,23,29,20,6,0,14,23,20,51,.392,5,18,.278,15,33,.455,.441,19,22,.864,5,22,27,12,5,2,15,20
18,2012-01-18,"",Saint Joseph's,REG (Conf),W,68,55,"",27,55,.491,4,16,.250,23,39,.590,.527,10,15,.667,7,19,26,18,7,7,8,13,21,56,.375,4,18,.222,17,38,.447,.411,9,10,.900,12,20,32,9,5,4,19,14
19,2012-01-21,@,Dayton,REG (Conf),L,72,87,"",26,56,.464,8,14,.571,18,42,.429,.536,12,24,.500,6,19,25,16,4,1,9,21,27,54,.500,11,28,.393,16,26,.615,.602,22,28,.786,9,28,37,17,2,3,11,20
20,2012-01-25,"",Saint Louis,REG (Conf),L,68,73,"",17,42,.405,5,13,.385,12,29,.414,.464,29,32,.906,5,21,26,11,5,4,17,22,22,51,.431,7,21,.333,15,30,.500,.500,22,28,.786,8,18,26,18,10,2,13,23
21,2012-01-28,@,Charlotte,REG (Conf),W,74,70,"",29,59,.492,5,15,.333,24,44,.545,.534,11,16,.688,8,20,28,18,6,0,9,19,20,50,.400,10,24,.417,10,26,.385,.500,20,23,.870,8,24,32,13,5,2,14,16
22,2012-02-01,@,George Washington,REG (Conf),W,59,58,"",22,53,.415,5,12,.417,17,41,.415,.462,10,20,.500,7,30,37,13,3,1,10,14,22,62,.355,10,21,.476,12,41,.293,.435,4,9,.444,9,26,35,13,5,3,7,18
23,2012-02-04,@,Memphis,REG (Non-Conf),L,68,72,"",25,54,.463,6,15,.400,19,39,.487,.519,12,15,.800,5,23,28,17,4,1,13,23,22,51,.431,4,14,.286,18,37,.486,.471,24,28,.857,7,18,25,11,7,3,12,15
24,2012-02-08,"",Rhode Island,REG (Conf),W,84,66,"",30,57,.526,3,11,.273,27,46,.587,.553,21,25,.840,8,31,39,19,9,7,17,16,23,63,.365,6,22,.273,17,41,.415,.413,14,16,.875,4,18,22,9,7,2,16,19
25,2012-02-11,@,Temple,REG (Conf),L,72,85,"",26,59,.441,6,14,.429,20,45,.444,.492,14,17,.824,7,20,27,12,7,2,11,21,28,60,.467,9,20,.450,19,40,.475,.542,20,32,.625,15,23,38,11,7,6,10,20
26,2012-02-18,"",Dayton,REG (Conf),W,86,83,OT,28,58,.483,4,12,.333,24,46,.522,.517,26,37,.703,9,27,36,8,7,4,15,22,26,65,.400,10,31,.323,16,34,.471,.477,21,26,.808,14,24,38,18,7,6,17,27
27,2012-02-21,@,Massachusetts,REG (Conf),L,73,80,"",24,59,.407,11,24,.458,13,35,.371,.500,14,17,.824,8,28,36,18,7,3,20,20,27,61,.443,10,27,.370,17,34,.500,.525,16,18,.889,6,20,26,20,7,6,13,18
28,2012-02-25,"",Richmond,REG (Conf),W,65,57,"",25,62,.403,2,11,.182,23,51,.451,.419,13,17,.765,18,20,38,11,6,3,11,15,23,48,.479,5,18,.278,18,30,.600,.531,6,7,.857,3,19,22,10,5,4,14,19
29,2012-02-28,@,Saint Louis,REG (Conf),L,59,70,"",21,52,.404,5,13,.385,16,39,.410,.452,12,18,.667,10,25,35,11,2,5,12,20,22,57,.386,6,21,.286,16,36,.444,.439,20,24,.833,6,24,30,15,6,3,8,15
30,2012-03-03,"",Charlotte,REG (Conf),W,72,63,"",25,57,.439,3,15,.200,22,42,.524,.465,19,28,.679,11,22,33,11,9,8,8,16,24,60,.400,5,20,.250,19,40,.475,.442,10,13,.769,12,25,37,11,3,1,14,22
31,2012-03-09,N,Dayton,CTOURN,W,70,69,"",24,50,.480,4,13,.308,20,37,.541,.520,18,29,.621,7,24,31,10,3,4,8,20,21,54,.389,8,26,.308,13,28,.464,.463,19,22,.864,6,20,26,11,5,1,8,22
32,2012-03-10,N,Saint Louis,CTOURN,W,71,64,"",24,45,.533,5,11,.455,19,34,.559,.589,18,21,.857,4,25,29,9,3,2,11,20,22,54,.407,6,24,.250,16,30,.533,.463,14,20,.700,7,16,23,14,8,1,9,18
33,2012-03-11,N,St. Bonaventure,CTOURN,L,56,67,"",20,59,.339,2,13,.154,18,46,.391,.356,14,19,.737,10,15,25,7,5,1,6,18,20,51,.392,5,16,.313,15,35,.429,.441,22,25,.880,12,25,37,15,4,8,14,20
