Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2012-11-11,"",Texas Southern,REG (Non-Conf),W,81,63,"",31,59,.525,6,16,.375,25,43,.581,.576,13,16,.813,9,31,40,16,8,3,16,19,21,57,.368,9,30,.300,12,27,.444,.447,12,18,.667,6,16,22,11,8,2,14,17
2,2012-11-13,"",Oakland,REG (Non-Conf),W,88,80,"",28,65,.431,11,34,.324,17,31,.548,.515,21,25,.840,10,15,25,18,5,1,5,19,28,54,.519,6,19,.316,22,35,.629,.574,18,27,.667,8,21,29,10,2,2,12,22
3,2012-11-18,"",LouisianaâLafayette,REG (Non-Conf),W,63,57,"",21,54,.389,4,20,.200,17,34,.500,.426,17,28,.607,14,26,40,10,8,4,16,18,20,54,.370,5,20,.250,15,34,.441,.417,12,14,.857,6,21,27,8,9,2,14,22
4,2012-11-20,@,Michigan State,REG (Non-Conf),L,70,74,"",21,50,.420,5,14,.357,16,36,.444,.470,23,29,.793,7,15,22,12,6,1,14,26,26,45,.578,6,19,.316,20,26,.769,.644,16,25,.640,5,21,26,16,10,2,15,20
5,2012-11-24,"",UC Santa Barbara,REG (Non-Conf),W,72,56,"",24,54,.444,9,18,.500,15,36,.417,.528,15,18,.833,6,21,27,16,9,3,14,16,20,45,.444,7,20,.350,13,25,.520,.522,9,14,.643,1,16,17,16,6,7,16,18
6,2012-11-28,@,Creighton,REG (Non-Conf),W,83,70,"",29,48,.604,10,19,.526,19,29,.655,.708,15,19,.789,5,26,31,15,8,1,13,17,25,52,.481,12,27,.444,13,25,.520,.596,8,12,.667,3,15,18,16,7,1,11,17
7,2012-12-02,@,Seattle,REG (Non-Conf),W,87,64,"",32,60,.533,15,28,.536,17,32,.531,.658,8,13,.615,4,20,24,16,12,2,10,19,24,60,.400,4,15,.267,20,45,.444,.433,12,21,.571,16,24,40,15,6,2,21,15
8,2012-12-05,@,Utah,REG (Non-Conf),L,55,76,"",21,52,.404,5,12,.417,16,40,.400,.452,8,14,.571,4,12,16,6,6,0,6,18,27,40,.675,9,16,.563,18,24,.750,.788,13,16,.813,3,25,28,20,1,3,14,14
9,2012-12-14,"",Louisiana State,REG (Non-Conf),W,89,70,"",29,63,.460,8,19,.421,21,44,.477,.524,23,31,.742,18,24,42,13,13,2,17,15,26,59,.441,10,29,.345,16,30,.533,.525,8,11,.727,10,15,25,16,8,5,20,26
10,2012-12-20,N,Idaho,REG (Non-Conf),W,78,68,"",27,55,.491,5,15,.333,22,40,.550,.536,19,25,.760,6,16,22,12,8,0,7,19,23,45,.511,2,10,.200,21,35,.600,.533,20,22,.909,6,19,25,14,1,3,16,22
11,2012-12-23,N,New Orleans,REG (Non-Conf),W,67,51,"",25,61,.410,8,22,.364,17,39,.436,.475,9,9,1.000,12,31,43,18,5,4,20,20,19,59,.322,0,8,.000,19,51,.373,.322,13,22,.591,7,23,30,9,8,3,15,14
12,2012-12-30,"","",REG (Non-Conf),W,105,49,"",40,71,.563,12,29,.414,28,42,.667,.648,13,16,.813,18,32,50,24,6,5,8,8,19,61,.311,8,32,.250,11,29,.379,.377,3,6,.500,4,13,17,10,4,1,7,13
13,2013-01-02,@,UT Arlington,REG (Non-Conf),W,64,46,"",22,45,.489,11,21,.524,11,24,.458,.611,9,15,.600,4,26,30,14,6,1,12,21,16,48,.333,3,17,.176,13,31,.419,.365,11,20,.550,8,21,29,11,6,3,14,13
14,2013-01-05,"","",REG (Non-Conf),W,106,39,"",39,62,.629,12,26,.462,27,36,.750,.726,16,22,.727,7,30,37,26,11,0,11,19,11,51,.216,7,28,.250,4,23,.174,.284,10,16,.625,8,14,22,8,2,2,24,19
15,2013-01-09,@,Wyoming,REG (Conf),W,63,61,"",24,52,.462,11,19,.579,13,33,.394,.567,4,6,.667,7,15,22,13,5,1,9,16,20,39,.513,8,18,.444,12,21,.571,.615,13,18,.722,3,16,19,8,5,4,13,12
16,2013-01-16,"",New Mexico,REG (Conf),L,74,79,OT,25,58,.431,9,20,.450,16,38,.421,.509,15,21,.714,8,28,36,12,6,1,16,22,23,57,.404,9,21,.429,14,36,.389,.482,24,31,.774,6,22,28,11,9,4,14,21
17,2013-01-19,@,Air Force,REG (Conf),L,80,91,"",27,57,.474,8,20,.400,19,37,.514,.544,18,28,.643,14,16,30,13,6,4,16,21,31,57,.544,8,16,.500,23,41,.561,.614,21,23,.913,8,19,27,21,9,0,13,19
18,2013-01-23,"",Fresno State,REG (Conf),W,74,67,"",21,55,.382,6,16,.375,15,39,.385,.436,26,26,1.000,12,22,34,11,8,3,9,13,22,47,.468,10,17,.588,12,30,.400,.574,13,17,.765,4,19,23,12,7,5,13,21
19,2013-01-26,@,Nevada,REG (Conf),L,59,75,"",22,61,.361,4,21,.190,18,40,.450,.393,11,17,.647,9,21,30,8,5,1,12,22,23,48,.479,7,23,.304,16,25,.640,.552,22,27,.815,1,29,30,15,5,4,11,19
20,2013-01-30,@,Colorado State,REG (Conf),L,57,77,"",20,53,.377,3,16,.188,17,37,.459,.406,14,17,.824,7,20,27,7,4,0,12,23,26,58,.448,6,22,.273,20,36,.556,.500,19,35,.543,13,25,38,12,3,2,5,17
21,2013-02-02,"",UNLV,REG (Conf),W,77,72,"",27,55,.491,8,19,.421,19,36,.528,.564,15,19,.789,6,23,29,13,8,0,12,17,27,54,.500,8,24,.333,19,30,.633,.574,10,17,.588,4,23,27,24,6,4,13,20
22,2013-02-06,@,San Diego State,REG (Conf),L,62,63,"",24,60,.400,8,17,.471,16,43,.372,.467,6,9,.667,14,19,33,11,3,1,10,17,24,52,.462,7,17,.412,17,35,.486,.529,8,18,.444,10,22,32,11,6,7,10,13
23,2013-02-09,"",Wyoming,REG (Conf),W,68,61,"",27,54,.500,3,11,.273,24,43,.558,.528,11,17,.647,7,23,30,9,4,3,9,21,22,48,.458,5,22,.227,17,26,.654,.510,12,18,.667,4,23,27,5,4,4,12,18
24,2013-02-16,@,New Mexico,REG (Conf),L,50,60,"",20,54,.370,5,20,.250,15,34,.441,.417,5,10,.500,6,25,31,7,7,2,17,21,17,49,.347,7,17,.412,10,32,.313,.418,19,25,.760,7,27,34,12,6,4,14,15
25,2013-02-20,"",Air Force,REG (Conf),W,77,65,"",29,54,.537,10,26,.385,19,28,.679,.630,9,12,.750,6,21,27,22,7,2,6,11,23,51,.451,9,25,.360,14,26,.538,.539,10,11,.909,7,18,25,15,4,0,11,11
26,2013-02-23,@,Fresno State,REG (Conf),W,72,63,"",20,45,.444,7,20,.350,13,25,.520,.522,25,31,.806,7,20,27,8,2,1,11,22,20,47,.426,7,20,.350,13,27,.481,.500,16,25,.640,5,13,18,7,6,2,7,21
27,2013-02-27,"",Nevada,REG (Conf),W,73,47,"",28,57,.491,6,19,.316,22,38,.579,.544,11,13,.846,13,20,33,15,10,4,13,21,10,38,.263,4,13,.308,6,25,.240,.316,23,26,.885,4,14,18,4,4,1,17,15
28,2013-03-02,"",Colorado State,REG (Conf),W,78,65,"",29,54,.537,9,19,.474,20,35,.571,.620,11,15,.733,8,20,28,8,5,1,8,21,21,50,.420,4,9,.444,17,41,.415,.460,19,32,.594,13,16,29,9,2,2,9,14
29,2013-03-05,@,UNLV,REG (Conf),L,64,68,"",22,51,.431,13,25,.520,9,26,.346,.559,7,10,.700,4,26,30,16,2,0,17,22,21,49,.429,4,16,.250,17,33,.515,.469,22,28,.786,5,24,29,18,9,7,10,15
30,2013-03-09,"",San Diego State,REG (Conf),W,69,65,"",22,55,.400,5,19,.263,17,36,.472,.445,20,24,.833,7,27,34,10,6,2,11,17,22,55,.400,3,16,.188,19,39,.487,.427,18,22,.818,7,22,29,8,9,0,10,17
31,2013-03-13,N,San Diego State,CTOURN,L,67,73,"",22,63,.349,6,19,.316,16,44,.364,.397,17,24,.708,8,21,29,10,10,0,11,25,21,45,.467,6,17,.353,15,28,.536,.533,25,31,.806,5,29,34,13,9,4,18,21
