Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2012-11-09,"",Montana,REG (Non-Conf),W,72,65,"",20,53,.377,1,8,.125,19,45,.422,.387,31,41,.756,16,24,40,7,5,0,9,20,20,44,.455,7,17,.412,13,27,.481,.534,18,23,.783,2,15,17,9,3,2,13,33
2,2012-11-15,"","",REG (Non-Conf),W,93,50,"",35,65,.538,3,16,.188,32,49,.653,.562,20,23,.870,12,26,38,17,12,7,8,21,14,50,.280,5,18,.278,9,32,.281,.330,17,27,.630,10,10,20,5,2,3,20,16
3,2012-11-21,@,Denver,REG (Non-Conf),W,60,53,"",22,53,.415,5,15,.333,17,38,.447,.462,11,19,.579,11,35,46,12,3,3,14,17,18,61,.295,5,29,.172,13,32,.406,.336,12,15,.800,7,21,28,10,7,4,7,26
4,2012-11-24,@,Washington,REG (Non-Conf),W,73,55,"",29,67,.433,8,18,.444,21,49,.429,.493,7,10,.700,19,21,40,15,4,2,11,18,22,50,.440,3,11,.273,19,39,.487,.470,8,15,.533,6,13,19,7,4,3,10,13
5,2012-11-26,"",Northern Colorado,REG (Non-Conf),W,85,69,"",29,54,.537,6,19,.316,23,35,.657,.593,21,23,.913,10,25,35,21,5,0,12,17,25,59,.424,5,19,.263,20,40,.500,.466,14,21,.667,12,14,26,8,4,1,8,22
6,2012-12-01,"",Evansville,REG (Non-Conf),W,79,72,"",26,54,.481,7,15,.467,19,39,.487,.546,20,26,.769,13,26,39,12,8,3,14,13,28,55,.509,10,22,.455,18,33,.545,.600,6,12,.500,2,14,16,20,5,1,12,24
7,2012-12-05,@,Colorado,REG (Non-Conf),L,61,70,"",21,59,.356,6,19,.316,15,40,.375,.407,13,16,.813,15,24,39,6,4,3,13,23,23,50,.460,6,13,.462,17,37,.459,.520,18,31,.581,7,20,27,8,7,5,7,13
8,2012-12-08,@,IllinoisâChicago,REG (Non-Conf),L,55,64,"",19,57,.333,4,10,.400,15,47,.319,.368,13,20,.650,20,21,41,10,3,4,15,18,19,50,.380,7,21,.333,12,29,.414,.450,19,22,.864,8,14,22,12,8,7,10,17
9,2012-12-17,"",North Florida,REG (Non-Conf),W,83,55,"",31,61,.508,7,11,.636,24,50,.480,.566,14,18,.778,12,26,38,22,8,2,8,13,20,47,.426,7,23,.304,13,24,.542,.500,8,14,.571,5,16,21,12,2,4,15,16
10,2012-12-19,"",Cal State Bakersfield,REG (Non-Conf),W,78,58,"",27,54,.500,5,16,.313,22,38,.579,.546,19,28,.679,10,24,34,18,3,2,9,14,19,51,.373,7,24,.292,12,27,.444,.441,13,16,.813,4,21,25,7,4,1,13,22
