Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2012-11-09,@,VCU,REG (Non-Conf),L,57,80,"",20,44,.455,4,13,.308,16,31,.516,.500,13,21,.619,7,19,26,13,8,4,25,15,32,73,.438,8,30,.267,24,43,.558,.493,8,14,.571,21,21,42,22,20,3,14,20
2,2012-11-13,"",Miami (FL),REG (Non-Conf),W,63,51,"",25,51,.490,1,11,.091,24,40,.600,.500,12,15,.800,10,27,37,12,9,3,18,23,16,55,.291,8,26,.308,8,29,.276,.364,11,21,.524,13,18,31,10,7,2,16,16
3,2012-11-15,"","",REG (Non-Conf),W,86,54,"",30,55,.545,11,19,.579,19,36,.528,.645,15,20,.750,5,30,35,16,10,6,18,18,16,52,.308,6,18,.333,10,34,.294,.365,16,23,.696,8,18,26,8,13,5,19,15
4,2012-11-18,@,Duke,REG (Non-Conf),L,67,88,"",23,57,.404,11,25,.440,12,32,.375,.500,10,11,.909,13,19,32,11,8,3,25,24,30,63,.476,9,31,.290,21,32,.656,.548,19,23,.826,13,20,33,19,9,4,18,14
5,2012-11-21,"",Alcorn State,REG (Non-Conf),W,50,48,"",18,52,.346,1,14,.071,17,38,.447,.356,13,23,.565,11,20,31,10,12,3,14,18,18,48,.375,3,17,.176,15,31,.484,.406,9,15,.600,8,26,34,6,3,5,18,20
6,2012-11-22,"",Toledo,REG (Non-Conf),W,72,66,"",26,52,.500,4,18,.222,22,34,.647,.538,16,28,.571,10,24,34,15,11,4,18,15,26,59,.441,5,20,.250,21,39,.538,.483,9,10,.900,5,19,24,12,10,0,19,23
7,2012-11-24,@,St. John's (NY),REG (Non-Conf),L,68,79,"",27,61,.443,6,21,.286,21,40,.525,.492,8,11,.727,8,23,31,13,8,2,16,16,33,60,.550,3,10,.300,30,50,.600,.575,10,16,.625,7,24,31,17,7,9,15,15
8,2012-11-28,@,Samford,REG (Non-Conf),W,86,62,"",29,56,.518,10,18,.556,19,38,.500,.607,18,24,.750,14,25,39,17,6,2,15,17,23,55,.418,4,21,.190,19,34,.559,.455,12,19,.632,9,14,23,15,9,3,11,19
9,2012-12-01,"",Loyola (MD),REG (Non-Conf),W,65,50,"",23,52,.442,5,14,.357,18,38,.474,.490,14,23,.609,8,29,37,15,13,5,14,15,20,60,.333,1,17,.059,19,43,.442,.342,9,15,.600,12,24,36,8,8,4,17,17
10,2012-12-04,@,Iowa State,REG (Non-Conf),L,72,83,"",27,58,.466,9,24,.375,18,34,.529,.543,9,10,.900,8,22,30,14,12,4,22,8,34,69,.493,13,25,.520,21,44,.477,.587,2,5,.400,11,22,33,21,10,3,19,12
