Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2012-11-09,"",Stetson,REG (Non-Conf),W,87,79,"",32,61,.525,7,21,.333,25,40,.625,.582,16,24,.667,12,26,38,19,4,1,11,13,28,63,.444,13,31,.419,15,32,.469,.548,10,14,.714,7,21,28,20,6,1,10,21
2,2012-11-13,@,Florida Gulf Coast,REG (Non-Conf),L,51,63,"",16,55,.291,8,26,.308,8,29,.276,.364,11,21,.524,13,18,31,10,7,2,16,16,25,51,.490,1,11,.091,24,40,.600,.500,12,15,.800,10,27,37,12,9,3,18,23
3,2012-11-16,"",Jacksonville,REG (Non-Conf),W,73,57,"",23,39,.590,4,12,.333,19,27,.704,.641,23,35,.657,6,20,26,13,12,3,14,12,20,50,.400,7,20,.350,13,30,.433,.470,10,20,.500,10,12,22,11,8,1,16,22
4,2012-11-24,"",Detroit Mercy,REG (Non-Conf),W,77,62,"",28,54,.519,4,15,.267,24,39,.615,.556,17,19,.895,10,30,40,15,6,5,13,12,21,59,.356,11,32,.344,10,27,.370,.449,9,14,.643,9,16,25,10,7,2,12,20
5,2012-11-28,"",Michigan State,REG (Non-Conf),W,67,59,"",21,44,.477,9,16,.563,12,28,.429,.580,16,18,.889,4,21,25,7,5,5,9,10,24,59,.407,6,14,.429,18,45,.400,.458,5,11,.455,12,21,33,11,4,3,11,16
6,2012-12-01,@,Massachusetts,REG (Non-Conf),W,75,62,"",25,52,.481,6,15,.400,19,37,.514,.538,19,25,.760,5,29,34,11,4,8,9,17,18,63,.286,7,32,.219,11,31,.355,.341,19,26,.731,14,18,32,13,5,4,6,20
7,2012-12-14,"",Charlotte,REG (Non-Conf),W,77,46,"",27,56,.482,7,15,.467,20,41,.488,.545,16,26,.615,9,31,40,11,9,12,12,12,20,63,.317,2,14,.143,18,49,.367,.333,4,11,.364,12,21,33,5,4,3,16,24
8,2012-12-18,@,UCF,REG (Non-Conf),W,72,50,"",28,58,.483,8,20,.400,20,38,.526,.552,8,13,.615,12,25,37,15,6,2,11,17,17,48,.354,5,22,.227,12,26,.462,.406,11,17,.647,5,17,22,9,4,5,12,12
9,2012-12-22,@,Hawaii,REG (Non-Conf),W,73,58,"",27,56,.482,6,18,.333,21,38,.553,.536,13,16,.813,9,20,29,11,10,4,6,11,22,55,.400,8,21,.381,14,34,.412,.473,6,8,.750,11,18,29,16,2,3,15,13
10,2012-12-23,N,Arizona,REG (Non-Conf),L,50,69,"",19,52,.365,5,19,.263,14,33,.424,.413,7,14,.500,5,14,19,5,14,1,9,13,25,52,.481,8,18,.444,17,34,.500,.558,11,17,.647,12,32,44,11,6,0,16,18
11,2012-12-25,N,Indiana State,REG (Non-Conf),L,55,57,OT,22,65,.338,0,15,.000,22,50,.440,.338,11,21,.524,13,29,42,7,4,6,8,16,17,63,.270,6,25,.240,11,38,.289,.317,17,18,.944,11,28,39,8,4,3,9,15
12,2013-01-02,"",La Salle,REG (Non-Conf),W,76,59,"",24,51,.471,8,17,.471,16,34,.471,.549,20,28,.714,7,30,37,7,6,6,9,10,23,62,.371,7,21,.333,16,41,.390,.427,6,9,.667,8,21,29,10,5,2,10,20
13,2013-01-05,@,Georgia Tech,REG (Conf),W,62,49,"",22,53,.415,7,19,.368,15,34,.441,.481,11,17,.647,10,28,38,13,8,5,13,13,17,52,.327,5,18,.278,12,34,.353,.375,10,15,.667,7,19,26,13,5,2,12,13
