Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2013-11-08,@,Arizona,REG (Non-Conf),L,62,73,"",20,54,.370,11,26,.423,9,28,.321,.472,11,13,.846,8,16,24,13,4,0,10,26,24,42,.571,5,11,.455,19,31,.613,.631,20,36,.556,9,24,33,12,4,7,11,15
2,2013-11-12,"",Nevada,REG (Non-Conf),L,58,60,"",22,50,.440,5,21,.238,17,29,.586,.490,9,12,.750,7,25,32,13,5,3,17,17,21,56,.375,6,16,.375,15,40,.375,.429,12,17,.706,10,19,29,5,9,2,9,15
3,2013-11-20,@,Fresno State,REG (Non-Conf),L,46,63,"",17,53,.321,2,17,.118,15,36,.417,.340,10,16,.625,5,22,27,6,6,2,6,20,20,50,.400,5,20,.250,15,30,.500,.450,18,22,.818,7,32,39,8,4,4,11,16
4,2013-11-23,"","",REG (Non-Conf),W,78,39,"",27,57,.474,5,20,.250,22,37,.595,.518,19,24,.792,13,30,43,15,5,6,7,9,16,57,.281,7,24,.292,9,33,.273,.342,0,0,"",5,15,20,11,5,4,9,17
5,2013-11-29,N,North Dakota,REG (Non-Conf),W,70,43,"",28,55,.509,2,15,.133,26,40,.650,.527,12,19,.632,7,32,39,6,1,3,9,29,11,47,.234,4,18,.222,7,29,.241,.277,17,33,.515,7,22,29,5,3,1,11,19
6,2013-11-30,N,Pacific,REG (Non-Conf),L,71,73,"",23,52,.442,9,21,.429,14,31,.452,.529,16,30,.533,13,15,28,14,7,4,10,24,23,51,.451,4,15,.267,19,36,.528,.490,23,31,.742,12,20,32,10,6,3,11,21
7,2013-12-01,@,Oregon,REG (Non-Conf),L,61,82,"",22,55,.400,6,27,.222,16,28,.571,.455,11,16,.688,6,17,23,9,3,3,7,26,24,50,.480,9,19,.474,15,31,.484,.570,25,35,.714,7,22,29,14,3,2,4,16
8,2013-12-07,"",Santa Clara,REG (Non-Conf),W,64,53,"",23,53,.434,3,11,.273,20,42,.476,.462,15,27,.556,13,27,40,13,10,0,11,17,19,50,.380,4,20,.200,15,30,.500,.420,11,17,.647,8,19,27,10,5,7,11,20
9,2013-12-14,"","",REG (Non-Conf),W,85,49,"",34,69,.493,12,24,.500,22,45,.489,.580,5,6,.833,16,23,39,18,16,2,10,11,18,46,.391,8,20,.400,10,26,.385,.478,5,7,.714,4,17,21,13,5,1,21,13
10,2013-12-17,@,Loyola Marymount,REG (Non-Conf),L,59,79,"",23,60,.383,4,20,.200,19,40,.475,.417,9,9,1.000,8,18,26,8,11,2,15,16,26,53,.491,4,17,.235,22,36,.611,.528,23,26,.885,9,24,33,19,9,2,13,9
