Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2013-11-08,N,Baylor,REG (Non-Conf),L,60,72,"",22,66,.333,2,19,.105,20,47,.426,.348,14,22,.636,18,21,39,10,7,3,6,21,24,54,.444,8,20,.400,16,34,.471,.519,16,23,.696,10,29,39,12,2,3,13,23
2,2013-11-10,"",UT Martin,REG (Non-Conf),W,91,65,"",29,49,.592,5,14,.357,24,35,.686,.643,28,34,.824,9,37,46,19,8,3,18,18,22,63,.349,12,29,.414,10,34,.294,.444,9,17,.529,8,15,23,13,5,1,12,24
3,2013-11-13,"",Wyoming,REG (Non-Conf),W,63,58,"",18,45,.400,3,12,.250,15,33,.455,.433,24,34,.706,9,21,30,4,5,1,14,19,20,46,.435,7,21,.333,13,25,.520,.511,11,15,.733,5,18,23,11,5,3,13,29
4,2013-11-16,"",Jackson State,REG (Non-Conf),W,94,70,"",28,45,.622,9,17,.529,19,28,.679,.722,29,43,.674,5,31,36,23,9,3,14,18,25,64,.391,7,19,.368,18,45,.400,.445,13,19,.684,8,21,29,11,5,1,13,27
5,2013-11-18,"",Arkansas State,REG (Non-Conf),W,93,70,"",30,64,.469,9,23,.391,21,41,.512,.539,24,30,.800,11,28,39,16,6,5,9,16,24,58,.414,7,19,.368,17,39,.436,.474,15,19,.789,4,22,26,11,5,4,16,21
6,2013-11-21,"",UC Santa Barbara,REG (Non-Conf),W,76,68,"",22,50,.440,4,18,.222,18,32,.563,.480,28,36,.778,10,24,34,12,12,1,13,12,26,52,.500,11,28,.393,15,24,.625,.606,5,8,.625,5,18,23,17,9,1,17,26
7,2013-11-24,"",Harvard,REG (Non-Conf),W,70,62,"",24,53,.453,8,19,.421,16,34,.471,.528,14,19,.737,13,31,44,12,2,6,15,11,23,62,.371,7,23,.304,16,39,.410,.427,9,13,.692,9,20,29,13,10,3,10,17
8,2013-11-30,@,Air Force,REG (Non-Conf),W,81,57,"",27,58,.466,9,24,.375,18,34,.529,.543,18,24,.750,14,27,41,20,5,3,11,21,19,46,.413,6,22,.273,13,24,.542,.478,13,19,.684,4,16,20,12,4,4,16,18
9,2013-12-03,@,Colorado State,REG (Non-Conf),W,67,62,"",23,57,.404,3,19,.158,20,38,.526,.430,18,24,.750,12,26,38,9,11,5,14,21,19,57,.333,3,14,.214,16,43,.372,.360,21,27,.778,12,23,35,11,7,4,18,21
10,2013-12-07,"",Kansas,REG (Non-Conf),W,75,72,"",23,56,.411,7,22,.318,16,34,.471,.473,22,37,.595,13,17,30,13,7,1,6,16,27,51,.529,5,20,.250,22,31,.710,.578,13,20,.650,7,25,32,11,3,5,12,26
