Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2013-11-09,"",Bryant,REG (Non-Conf),W,100,76,"",36,67,.537,7,19,.368,29,48,.604,.590,21,28,.750,9,27,36,16,9,1,8,18,27,60,.450,4,21,.190,23,39,.590,.483,18,23,.783,5,19,24,5,5,2,14,23
2,2013-11-11,"",Colorado State,REG (Non-Conf),W,93,61,"",34,59,.576,14,31,.452,20,28,.714,.695,11,16,.688,9,29,38,16,7,3,10,19,18,56,.321,5,17,.294,13,39,.333,.366,20,28,.714,6,18,24,8,6,1,9,17
3,2013-11-17,"",Oakland,REG (Non-Conf),W,82,67,"",28,51,.549,11,20,.550,17,31,.548,.657,15,18,.833,8,19,27,17,10,3,11,15,22,45,.489,11,20,.550,11,25,.440,.611,12,15,.800,7,11,18,11,2,1,14,18
4,2013-11-21,"",Washington State,REG (Non-Conf),W,90,74,"",33,59,.559,13,23,.565,20,36,.556,.669,11,18,.611,7,25,32,20,7,3,11,14,25,56,.446,9,28,.321,16,28,.571,.527,15,21,.714,8,21,29,13,4,2,12,19
5,2013-11-25,N,Dayton,REG (Non-Conf),L,79,84,"",26,54,.481,5,19,.263,21,35,.600,.528,22,25,.880,5,23,28,12,5,4,10,28,27,59,.458,9,21,.429,18,38,.474,.534,21,35,.600,14,21,35,10,8,1,12,25
6,2013-11-26,@,"",REG (Non-Conf),W,113,81,"",46,66,.697,13,23,.565,33,43,.767,.795,8,11,.727,7,24,31,21,6,7,12,20,26,61,.426,8,25,.320,18,36,.500,.492,21,25,.840,10,11,21,3,3,2,14,16
7,2013-11-27,N,Arkansas,REG (Non-Conf),W,91,81,"",30,55,.545,12,20,.600,18,35,.514,.655,19,27,.704,9,25,34,19,7,4,11,22,31,72,.431,4,21,.190,27,51,.529,.458,15,19,.789,18,21,39,14,6,5,9,22
8,2013-12-01,"",Coppin State,REG (Non-Conf),W,86,51,"",31,62,.500,12,26,.462,19,36,.528,.597,12,21,.571,17,27,44,19,5,5,9,13,18,56,.321,2,18,.111,16,38,.421,.339,13,17,.765,9,18,27,6,4,1,10,17
9,2013-12-07,"",New Mexico State,REG (Non-Conf),W,80,68,"",33,68,.485,4,10,.400,29,58,.500,.515,10,16,.625,17,26,43,13,6,1,8,18,25,59,.424,6,17,.353,19,42,.452,.475,12,18,.667,10,16,26,13,6,6,11,14
10,2013-12-10,@,West Virginia,REG (Non-Conf),W,80,76,"",27,61,.443,7,20,.350,20,41,.488,.500,19,23,.826,11,30,41,13,4,2,11,19,25,67,.373,9,27,.333,16,40,.400,.440,17,22,.773,12,24,36,15,3,3,5,22
11,2013-12-14,N,South Alabama,REG (Non-Conf),W,68,59,"",26,64,.406,2,14,.143,24,50,.480,.422,14,21,.667,9,29,38,8,8,7,10,16,19,59,.322,7,17,.412,12,42,.286,.381,14,19,.737,8,27,35,9,3,4,15,20
12,2013-12-21,N,Kansas State,REG (Non-Conf),L,62,72,"",24,50,.480,7,21,.333,17,29,.586,.550,7,15,.467,8,22,30,15,2,3,11,20,24,54,.444,5,18,.278,19,36,.528,.491,19,25,.760,8,20,28,15,4,1,4,15
13,2013-12-28,"",Santa Clara,REG (Conf),W,74,60,"",23,48,.479,5,13,.385,18,35,.514,.531,23,31,.742,4,24,28,11,9,6,9,16,24,51,.471,6,18,.333,18,33,.545,.529,6,12,.500,6,20,26,9,2,4,15,22
14,2013-12-30,"",San Francisco,REG (Conf),W,69,41,"",25,58,.431,8,23,.348,17,35,.486,.500,11,20,.550,10,33,43,16,10,5,12,17,14,55,.255,6,21,.286,8,34,.235,.309,7,17,.412,10,22,32,12,6,4,16,20
15,2014-01-02,"",St. Mary's (CA),REG (Conf),W,73,51,"",24,49,.490,9,19,.474,15,30,.500,.582,16,18,.889,9,26,35,13,4,10,15,17,15,47,.319,1,12,.083,14,35,.400,.330,20,27,.741,4,15,19,2,7,0,10,18
16,2014-01-04,"",Pacific,REG (Conf),W,86,64,"",27,39,.692,10,13,.769,17,26,.654,.821,22,39,.564,4,31,35,15,5,4,11,19,19,60,.317,10,25,.400,9,35,.257,.400,16,20,.800,9,19,28,10,4,0,10,28
17,2014-01-09,@,Portland,REG (Conf),L,73,82,"",26,58,.448,4,15,.267,22,43,.512,.483,17,25,.680,12,17,29,14,8,1,12,21,27,52,.519,8,14,.571,19,38,.500,.596,20,26,.769,8,18,26,16,7,8,12,19
18,2014-01-16,@,Pepperdine,REG (Conf),W,70,53,"",25,55,.455,5,18,.278,20,37,.541,.500,15,24,.625,10,24,34,15,9,4,12,20,17,52,.327,4,16,.250,13,36,.361,.365,15,24,.625,11,20,31,8,5,5,16,20
19,2014-01-18,@,Loyola Marymount,REG (Conf),W,82,72,"",33,62,.532,5,13,.385,28,49,.571,.573,11,14,.786,13,23,36,18,8,7,15,15,28,66,.424,6,15,.400,22,51,.431,.470,10,13,.769,13,13,26,13,9,2,12,16
20,2014-01-23,"",San Diego,REG (Conf),W,59,56,"",25,52,.481,7,18,.389,18,34,.529,.548,2,4,.500,7,21,28,12,4,1,8,11,19,46,.413,4,14,.286,15,32,.469,.457,14,15,.933,4,19,23,3,6,5,8,12
21,2014-01-25,"",Brigham Young,REG (Conf),W,84,69,"",31,54,.574,10,22,.455,21,32,.656,.667,12,12,1.000,3,19,22,21,7,3,6,17,26,58,.448,2,11,.182,24,47,.511,.466,15,21,.714,11,19,30,8,2,1,10,16
22,2014-01-29,@,Santa Clara,REG (Conf),W,54,52,"",16,46,.348,5,12,.417,11,34,.324,.402,17,19,.895,7,24,31,11,6,5,13,15,18,50,.360,5,18,.278,13,32,.406,.410,11,12,.917,8,24,32,9,5,5,13,18
23,2014-02-01,@,San Francisco,REG (Conf),W,75,65,"",19,49,.388,3,16,.188,16,33,.485,.418,34,41,.829,9,28,37,5,9,5,14,19,20,58,.345,8,25,.320,12,33,.364,.414,17,22,.773,9,23,32,13,7,2,14,24
24,2014-02-05,"",Portland,REG (Conf),W,71,66,"",20,43,.465,9,19,.474,11,24,.458,.570,22,32,.688,3,23,26,16,7,5,10,12,24,56,.429,8,12,.667,16,44,.364,.500,10,14,.714,6,24,30,13,7,2,13,25
25,2014-02-08,@,Memphis,REG (Non-Conf),L,54,60,"",23,51,.451,2,16,.125,21,35,.600,.471,6,13,.462,6,18,24,14,7,4,9,25,19,55,.345,4,12,.333,15,43,.349,.382,18,27,.667,16,23,39,13,5,7,9,16
26,2014-02-13,"",Pepperdine,REG (Conf),W,83,68,"",31,59,.525,10,24,.417,21,35,.600,.610,11,16,.688,7,25,32,17,9,2,8,13,27,58,.466,3,17,.176,24,41,.585,.491,11,17,.647,6,20,26,15,6,5,13,15
