Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2013-11-08,@,West Virginia,REG (Non-Conf),L,62,77,"",22,55,.400,7,21,.333,15,34,.441,.464,11,15,.733,10,18,28,12,2,1,10,15,28,50,.560,6,17,.353,22,33,.667,.620,15,18,.833,6,21,27,16,6,2,8,16
2,2013-11-13,@,Villanova,REG (Non-Conf),L,59,90,"",17,57,.298,8,27,.296,9,30,.300,.368,17,25,.680,9,11,20,10,9,3,12,17,37,59,.627,6,16,.375,31,43,.721,.678,10,17,.588,11,28,39,21,8,3,18,21
3,2013-11-15,@,Brigham Young,REG (Non-Conf),L,76,108,"",26,70,.371,12,40,.300,14,30,.467,.457,12,18,.667,7,23,30,13,10,5,10,28,41,68,.603,8,18,.444,33,50,.660,.662,18,30,.600,9,39,48,26,7,5,12,20
4,2013-11-17,@,UMBC,REG (Non-Conf),L,84,90,OT,28,56,.500,8,24,.333,20,32,.625,.571,20,30,.667,2,27,29,12,11,1,19,26,30,75,.400,7,21,.333,23,54,.426,.447,23,32,.719,17,31,48,14,7,0,19,25
5,2013-11-20,@,Maryland Eastern Shore,REG (Non-Conf),L,71,78,"",25,55,.455,9,27,.333,16,28,.571,.536,12,17,.706,6,20,26,13,2,3,10,21,25,58,.431,7,19,.368,18,39,.462,.491,21,30,.700,11,24,35,16,4,3,8,17
6,2013-11-23,"",American,REG (Non-Conf),W,68,64,"",20,52,.385,6,26,.231,14,26,.538,.442,22,32,.688,14,16,30,7,6,2,5,14,26,48,.542,6,15,.400,20,33,.606,.604,6,7,.857,6,18,24,14,1,3,14,21
7,2013-11-26,"",Bucknell,REG (Non-Conf),W,69,64,"",26,48,.542,5,17,.294,21,31,.677,.594,12,17,.706,3,21,24,15,4,1,5,15,25,54,.463,5,13,.385,20,41,.488,.509,9,10,.900,6,20,26,11,4,0,8,13
8,2013-11-29,@,Michigan State,REG (Non-Conf),L,65,98,"",22,67,.328,12,34,.353,10,33,.303,.418,9,10,.900,10,20,30,11,6,4,10,14,41,65,.631,9,18,.500,32,47,.681,.700,7,9,.778,4,35,39,28,6,3,9,9
9,2013-12-04,"",Binghamton,REG (Non-Conf),L,70,74,"",23,67,.343,9,29,.310,14,38,.368,.410,15,20,.750,13,12,25,12,10,0,9,24,25,47,.532,6,10,.600,19,37,.514,.596,18,24,.750,7,26,33,8,3,1,21,21
10,2013-12-07,"",Loyola (MD),REG (Non-Conf),W,70,58,"",21,46,.457,5,12,.417,16,34,.471,.511,23,28,.821,7,30,37,10,8,3,18,20,21,62,.339,2,13,.154,19,49,.388,.355,14,19,.737,12,16,28,6,13,1,12,24
11,2013-12-22,@,Penn State,REG (Non-Conf),L,82,92,"",28,54,.519,12,26,.462,16,28,.571,.630,14,22,.636,5,21,26,11,4,1,16,21,33,62,.532,2,11,.182,31,51,.608,.548,24,30,.800,10,22,32,11,6,4,10,16
12,2013-12-30,@,Texas Tech,REG (Non-Conf),L,69,100,"",22,56,.393,8,26,.308,14,30,.467,.464,17,27,.630,7,15,22,5,8,0,14,19,38,60,.633,6,13,.462,32,47,.681,.683,18,21,.857,8,30,38,20,9,6,12,17
13,2014-01-03,@,Norfolk State,REG (Non-Conf),W,104,84,"",35,51,.686,18,25,.720,17,26,.654,.863,16,23,.696,4,16,20,21,8,2,12,20,32,54,.593,6,14,.429,26,40,.650,.648,14,20,.700,7,13,20,13,4,5,13,19
14,2014-01-09,@,Fairleigh Dickinson,REG (Conf),L,79,85,"",26,60,.433,11,25,.440,15,35,.429,.525,16,24,.667,9,24,33,13,4,2,13,24,25,58,.431,6,14,.429,19,44,.432,.483,29,36,.806,8,26,34,11,7,3,6,21
15,2014-01-11,"",St. Francis Brooklyn,REG (Conf),W,88,82,"",30,61,.492,8,19,.421,22,42,.524,.557,20,23,.870,5,19,24,9,8,3,12,13,36,71,.507,4,12,.333,32,59,.542,.535,6,7,.857,14,27,41,16,4,3,16,20
16,2014-01-16,"",Wagner,REG (Conf),W,89,80,"",30,65,.462,10,24,.417,20,41,.488,.538,19,27,.704,14,21,35,9,12,3,16,22,30,61,.492,3,11,.273,27,50,.540,.516,17,22,.773,9,21,30,14,4,1,19,22
